claimId,referenceNumber,sourceUrl,sourceTitle,identifier,accessLevel,supportQuote
CLM-001,2,https://europepmc.org/articles/PMC12804185,"Assessment of volatile component stability in Guanxin Jieyu granules through gas chromatography in accordance with Q14 guidelines",PMID:41449179,full_text,"Borneol (1,7,7-Trimethylbicyclo[2.2.1]heptan-2-ol, C10H18O) has a molecular weight of 154.25 and a boiling point of 212°C"
CLM-002,2,https://europepmc.org/articles/PMC12804185,"Assessment of volatile component stability in Guanxin Jieyu granules through gas chromatography in accordance with Q14 guidelines",PMID:41449179,full_text,"Borneol, or related cyclic monoterpenes are readily sublimed and may exist in the gas phase at ambient temperature, which accounts for the observed decline in measurable concentration."
CLM-003,3,https://europepmc.org/articles/PMC12844603,"Ai-Fen Solid Dispersions: Preparation, Characterization, and Enhanced Therapeutic Efficacy in a Rat Model of Oral Ulceration",PMID:41599609,full_text,"Raw Ai-Fen exhibited a sharp endothermic peak at 204.6 °C with a melting enthalpy (ΔHm) of 92.5 J/g, corresponding to the melting of crystalline L-borneol"
CLM-004,3,https://europepmc.org/articles/PMC12844603,"Ai-Fen Solid Dispersions: Preparation, Characterization, and Enhanced Therapeutic Efficacy in a Rat Model of Oral Ulceration",PMID:41599609,full_text,"Raising the temperature to 70 °C markedly increased release to 32.08 ± 1.52 mg. … This decline was likely due to volatilization losses of L-borneol at elevated temperatures."
CLM-005,2,https://europepmc.org/articles/PMC12804185,"Assessment of volatile component stability in Guanxin Jieyu granules through gas chromatography in accordance with Q14 guidelines",PMID:41449179,full_text,"At 25 °C over 730 days, the inclusion complex showed only a 1.10% probability of failure (defined as ≥ 5% content loss), compared to 88.50% for the physical mixture."
CLM-006,4,https://europepmc.org/articles/PMC8287819,"Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial",PMID:34281600,full_text,"Suxiao Jiuxin Pill (SJP, produced by Tianjin Zhongxin Pharmaceutical Group Co, Ltd.) is a patented drug made of active ingredients from Chuanxiong and Borneol"
CLM-007,4,https://europepmc.org/articles/PMC8287819,"Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial",PMID:34281600,full_text,"The trial will enroll 324 participants with chronic stable angina (Qi Stagnation and Blood Stasis syndrome). … Eligible participants will receive either SJP or placebo (five pills administered orally, three times daily) in addition to conventional treatment for 24 weeks."
CLM-008,5,https://europepmc.org/articles/PMC5892298,"Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials",PMID:29770157,full_text,"The 41 studies consisted of 6276 patients with coronary heart disease. … Pooled analysis indicated significant benefits of suxiao jiuxin pill on ECG outcomes (RR 1.32; 95% CI 1.26 to 1.38, P < 0.001)."
CLM-011,3,https://europepmc.org/articles/PMC12844603,"Ai-Fen Solid Dispersions: Preparation, Characterization, and Enhanced Therapeutic Efficacy in a Rat Model of Oral Ulceration",PMID:41599609,full_text,"Ai-Fen, enriched in the anti-inflammatory monoterpenoid L-borneol (54.3% w / w )"
CLM-012,13,https://www.nhs.uk/symptoms/chest-pain/,"Chest pain - NHS",NHS Chest pain (page last reviewed 2023-08-08),official_page,"Immediate action required: Call 999 if: … you get sudden pain or discomfort in your chest that does not go away – the pain can feel like squeezing or pressure inside your chest, burning or indigestion"
