claimId,referenceNumber,supportQuote
CLM-001,1,"each pill of SJPs is required to contain a minimum of 15.0 μg of Ligusticum chuanxiong, expressed in terms of ferulic acid, and 2.9 to 4.4 mg of Borneolum syntheticum, expressed in terms of Borneol"
CLM-002,1,"the SJPs group showed a significant improvement in the efficacy rate after 4 weeks (OR = 2.43, 95% CI = 1.32 to 4.47, P = 0.004)"
CLM-003,1,"60.9% of patients treated with SJPs achieved a 20-point or greater improvement in SAQ-SS, while only 39.1%"
CLM-004,1,"a recent randomized clinical trial demonstrated that SJPs also effectively improved stable angina on physical limitations, angina stability, and treatment satisfaction, after 24 weeks of intervention"
CLM-005,2,"The trial will enroll 324 participants with chronic stable angina (Qi Stagnation and Blood stasis syndrome)."
CLM-006,2,"receive either SJP or placebo (five pills administered orally, three times daily) in addition to conventional treatment for 24 weeks."
CLM-007,2,"The primary outcomes are the symptom improvement rate of angina from baseline to 4 weeks after inclusion and major adverse cardiovascular events (MACE)."
CLM-009,3,"Forty-one trials involving 6276 patients were included in our analysis."
CLM-010,3,"suxiao jiuxin pill significantly improved electrocardiogram (ECG) results when compared with other therapies (RR 1.32, 95% CI 1.26 to 1.38, and P < 0.001)"
CLM-011,3,"There was no significant difference in the adverse reaction rates between the treatment and the control groups (RR 1.12, 95% CI 0.50 to 2.51, and P = 0.785)"
CLM-014,3,"The majority of the included studies received low Jadad scores due to the lack of a double-blind design"
CLM-015,2,"chronic stable angina (Qi Stagnation and Blood stasis syndrome)"
CLM-016,1,"we did not conduct a longer follow-up for patients who discontinued the treatment after completing a 4-week course"
