"claimId","referenceNumber","supportQuote","claim","claimType","sourceTitle","identifier","accessLevel"
"CLM-001","2","Suxiao Jiuxin Pill (SJPs) emerges as a prominent traditional Chinese patent medicine utilized for the treatment of acute ischemic heart disease, which was approved by China Food and Drug Administration (CFDA) in 1982 … The pill is composed of Ligusticum striatum DC. … Chuanxiong Rhizoma) and Dryobalanops aromatica C.F.Gaertn. … Borneolum syntheticum).","速效救心丸由川芎与冰片组成，1982 年经原国家食品药品监督管理局（CFDA）批准上市。","direct","Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study","PMID:39367481; DOI:10.1186/s12906-024-04661-5","full_text"
"CLM-002","3","The trial will enroll 324 participants with chronic stable angina (Qi Stagnation and Blood Stasis syndrome).","评价本品疗效的随机对照试验方案将入组人群限定为慢性稳定型心绞痛（气滞血瘀证），计划纳入 324 例。","direct","Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial","PMID:34281600; DOI:10.1186/s13063-021-05448-6","full_text"
"CLM-003","3","The secondary symptoms are sighing and bloating. Tongue characteristic is a purplish tongue and pulse manifestation is a string or astringent pulse. A patient must have the main symptom and one of the secondary symptoms, in accordance with the tongue and pulse conditions, to be diagnosed with Qi stagnation and blood stasis syndrome","气滞血瘀证的判定要求主症加次症，并须符合舌象（舌紫暗）与脉象（弦或涩），属需望舌、切脉的专业操作。","direct","Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial","PMID:34281600; DOI:10.1186/s13063-021-05448-6","full_text"
"CLM-004","3","The diagnostic criteria for CHD will be ① history of myocardial infarction (MI); ② coronary angiography or computed tomography coronary angiography confirmation of stenosis greater than 50%; and ③ noninvasive imaging stress test diagnostic of coronary artery disease (CAD)","冠心病诊断须满足心肌梗死史、冠脉造影或冠脉 CT 血管成像证实狭窄大于 50%、或负荷试验阳性之一，均为专业检查。","direct","Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial","PMID:34281600; DOI:10.1186/s13063-021-05448-6","full_text"
"CLM-005","4","Forty-one trials involving 6276 patients were included in our analysis. Administration of suxiao jiuxin pill significantly improved electrocardiogram (ECG) results when compared with other therapies (RR 1.32, 95% CI 1.26 to 1.38, and P < 0.001). … The remaining 41 studies were included in our meta-analysis.","Meta 分析纳入 41 项随机对照试验、6276 例患者，报告用药组心电图改善优于对照（RR 1.32，95%CI 1.26 至 1.38，P<0.001）。","direct","Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials","PMID:29770157; DOI:10.1155/2018/9745804","full_text"
"CLM-006","4","Most of the clinical studies included in our meta-analysis were of poor quality based on their Jadad scores.","该 meta 分析纳入研究的方法学质量普遍偏低（低 Jadad 评分）。","direct","Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials","PMID:29770157; DOI:10.1155/2018/9745804","full_text"
"CLM-007","2","A total of 174 CCS participants from eight clinical study centers in China were included in the modified intention-to-treat analyses. … were recruited and randomized to either the SJPs or the placebo group for a duration of 4 weeks. … 60.9% of patients treated with SJPs achieved a 20-point or greater improvement in SAQ-SS, while only 39.1% (OR = 2.43, 95% confidence interval [CI] = 1.32 to 4.47, P = 0.004) of patients in the placebo group achieved the same level of improvement","多中心、随机、双盲、安慰剂对照试验在 174 例对长效硝酸酯不良反应不耐受的慢性冠脉综合征患者中报告，4 周后 SAQ 总分改善≥20 分的有效率为 60.9% 对 39.1%（OR 2.43，95%CI 1.32 至 4.47，P=0.004）。","direct","Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study","PMID:39367481; DOI:10.1186/s12906-024-04661-5","full_text"
"CLM-008","2","No participants reported experiencing adverse effects.","该试验无受试者报告不良事件。","direct","Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study","PMID:39367481; DOI:10.1186/s12906-024-04661-5","full_text"
"CLM-009","2","A previous systematic review indicated that SJPs demonstrate therapeutic effects on CCS [ 21 ]. However, the inclusion of studies with inadequate methodological quality significantly limited the conclusions drawn from this study.","既有系统评价提示本品对慢性冠脉综合征有治疗作用，但受纳入研究方法学质量不足限制。","direct","Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study","PMID:39367481; DOI:10.1186/s12906-024-04661-5","full_text"
"CLM-010","5","A cross sectional study was carried out on 227 patients with acute myocardial infarction … Patients thought most common cause of delay in arrival was unawareness of coronary artery disease (38.8%) and self-medication (34.3%).","伊朗单中心横断面研究纳入 227 例急性心肌梗死患者，其自述的就医延迟最常见原因为对冠心病无知（38.8%）与自我药疗（34.3%）。","direct","Factors Associated With Pre-hospital Delay in Patients With Acute Myocardial Infarction","PMID:24083004; DOI:10.5812/ircmj.2367","full_text"
"CLM-011","5","35.7% patients arrived during one hour of symptom onset, and 7.9% arrived after 24 hours.","该研究中仅 35.7% 的患者在症状发作 1 小时内到院。","direct","Factors Associated With Pre-hospital Delay in Patients With Acute Myocardial Infarction","PMID:24083004; DOI:10.5812/ircmj.2367","full_text"
"CLM-012","6","A total of 4,874 patients were included in the analysis, of whom 28.4% arrived at the hospital within 60 minutes of symptom-onset. … The overall frequency of EMS utilisation was low (21.7%).","韩国前瞻性注册研究（4874 例 STEMI）报告仅 28.4% 的患者在症状发作 60 分钟内到院，急救医疗服务使用率仅 21.7%。","direct","Pre-hospital delay and emergency medical services in acute myocardial infarction","PMID:31766823; DOI:10.3904/kjim.2019.123","full_text"
