claimId,referenceNumber,sourceTitle,sourceUrl,artifactPath,accessLevel,supportQuote,claimType
CLM-001,1,Chest pain - NHS,https://www.nhs.uk/symptoms/chest-pain/,.evimed-sources/official-pages/e6143b76645a9461/page.md,official_page,Call 999 if: … you get sudden pain or discomfort in your chest that does not go away … You could be having a heart attack. Call 999 straight away as you need immediate treatment in hospital.,direct
CLM-002,1,Chest pain - NHS,https://www.nhs.uk/symptoms/chest-pain/,.evimed-sources/official-pages/e6143b76645a9461/page.md,official_page,Do not self-diagnose – see a GP if you're worried.,direct
CLM-003,2,"Chest pain in emergency department patients: if the pain is relieved by nitroglycerin, is it more likely to be cardiac chest pain?",https://doi.org/10.1017/S1481803500013671,.evimed-sources/10.1017-s1481803500013671/fulltext.md,full_text,Relief of chest pain with nitroglycerin is not a reliable diagnostic test and does not distinguish between cardiac and non-cardiac chest pain.,direct
CLM-004,2,"Chest pain in emergency department patients: if the pain is relieved by nitroglycerin, is it more likely to be cardiac chest pain?",https://doi.org/10.1017/S1481803500013671,.evimed-sources/10.1017-s1481803500013671/fulltext.md,full_text,"The diagnostic sensitivity of nitroglycerin to determine cardiac chest pain was 72% (64%–80%), and the specificity was 37% (34%–41%).",direct
CLM-005,2,"Chest pain in emergency department patients: if the pain is relieved by nitroglycerin, is it more likely to be cardiac chest pain?",https://doi.org/10.1017/S1481803500013671,.evimed-sources/10.1017-s1481803500013671/fulltext.md,full_text,The positive likelihood ratio for having coronary artery … if nitroglycerin relieved chest pain was 1.1 (0.96–1.34).,direct
CLM-006,2,"Chest pain in emergency department patients: if the pain is relieved by nitroglycerin, is it more likely to be cardiac chest pain?",https://doi.org/10.1017/S1481803500013671,.evimed-sources/10.1017-s1481803500013671/fulltext.md,full_text,270 patients were enrolled. Nitroglycerin relieved chest pain in 66% of the subjects.,direct
CLM-007,5,Genetic Polymorphisms of the Mitochondrial Aldehyde Dehydrogenase ALDH2 Gene in a Large Ethnic Hakka Population in Southern China,https://europepmc.org/articles/PMC5903313,.evimed-sources/PMC5903313/fulltext.md,full_text,"In the 7,966 individuals from the Hakka population of China in this study, the frequencies of the ALDH2 genotypes *1/*1, *1/*2 and *2/*2 were 52.03%, 39.67%, and 8.30%, respectively; 47.97% of the individuals were found to carry the ALDH2 *2 genotype",direct
CLM-008,5,Genetic Polymorphisms of the Mitochondrial Aldehyde Dehydrogenase ALDH2 Gene in a Large Ethnic Hakka Population in Southern China,https://europepmc.org/articles/PMC5903313,.evimed-sources/PMC5903313/fulltext.md,full_text,"The allele frequency of ALDH2 *1 was 71.87%, and ALDH2 *2 was 28.13%, respectively.",direct
CLM-009,5,Genetic Polymorphisms of the Mitochondrial Aldehyde Dehydrogenase ALDH2 Gene in a Large Ethnic Hakka Population in Southern China,https://europepmc.org/articles/PMC5903313,.evimed-sources/PMC5903313/fulltext.md,full_text,the ALDH2 enzymatic activity has approximately 16% of the effectiveness of the wild-type homozygous ALDH2 *1/*1 in individuals,direct
CLM-010,5,Genetic Polymorphisms of the Mitochondrial Aldehyde Dehydrogenase ALDH2 Gene in a Large Ethnic Hakka Population in Southern China,https://europepmc.org/articles/PMC5903313,.evimed-sources/PMC5903313/fulltext.md,full_text,has a high prevalence in Asians of between 30–50%,direct
CLM-011,12,Genetic landscape of 125 pharmacogenes in Chinese from the Chinese Millionome Database,https://europepmc.org/articles/PMC8478937,.evimed-sources/PMC8478937/fulltext.md,full_text,ALDH2 12:112241766 G/A (rs671) were population-specific for CMDB Chinese because they were absent (with a zero of variant allele frequency) or very rare in other gnomAD populations.,direct
CLM-012,12,Genetic landscape of 125 pharmacogenes in Chinese from the Chinese Millionome Database,https://europepmc.org/articles/PMC8478937,.evimed-sources/PMC8478937/fulltext.md,full_text,"Whole-genome sequencing data from 141,431 Chinese including 37 ethnicities living in 31 provinces of mainland China in CMDB",direct
CLM-013,6,"Glyceryl Trinitrate: History, Mystery, and Alcohol Intolerance",https://europepmc.org/articles/PMC8587134,.evimed-sources/PMC8587134/fulltext.md,full_text,Lowered alcohol tolerance due to the accumulation of acetaldehyde is seen in around 40% of the East Asian population.,direct
CLM-014,6,"Glyceryl Trinitrate: History, Mystery, and Alcohol Intolerance",https://europepmc.org/articles/PMC8587134,.evimed-sources/PMC8587134/fulltext.md,full_text,a drop to negligible levels is seen in Lys504 homozygotes (ALDH2*2/2) and only an uptick to 6% of normal activity is seen in Glu504/Lys504 heterozygotes (ALDH2*1/2),direct
CLM-015,6,"Glyceryl Trinitrate: History, Mystery, and Alcohol Intolerance",https://europepmc.org/articles/PMC8587134,.evimed-sources/PMC8587134/fulltext.md,full_text,enzyme kinetic studies that showed a 10-fold drop in GTN metabolism when using the Lys504 enzyme in place of the ALDH2 wild type,direct
CLM-016,6,"Glyceryl Trinitrate: History, Mystery, and Alcohol Intolerance",https://europepmc.org/articles/PMC8587134,.evimed-sources/PMC8587134/fulltext.md,full_text,"Zhang and co-workers (2007) who recruited 142 coronary heart disease patients and showed that the amelioration of angina pectoris attacks within 5 min of GTN treatment was seen in 67.1% of patients who did not show flushing after drinking wine, compared to just 20.4% in flushing patients. This was consistent with genotype work, which showed that an efficacious response to GTN in 5 min was seen in 57.5% of Glu504 patients compared to 11.1% in the alcohol intolerant, Lys504 patients",direct
