claimId,claimType,referenceNumber,claim,sourceTitle,artifactPath,supportQuote
CLM-001,direct,3,速效救心丸由川芎（Ligusticum striatum，Chuanxiong）与冰片（Borneolum syntheticum）两味组成，1982 年经中国药监（CFDA）批准上市。,"Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study",.evimed-sources/PMC11451125/fulltext.md,"Suxiao Jiuxin Pill (SJPs) emerges as a prominent traditional Chinese patent medicine utilized for the treatment of acute ischemic heart disease, which was approved by China Food and Drug Administration (CFDA) in 1982 … The pill is composed of Ligusticum striatum DC. (WFO accession number: wfo-0000362231, family Apiaceae, Chuanxiong Rhizoma) and Dryobalanops aromatica C.F.Gaertn. (WFO accession number: wfo-0000657511, family Dipterocarpaceae, Borneolum syntheticum)."
CLM-002,direct,4,速效救心丸批准文号为 Z12020025，规格每丸重 40 mg。,"Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial",.evimed-sources/PMC8287819/fulltext.md,"SJP is composed of tetramethylpyrazine and borneol approval number Z12020025 of the China State Food and Drug Administration [SFDA]). The SJP and placebo pills are provided by Tianjin Zhongxin Pharmaceutical Group Co., Ltd. (Tianjin, China). The placebo pills are similar to the SJP, with a comparable appearance. Each pill weighs 40 mg."
CLM-003,direct,3,按《中国药典》要求，每丸含川芎以阿魏酸计不少于 15.0 μg、含合成冰片以冰片计 2.9～4.4 mg。,"Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study",.evimed-sources/PMC11451125/fulltext.md,"According to the Chinese Pharmacopoeia, each pill of SJPs is required to contain a minimum of 15.0 μg of Ligusticum chuanxiong, expressed in terms of ferulic acid (C 10 H 10 O 4 ), and 2.9 to 4.4 mg of Borneolum syntheticum, expressed in terms of Borneol (C 10 H 18 O)."
CLM-004,direct,4,速效救心丸的临床研究人群为气滞血瘀证（Qi Stagnation and Blood Stasis syndrome）慢性稳定型心绞痛患者。,"Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial",.evimed-sources/PMC8287819/fulltext.md,The trial will enroll 324 participants with chronic stable angina (Qi Stagnation and Blood Stasis syndrome).
CLM-005,direct,4,本品临床研究入组要求已确诊冠心病：心肌梗死病史，或冠状动脉造影／冠脉 CT 血管造影证实狭窄大于 50%，或非侵入性负荷试验阳性。,"Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial",.evimed-sources/PMC8287819/fulltext.md,① history of myocardial infarction (MI); ② coronary angiography or computed tomography coronary angiography confirmation of stenosis greater than 50%; and ③ noninvasive imaging stress test diagnostic of coronary artery disease (CAD)
CLM-006,direct,3,纳入 174 例不耐受长效硝酸酯的慢性冠脉综合征患者的多中心随机双盲安慰剂对照试验中，4 周时试验组 SAQ 总分改善≥20 分者占 60.9%，安慰剂组 39.1%（OR 2.43，95% CI 1.32～4.47，P=0.004）。,"Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study",.evimed-sources/PMC11451125/fulltext.md,"A total of 174 CCS participants from eight clinical study centers in China were included in the modified intention-to-treat analyses. … randomized to either the SJPs or the placebo group for a duration of 4 weeks. … Specifically, 60.9% of patients treated with SJPs achieved a 20-point or greater improvement in SAQ-SS, while only 39.1% (OR = 2.43, 95% confidence interval [CI] = 1.32 to 4.47, P = 0.004) of patients in the placebo group achieved the same level of improvement"
CLM-007,direct,3,该试验 4 周内未报告不良事件，血脂指标组间差异无统计学意义。,"Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study",.evimed-sources/PMC11451125/fulltext.md,randomized to either the SJPs or the placebo group for a duration of 4 weeks. … No participants reported experiencing adverse effects.
CLM-008,direct,5,纳入 41 项随机对照试验、6276 例冠心病患者的 meta 分析报告速效救心丸组心电图改善率优于对照（RR 1.32，95% CI 1.26～1.38），多数纳入研究因缺乏双盲而 Jadad 评分偏低。,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,.evimed-sources/PMC5892298/fulltext.md,"Forty-one trials involving 6276 patients were included in our analysis. Administration of suxiao jiuxin pill significantly improved electrocardiogram (ECG) results when compared with other therapies (RR 1.32, 95% CI 1.26 to 1.38, and P < 0.001). … The majority of the included studies received low Jadad scores due to the lack of a double-blind design"
CLM-009,direct,5,该 meta 分析未分析心血管死亡或药物相关并发症，其终点为心电图、血脂与血流变等替代指标。,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,.evimed-sources/PMC5892298/fulltext.md,"In this study, we did not analyze cardiovascular death or drug-related complications."
CLM-010,direct,9,韩国社区老年人定性研究中，20 名受访者中 18 名（90%）报告过处方或非处方药共享经历，其中处方药共享率 70%。,Medication Sharing Among Older Adults in South Korea: A Qualitative Study,.evimed-sources/PMC12990816/fulltext.md,"A total of 20 participants were included in the study. Among them, 18 participants (90%) reported medication-sharing experiences with prescription or over-the-counter medications, and 16 (80%) reported sharing medications with family or relatives. … The prescription medication sharing rate was 70% (14 of 20 participants) overall"
