claimId,referenceNumber,supportQuote,claimType,sourceTitle
CLM-001,1,"270 patients were enrolled. Nitroglycerin relieved chest pain in 66% of the subjects. … The diagnostic sensitivity of nitroglycerin to determine cardiac chest pain was 72% (64%–80%), and the specificity was 37% (34%–41%). The positive likelihood ratio for having coronary artery … if nitroglycerin relieved chest pain was 1.1 (0.96–1.34). … Telephone follow-up at 4 weeks was performed, with a 95% follow-up rate.",direct,"Chest pain in emergency department patients: if the pain is relieved by nitroglycerin, is it more likely to be cardiac c"
CLM-002,1,Nitroglycerin relieved chest pain in 66% of the subjects.,direct,"Chest pain in emergency department patients: if the pain is relieved by nitroglycerin, is it more likely to be cardiac c"
CLM-003,1,"There were 35 AMIs, based on troponin levels in the study population. Of those diagnosed with AMI, 20 experienced relief with NTG and 15 did not",direct,"Chest pain in emergency department patients: if the pain is relieved by nitroglycerin, is it more likely to be cardiac c"
CLM-004,1,"Using a Pearson χ2, NTG was found not to be statistically significant (p = 0.12)",direct,"Chest pain in emergency department patients: if the pain is relieved by nitroglycerin, is it more likely to be cardiac c"
CLM-005,1,Relief of chest pain with nitroglycerin is not a reliable diagnostic test and does not distinguish between cardiac and non-cardiac chest pain.,direct,"Chest pain in emergency department patients: if the pain is relieved by nitroglycerin, is it more likely to be cardiac c"
CLM-006,1,"The positive likelihood ratio was approximately 1, suggesting that the pretest probability of disease was equivalent to the post-test probability of disease.",direct,"Chest pain in emergency department patients: if the pain is relieved by nitroglycerin, is it more likely to be cardiac c"
CLM-007,2,recent chest pain guidelines suggest that the relief of chest pain by NTG should not be used as a diagnostic factor (as other etiologies of chest pain such as esophageal spasm may be relieved by NTG),direct,Nitroglycerin Use in the Emergency Department: Current Perspectives
CLM-008,2,"the 2020 European Society of Cardiology recommends (Class I, Level C) the use of sublingual or IV nitrates in patients with ongoing ischemic symptoms",direct,Nitroglycerin Use in the Emergency Department: Current Perspectives
CLM-009,2,the recommended doses of NTG include sublingual or spray (0.3 to 0.6 mg) every 5 minutes up to a maximum of 3 doses,direct,Nitroglycerin Use in the Emergency Department: Current Perspectives
CLM-010,13,"Of the 356 cases in the NCHD group, 196 (55.1%) were of the GG genotype and 130 (36.5%) were of the GA genotype. Of the 130 cases, 30 (8.4%) accounted for the AA genotype with the G and A allele frequencies at 82.8%–17.2%, respectively.",direct,Effect of Aldehyde Dehydrogenase 2 Gene Polymorphism on Hemodynamics After Nitroglycerin Intervention in Northern Chines
CLM-011,13,"Of the 203 cases in the CHD group, 103 (50.7%) were of the GG genotype and 86 (42.4%) were of the GA genotypes. Of the 86, 14 cases (6.9%) accounted for the AA genotype with the G and A allele frequencies of 81.4%–18.6%, respectively.",direct,Effect of Aldehyde Dehydrogenase 2 Gene Polymorphism on Hemodynamics After Nitroglycerin Intervention in Northern Chines
CLM-012,13,"The GA genotype (i.e., mutant) only has 6% activity, whereas the AA genotype (i.e., mutant) loses all its activities.",direct,Effect of Aldehyde Dehydrogenase 2 Gene Polymorphism on Hemodynamics After Nitroglycerin Intervention in Northern Chines
CLM-013,13,"The NTG efficacies of the GG and the GA/AA subgroups were 79.4% and 50.6%, respectively. The difference in rapid NTG efficiency was statistically significant ( P < 0.01)",direct,Effect of Aldehyde Dehydrogenase 2 Gene Polymorphism on Hemodynamics After Nitroglycerin Intervention in Northern Chines
CLM-014,13,"All CO values in the wild-type case of both NCHD and CHD groups increased, whereas those in the mutant type decreased.",direct,Effect of Aldehyde Dehydrogenase 2 Gene Polymorphism on Hemodynamics After Nitroglycerin Intervention in Northern Chines
CLM-015,13,The single nucleotide polymorphism mutation rate in East Asia reaches up to 30%–50%.,direct,Effect of Aldehyde Dehydrogenase 2 Gene Polymorphism on Hemodynamics After Nitroglycerin Intervention in Northern Chines
CLM-016,14,Lowered alcohol tolerance due to the accumulation of acetaldehyde is seen in around 40% of the East Asian population.,direct,"Glyceryl Trinitrate: History, Mystery, and Alcohol Intolerance"
CLM-017,14,"While Glu504 homozygotes (ALDH2*1/1) have fully functional enzymatic activity, a drop to negligible levels is seen in Lys504 homozygotes (ALDH2*2/2) and only an uptick to 6% of normal activity is seen in Glu504/Lys504 heterozygotes (ALDH2*1/2)",direct,"Glyceryl Trinitrate: History, Mystery, and Alcohol Intolerance"
CLM-018,14,"recruited 142 coronary heart disease patients and showed that the amelioration of angina pectoris attacks within 5 min of GTN treatment was seen in 67.1% of patients who did not show flushing after drinking wine, compared to just 20.4% in flushing patients. This was consistent with genotype work, which showed that an efficacious response to GTN in 5 min was seen in 57.5% of Glu504 patients compared to 11.1% in the alcohol intolerant, Lys504 patients",direct,"Glyceryl Trinitrate: History, Mystery, and Alcohol Intolerance"
CLM-019,14,"for mutant subjects there was a lack of GTN efficacy, which was reinforced by enzyme kinetic studies that showed a 10-fold drop in GTN metabolism when using the Lys504 enzyme in place of the ALDH2 wild type",direct,"Glyceryl Trinitrate: History, Mystery, and Alcohol Intolerance"
CLM-020,14,"concluded that Lys504 mutant subjects, when administered with GTN sublingually, showed no difference in terms of vasodilatory effects when compared to Glu504 wild type subjects",direct,"Glyceryl Trinitrate: History, Mystery, and Alcohol Intolerance"
