reaction,source,a,b,c,d,N,ROR,ROR_lo,ROR_hi,PRR,PRR_lo,PRR_hi,chi2,IC,IC025,EBGM,EB05,expected_count,haldane_anscombe_applied,gps_prior_id,is_signal
gastrointestinal haemorrhage,user-specified,"18,195","532,372","87,108","19,690,900","20,328,575",7.726,7.602,7.852,7.504,7.386,7.623,85282.229,2.674,2.651,6.379,6.302,2851.964,no,,yes
fatigue,top-pt,"33,713","516,854","725,111","19,052,897","20,328,575",1.714,1.695,1.733,1.670,1.653,1.688,8999.328,0.714,0.698,1.640,1.626,20551.537,no,,yes
dyspnoea,top-pt,"30,527","520,040","547,517","19,230,491","20,328,575",2.062,2.037,2.086,2.003,1.981,2.025,14945.273,0.963,0.946,1.950,1.932,15655.399,no,,yes
nausea,top-pt,"28,375","522,192","736,244","19,041,764","20,328,575",1.405,1.388,1.423,1.384,1.369,1.401,3031.254,0.454,0.437,1.370,1.357,20708.485,no,,yes
diarrhoea,top-pt,"27,911","522,656","602,686","19,175,322","20,328,575",1.699,1.678,1.720,1.664,1.644,1.683,7287.773,0.709,0.691,1.634,1.618,17078.713,no,,yes
drug ineffective,top-pt,"27,715","522,852","1,303,819","18,474,189","20,328,575",0.751,0.742,0.760,0.764,0.755,0.773,2125.200,-0.380,-0.397,0.768,0.761,36062.473,no,,no
dizziness,top-pt,"24,112","526,455","467,241","19,310,767","20,328,575",1.893,1.868,1.918,1.854,1.830,1.877,9239.789,0.858,0.839,1.812,1.793,13307.512,no,,yes
headache,top-pt,"21,918","528,649","597,215","19,180,793","20,328,575",1.332,1.313,1.350,1.318,1.301,1.336,1676.663,0.386,0.367,1.307,1.292,16768.229,no,,yes
off label use,top-pt,"19,894","530,673","816,804","18,961,204","20,328,575",0.870,0.858,0.883,0.875,0.863,0.887,362.083,-0.188,-0.208,0.878,0.868,22660.630,no,,no
asthenia,top-pt,"19,514","531,053","345,884","19,432,124","20,328,575",2.064,2.034,2.095,2.027,1.998,2.056,9783.220,0.980,0.959,1.972,1.949,9896.221,no,,yes
fall,top-pt,"19,275","531,292","303,645","19,474,363","20,328,575",2.327,2.293,2.362,2.280,2.248,2.313,13239.554,1.140,1.119,2.204,2.178,8745.773,no,,yes
