source_id,domain,source_title,source_type,evidence_access,publication,observed_findings,limitations,identifier
CDDP-LABEL-NMPA,applicability,复方丹参滴丸说明书（NMPA 索引件）,药品说明书（监管记录）,regulatory_record,NMPA 国药准字Z10950111,功能主治：活血化瘀理气止痛；用于气滞血瘀所致胸痹/冠心病心绞痛及 2 型糖尿病非增殖性糖尿病视网膜病变；规格每丸 27mg；禁忌：对本品及所含成份过敏者禁用；注意事项：孕期哺乳期妇女慎用,索引件非官方原件；说明书原件未直接取得；用法用量与疗程条款未在索引字段中完整呈现（据公开转载为一次10丸一日3次、4周/28天为一疗程）,国药准字Z10950111
SXJW-LABEL-SECONDARY,applicability,速效救心丸说明书（二手商业药房站点转载）,药品说明书（二手转录）,bibliographic_only,国药准字Z12020025,成分川芎、冰片；功能主治行气活血祛瘀止痛、增加冠脉血流量缓解心绞痛，用于气滞血瘀型冠心病心绞痛；用法含服一次4～6粒一日3次、急性发作一次10～15粒；禁忌孕妇禁用、对本品过敏者禁用；提示寒凝血瘀、阴虚血瘀胸痹心痛不宜单用,非官方原件、经商业站点转述、未经 NMPA 核实；说明书未载明疗程,国药准字Z12020025
PMID:28397728,effectiveness,Recommendations on the Clinical Use of Compound Danshen Dripping Pills,专家建议/共识（全文）,full_text,Chin Med J 2017（据中华老年医学杂志 2016;35:1139-45）,冠心病 10丸 tid、4周一疗程可延长；急救 10丸舌下、5min 未缓解可再服或改用硝酸酯；糖尿病微血管并发症 24 周一疗程；口服后丹参素等成分 Tmax<1 h；FDA II 期（美国 125 例）高剂量组运动耐量 TED +43s(P=0.005)；16 项 meta 分析（513 研究、53,350 例）均报阳性疗效；ADR 发生率 0.0018%,专家共识非正式指南；利益资助来源为中国健康促进基金会老年医学专项基金,DOI 10.4103/0366-6999.204106; PMID 28397728
PMID:28397728,safety,Recommendations on the Clinical Use of Compound Danshen Dripping Pills,专家建议/共识（全文）,full_text,同上,2011-2014 国家 ADR 中心收到 1413 例相关 ADR/事件（用药 79,497,137 例，发生率 0.0018%），多为可自行缓解的胃肠道不适、头胀、面红；18 例严重事件中 5 例与用药不当相关；FDA II 期无药物相关严重不良事件、QTc 心脏安全性良好,上市后监测为自发报告、存在漏报；罕见事件发生率不精确,DOI 10.4103/0366-6999.204106
PMID:25582415,evidence_certainty,Compound Danshen dripping pill for CHD: an overview of systematic reviews,系统评价伞状综述,abstract,Am J Chin Med 2015,13 篇 SR、34,071 例；多数 SR 提示改善症状与心电图、不良反应少，但终点获益未证实；GRADE 确定性 very low～moderate；SR 多为 low(3/13) 或 moderate(9/13) 质量（AMSTAR）,仅获摘要；检索截至 2014-03；终点证据不足,DOI 10.1142/S0192415X15500020; PMID 25582415
PMID:40258733,effectiveness,Advances of clinical trials on compound Danshen dripping pills for stable angina pectoris: A perspective,综述（观点）,abstract,Medicine 2025,检索 CNKI+PubMed 至 2024-07-31、纳入 10 项 RCT；CDDP 可能具抗缺血、扩血管、抗氧化获益，单药与联合用药安全性良好；需更多多中心 RCT 验证长期疗效与安全性,仅获摘要；为叙事性观点综述而非系统评价,DOI 10.1097/MD.0000000000042175; PMID 40258733
PMID:22803444,evidence_certainty,Assessment of the quality of RCTs in treating CHD by Chinese patent medicine,RCT 质量评价,abstract,中国中西医结合杂志 2012,纳入 88 项 RCT（含复方丹参滴丸、复方丹参片、速效救心丸、通心络、硝酸异山梨酯）；Jadad 中位 2.00，仅 9.09%(8/88) 为高质量；1997—2009 质量未改善,仅获摘要；未分别报告两药各自质量,PMID 22803444
SXJW-CONSENSUS-2019,effectiveness,速效救心丸治疗冠心病中国专家共识,专家共识,abstract,中西医结合心脑血管病杂志 2019,速效救心丸为《中国药典》第一个纯中药滴丸制剂、1982 年上市；用于冠心病预防、治疗与急救；据厂商回应与媒体转述其推荐预防与长期治疗 4～6 粒 tid、4 周一疗程、至少 1～2 疗程,仅获摘要；疗程与剂量表述未经全文核实（经厂商回应/媒体转述）,维普 id=7100492500
H2H-LI2014,effectiveness,复方丹参滴丸与速效救心丸疗效观察,头对头观察研究,abstract,基层医学论坛 2014,76 例不稳定型心绞痛含服两药比较；结论复方丹参滴丸作用更迅速,样本小、单中心、报告为观察对比、随机与盲法未明,CNKI YXLT201411083
H2H-ZHENG2017,effectiveness,速效救心丸与复方丹参滴丸治疗冠心病心绞痛的临床效果比较,头对头 RCT,abstract,中国生化药物杂志 2017,98 例随机分两组（各 49 例）、常规治疗基础上加药 2 周；两组发作频率与持续时间均改善，速效救心丸组下降幅度优于复方丹参滴丸组(P<0.05),样本小、单中心、替代结局、随访仅 2 周,维普 id=673509142
