claimId,referenceNumber,supportQuote
CLM-001,1,"Ca 2+ measurement and electrophysiological recordings revealed that borneol activated TRPM8 channel in a temperature- and dose-dependent manner, which was similar to but less effective than the action of menthol, an established TRPM8 agonist."
CLM-002,1,"In addition to cold temperatures, TRPM8 can also be activated by cool sensation-producing compounds such as menthol and icilin"
CLM-003,2,"the hTRPA1 current induced by AITC (20 μM) was inhibited by borneol, 2-methylisoborneol, and fenchyl alcohol in a dose-dependent manner, with half-maximal inhibitory concentrations (IC 50 ) of 0.20 ± 0.06, 0.12 ± 0.03, and 0.32 ± 0.06 mM, respectively, which are much lower than the IC 50 of 1,8-cineole (3.43 ± 0.58 mM) and camphor (1.26 ± 0.32 mM)"
CLM-004,3,"alcohol (citronellol, geraniol, (±)-linalool, (−)-linalool, (+)-borneol, (−)-borneol, α -terpineol), ester (geranyl acetate, linalyl acetate, bornyl acetate), and oxide (rose oxide) compounds also reduced CAP peak amplitudes (IC 50 : 0.50, 0.35, 0.53, 1.7, 2.0, 1.5, 2.3, 2.7, 0.51, 0.71, 0.44, and 2.6 mmol/L, respectively)"
CLM-005,4,"According to the Chinese Pharmacopoeia, each pill of SJPs is required to contain a minimum of 15.0 μg of Ligusticum chuanxiong, expressed in terms of ferulic acid (C 10 H 10 O 4 ), and 2.9 to 4.4 mg of Borneolum syntheticum, expressed in terms of Borneol (C 10 H 18 O)."
CLM-006,4,"A total of 174 CCS participants from eight clinical study centers in China were included in the modified intention-to-treat analyses. … During the 4-week treatment period, all participants were instructed to orally administer the study medication sublingually after meals, three times a day, taking 5 capsules each time (total of 15 capsules per day), continuously for 4 weeks. … Participants in this study were asked about any adverse events during the weekly telephone surveys. No participants reported experiencing adverse effects."
CLM-007,4,"Compared to the placebo group, the SJPs group showed a significant improvement in the efficacy rate after 4 weeks (OR = 2.43, 95% CI = 1.32 to 4.47, P = 0.004)."
CLM-008,5,"Forty-one trials involving 6276 patients were included in our analysis. … Fourteen studies reported the incidence of adverse reactions. The most common symptoms were mild headache, dizziness, and facial flushing. Most of these symptoms resolved spontaneously. There was no significant difference in the adverse reaction rates between the treatment and the control groups (RR 1.12, 95% CI 0.50 to 2.51, and P = 0.785)"
CLM-009,6,"Although recent chest pain guidelines suggest that the relief of chest pain by NTG should not be used as a diagnostic factor (as other etiologies of chest pain such as esophageal spasm may be relieved by NTG)"
CLM-010,7,"A 58-year-old man with bacterial pneumonia developed oral and tongue numbness, dyspnea, and pruritus approximately 4 minutes after intravenous infusion of piperacillin/tazobactam. … The reaction was clinically suggestive of a type I hypersensitivity."
CLM-011,8,"Call 999 if: … you get sudden pain or discomfort in your chest that does not go away – the pain can feel like squeezing or pressure inside your chest, burning or indigestion … You could be having a heart attack. Call 999 straight away as you need immediate treatment in hospital."
CLM-012,9,"People with suspected ACS should receive care guided by an evidence‐based CDP that includes assay‐specific troponin results to categorise people as high, intermediate or low risk"
CLM-013,1,"borneol activated TRPM8 channel in a temperature- and dose-dependent manner, which was similar to but less effective than the action of menthol, an established TRPM8 agonist."
