claimId,referenceNumber,sourceTitle,identifier,artifactPath,accessLevel,supportQuote
CLM-001,1,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,PMID:29770157 / PMCID:PMC5892298 / DOI:10.1155/2018/9745804,.evimed-sources/PMC5892298/fulltext.md,full_text,"Forty-one trials involving 6276 patients were included in our analysis.…suxiao jiuxin pills improve ECG results more than salvia tablets (RR 1.54; 95% CI 1.41 to 1.67, P < 0.001), isosorbide dinitrate (RR 1.14; 95% CI 1.05 to 1.22, P = 0.001), nitroglycerin (RR 1.35, 95% CI 1.16 to 1.56, P < 0.001)"
CLM-002,1,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,PMID:29770157 / PMCID:PMC5892298 / DOI:10.1155/2018/9745804,.evimed-sources/PMC5892298/fulltext.md,full_text,"There was no significant difference in the adverse reaction rates between the treatment and the control groups (RR 1.12, 95% CI 0.50 to 2.51, and P = 0.785)…The most common symptoms were mild headache, dizziness, and facial flushing."
CLM-003,1,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,PMID:29770157 / PMCID:PMC5892298 / DOI:10.1155/2018/9745804,.evimed-sources/PMC5892298/fulltext.md,full_text,"The majority of the included studies received low Jadad scores due to the lack of a double-blind design…In this study, we did not analyze cardiovascular death or drug-related complications."
CLM-004,1,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,PMID:29770157 / PMCID:PMC5892298 / DOI:10.1155/2018/9745804,.evimed-sources/PMC5892298/fulltext.md,full_text,The 41 studies consisted of 6276 patients with coronary heart disease…All of the included studies were conducted in China.
CLM-005,2,"Chest pain in emergency department patients: if the pain is relieved by nitroglycerin, is it more likely to be cardiac chest pain?",DOI:10.1017/S1481803500013671,.evimed-sources/10.1017-s1481803500013671/fulltext.md,full_text,"The sensitivity of NTG as a diagnostic test for chest pain was 72% (confidence interval [CI] 64%–80%). The specificity was 37% (CI 34%–41%). The positive likelihood ratio of determining if a patient whose chest pain is relieved following the administration of NTG has cardiac chest pain was 1.1 (CI 0.96–1.34). Using a Pearson χ2, NTG was found not to be statistically significant (p = 0.12) when differentiating between patients with CAD and those without CAD"
CLM-006,2,"Chest pain in emergency department patients: if the pain is relieved by nitroglycerin, is it more likely to be cardiac chest pain?",DOI:10.1017/S1481803500013671,.evimed-sources/10.1017-s1481803500013671/fulltext.md,full_text,"One hundred and seventy-seven of 270 patients showed a positive response to NTG (66%), and 93/270 (34%) showed a negative response…Of those patients who experienced relief with NTG, 60/177 (34%) had defined cardiac chest pain and 117/177 (66%) had non-cardiac chest pain…There were 35 AMIs, based on troponin levels in the study population. Of those diagnosed with AMI, 20 experienced relief with NTG and 15 did not obtain relief."
CLM-007,2,"Chest pain in emergency department patients: if the pain is relieved by nitroglycerin, is it more likely to be cardiac chest pain?",DOI:10.1017/S1481803500013671,.evimed-sources/10.1017-s1481803500013671/fulltext.md,full_text,"This study corroborates recent work done by Shry and colleagues, Henrikson and coworkers, and Diercks and associates (Table 2)"
CLM-008,3,Characterization of the East Asian Variant of Aldehyde Dehydrogenase-2,PMID:19906643 / PMCID:PMC2801295 / DOI:10.1074/jbc.M109.014548,.evimed-sources/PMC2801295/fulltext.md,full_text,"resulting in pronounced, 35-fold lower rates of GTN reduction at pharmacologically relevant low concentrations of the nitrate (0.24 ± 0.02 versus 8.6 ± 0.19 nmol 1,2-GDN × min−1 × mg−1 for ALDH2*2 and ALDH2*1 in the presence of 2 μ M GTN)"
CLM-009,3,Characterization of the East Asian Variant of Aldehyde Dehydrogenase-2,PMID:19906643 / PMCID:PMC2801295 / DOI:10.1074/jbc.M109.014548,.evimed-sources/PMC2801295/fulltext.md,full_text,"Although ALDH2*2 exhibited 7-fold lower GTN denitrating activity and GTN affinity than ALDH2*1, the rate of nitric oxide formation was only reduced 2-fold"
CLM-010,3,Characterization of the East Asian Variant of Aldehyde Dehydrogenase-2,PMID:19906643 / PMCID:PMC2801295 / DOI:10.1074/jbc.M109.014548,.evimed-sources/PMC2801295/fulltext.md,full_text,"Another study reported that the efficacious rate of sublingual GTN, measured as reduction of ischemic chest pain of patients having documented coronary artery disease, was reduced from 85.1% in controls to 57.6% in subjects carrying at least one ALDH2*2 allele"
CLM-011,3,Characterization of the East Asian Variant of Aldehyde Dehydrogenase-2,PMID:19906643 / PMCID:PMC2801295 / DOI:10.1074/jbc.M109.014548,.evimed-sources/PMC2801295/fulltext.md,full_text,"Extrapolation of our data obtained with purified enzymes to the in vivo situation would imply that the vascular response to low doses of GTN should be reduced in subjects carrying the ALDH2*2 allele, whereas the response to high doses should be preserved.…Thus, there is considerable evidence that subjects expressing the E487K mutant are still responsive to GTN."
CLM-012,3,Characterization of the East Asian Variant of Aldehyde Dehydrogenase-2,PMID:19906643 / PMCID:PMC2801295 / DOI:10.1074/jbc.M109.014548,.evimed-sources/PMC2801295/fulltext.md,full_text,A dominant-negative ALDH2 polymorphism resulting in markedly reduced alcohol tolerance has been described that occurs with an incidence of 35–57% in different East Asian subpopulations
CLM-013,5,Novel and prevalent non-East Asian ALDH2 variants; Implications for global susceptibility to aldehydes' toxicity,PMID:32403082 / PMCID:PMC7218264 / DOI:10.1016/j.ebiom.2020.102753,.evimed-sources/PMC7218264/fulltext.md,full_text,"About 45% of Han Chinese (East Asians), accounting for 8% of humans, carry a single point mutation in ALDH2*2 (E504K)…the ALDH2*2 (E504K) variant is the most prevalent genetic variant worldwide, with an allele frequency of 26.6% among East Asians…The ALDH2 activity of human carriers of the heterozygous ALDH2*1/*2 genotype is 25–40% of wild type enzyme"
CLM-014,4,Geographical distribution of ALDH2 rs671 polymorphism in Chinese angina pectoris patients,PMID:40979589 / PMCID:PMC12447523 / DOI:10.3389/fgene.2025.1543963,.evimed-sources/PMC12447523/fulltext.md,full_text,"In eastern China (Jiaxing), the G and A allele frequencies were 77.99% and 22.01%, respectively, with the wild-type GG genotype occurring in 59.66% of cases, the heterozygous GA genotype in 36.65%, and the homozygous AA genotype in 3.69%. In northern China (Luoyang), the G and A allele frequencies were 85.25% and 14.75%, respectively, with GG, GA, and AA genotype frequencies of 72.47%, 25.56%, and 1.97%. In southern China (Guilin), the G and A allele frequencies were 78.09% and 21.91%, respectively, with corresponding GG, GA, and AA genotype frequencies of 60.75%, 34.68%, and 4.57%"
CLM-015,4,Geographical distribution of ALDH2 rs671 polymorphism in Chinese angina pectoris patients,PMID:40979589 / PMCID:PMC12447523 / DOI:10.3389/fgene.2025.1543963,.evimed-sources/PMC12447523/fulltext.md,full_text,"Heterozygous individuals retain only about 10% of the enzyme activity compared to wild-type individuals, while homozygous mutants completely lack enzymatic activity"
CLM-016,4,Geographical distribution of ALDH2 rs671 polymorphism in Chinese angina pectoris patients,PMID:40979589 / PMCID:PMC12447523 / DOI:10.3389/fgene.2025.1543963,.evimed-sources/PMC12447523/fulltext.md,full_text,Zhang et al. demonstrated that patients with mutant ALDH2 alleles had significantly lower changes in coronary artery diameter and systolic blood pressure after nitroglycerin administration compared to wild-type individuals…individuals carrying the mutant ALDH2*2 allele exhibited approximately 40% less vasodilatory response to nitroglycerin compared to wild-type controls
CLM-017,6,"Coronary artery spasm — Clinical features, pathogenesis and treatment",PMID:30745502 / PMCID:PMC6403432 / DOI:10.2183/pjab.95.005,.evimed-sources/PMC6403432/fulltext.md,full_text,"The deficient variant ALDH2 genotype (ALDH2*2) is prevalent (30–50%) among East Asians, but rare in other populations…Accordingly, carriers of ALDH2*2 genotypes are less responsive to nitroglycerin and are more susceptible to nitroglycerin tolerance and ROS."
CLM-018,6,"Coronary artery spasm — Clinical features, pathogenesis and treatment",PMID:30745502 / PMCID:PMC6403432 / DOI:10.2183/pjab.95.005,.evimed-sources/PMC6403432/fulltext.md,full_text,Attacks of CAS can usually be promptly relieved by sublingual administration or oral spray of nitroglycerin or isosorbide dinitrate (ISDN).
CLM-019,7,Pre-Hospital Delay in STEMI: A Narrative Review of Symptom Onset-to-First Medical Contact Across High-Income and Low- and Middle-Income Countries,PMID:42171119 / PMCID:PMC13239337 / DOI:10.1002/clc.70352,.evimed-sources/PMC13239337/fulltext.md,full_text,"Observational studies have reported that each 30-min delay in reperfusion is associated with an increase in relative mortality risk, underscoring the time-sensitive nature of STEMI care"
CLM-020,7,Pre-Hospital Delay in STEMI: A Narrative Review of Symptom Onset-to-First Medical Contact Across High-Income and Low- and Middle-Income Countries,PMID:42171119 / PMCID:PMC13239337 / DOI:10.1002/clc.70352,.evimed-sources/PMC13239337/fulltext.md,full_text,"Thrombolytic therapy is most effective when administered within the first hour after symptom onset (“the golden hour”), although clinical benefit may extend for several hours after symptom onset"
CLM-021,7,Pre-Hospital Delay in STEMI: A Narrative Review of Symptom Onset-to-First Medical Contact Across High-Income and Low- and Middle-Income Countries,PMID:42171119 / PMCID:PMC13239337 / DOI:10.1002/clc.70352,.evimed-sources/PMC13239337/fulltext.md,full_text,"median symptom onset–to–FMC intervals in high-income countries are typically 60–120 min…studies from several LMIC settings, including India, China and South Africa, report delays often exceeding 300–480 min"
CLM-022,7,Pre-Hospital Delay in STEMI: A Narrative Review of Symptom Onset-to-First Medical Contact Across High-Income and Low- and Middle-Income Countries,PMID:42171119 / PMCID:PMC13239337 / DOI:10.1002/clc.70352,.evimed-sources/PMC13239337/fulltext.md,full_text,"A study conducted by Yang et al. in China reported that only a minority of STEMI patients used EMS, with most patients opting for private or self-transport, despite EMS use being associated with shorter hospital delays"
CLM-023,7,Pre-Hospital Delay in STEMI: A Narrative Review of Symptom Onset-to-First Medical Contact Across High-Income and Low- and Middle-Income Countries,PMID:42171119 / PMCID:PMC13239337 / DOI:10.1002/clc.70352,.evimed-sources/PMC13239337/fulltext.md,full_text,"Such atypical symptoms are frequently misattributed to gastrointestinal causes, which contributes to prolonged delay before seeking care"
CLM-024,7,Pre-Hospital Delay in STEMI: A Narrative Review of Symptom Onset-to-First Medical Contact Across High-Income and Low- and Middle-Income Countries,PMID:42171119 / PMCID:PMC13239337 / DOI:10.1002/clc.70352,.evimed-sources/PMC13239337/fulltext.md,full_text,"Prolonged pre-hospital delays are consistently associated with adverse outcomes, including reduced eligibility for timely reperfusion and higher morbidity and mortality…which aligns with ACC/AHA and ESC guidelines emphasizing early EMS activation and rapid transport to definitive care"
CLM-025,8,Prehospital and in-hospital delays to care and associated factors in patients with STEMI: an observational study in 101 non-PCI hospitals in China,PMID:31712344 / PMCID:PMC6858215 / DOI:10.1136/bmjopen-2019-031918,.evimed-sources/PMC6858215/fulltext.md,full_text,"The rates of prehospital delay, first ECG delay, thrombolytic therapy delay and in-hospital delay were 67.1%, 31.4%, 85.8% and 67.8%, respectively…the median time found in our study was much longer, about 210 min"
CLM-026,8,Prehospital and in-hospital delays to care and associated factors in patients with STEMI: an observational study in 101 non-PCI hospitals in China,PMID:31712344 / PMCID:PMC6858215 / DOI:10.1136/bmjopen-2019-031918,.evimed-sources/PMC6858215/fulltext.md,full_text,"symptoms onset-to-arrival time was the dominant time segment, accounting for two-thirds of the total ischaemic time among those who received thrombolytic therapy…half of the patients not receiving thrombolytic therapy arrived at the hospital beyond 6 hours after their disease onset"
CLM-027,9,Chest pain - NHS,https://www.nhs.uk/symptoms/chest-pain/,.evimed-sources/official-pages/e6143b76645a9461/page.md,official_page,"Call 999 if: - you get sudden pain or discomfort in your chest that does not go away – the pain can feel like squeezing or pressure inside your chest, burning or indigestion…You could be having a heart attack. Call 999 straight away as you need immediate treatment in hospital."
CLM-028,10,CPR and ECC Guidelines | American Heart Association CPR & First Aid,https://cpr.heart.org/en/resuscitation-science/cpr-and-ecc-guidelines,.evimed-sources/official-pages/e2c33edcc476dbdd/page.md,official_page,2025 American Heart Association Guidelines for CPR and ECC
CLM-034,9,Chest pain - NHS,https://www.nhs.uk/symptoms/chest-pain/,.evimed-sources/official-pages/e6143b76645a9461/page.md,official_page,"Call 999 if: - you get sudden pain or discomfort in your chest that does not go away – the pain can feel like squeezing or pressure inside your chest, burning or indigestion…You could be having a heart attack. Call 999 straight away as you need immediate treatment in hospital."
CLM-035,2,"Chest pain in emergency department patients: if the pain is relieved by nitroglycerin, is it more likely to be cardiac chest pain?",DOI:10.1017/S1481803500013671,.evimed-sources/10.1017-s1481803500013671/fulltext.md,full_text,"Based on our study of adult ED patients, relief of chest pain with NTG is not a reliable diagnostic test and does not help physicians to distinguish between cardiac and non-cardiac chest pain."
CLM-036,7,Pre-Hospital Delay in STEMI: A Narrative Review of Symptom Onset-to-First Medical Contact Across High-Income and Low- and Middle-Income Countries,PMID:42171119 / PMCID:PMC13239337 / DOI:10.1002/clc.70352,.evimed-sources/PMC13239337/fulltext.md,full_text,"Observational studies have reported that each 30-min delay in reperfusion is associated with an increase in relative mortality risk, underscoring the time-sensitive nature of STEMI care"
CLM-037,1,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,PMID:29770157 / PMCID:PMC5892298 / DOI:10.1155/2018/9745804,.evimed-sources/PMC5892298/fulltext.md,full_text,The 41 studies consisted of 6276 patients with coronary heart disease…The majority of the included studies received low Jadad scores due to the lack of a double-blind design
CLM-038,2,"Chest pain in emergency department patients: if the pain is relieved by nitroglycerin, is it more likely to be cardiac chest pain?",DOI:10.1017/S1481803500013671,.evimed-sources/10.1017-s1481803500013671/fulltext.md,full_text,"For those who had no relief with NTG, 23/93 (25%) were found to have cardiac chest pain and 70/93 (75%) were found to have non-cardiac chest pain."
