citationId,claimSummary,sourceTitle,venueOrRegistry,year,idType,identifier,url,accessLevel,retrievedAt,supportOrConflict,verifiedPrimary,notes
CLM-LBL-SXJW-IND,速效救心丸说明书适应证与禁忌/注意事项/不良反应原文,速效救心丸药品说明书（NMPA 索引记录）,China NMPA 药品说明书,2026,NMPA-indexed,EVIMED-LABEL:nmpa-0,https://www.evimed.com/drug-details?source=nmpa&name=8ac63be3f1a3baecde08da451c44c859.pdf,regulatory_record,2026-09-09T06:43:09Z,supports,indexed-copy-requires-official-verification,"索引记录字段：行气活血祛瘀止痛增加冠脉血流量缓解心绞痛，用于气滞血瘀型冠心病心绞痛；孕妇禁用；寒凝血瘀/阴虚血瘀不宜单用；过敏慎用；伴中重度心衰慎用；治疗期间心绞痛持续发作宜加用硝酸酯类药；不良反应恶心呕吐口干腹痛胃部不适头痛头晕皮疹瘙痒潮红乏力过敏样反应等；规格每丸重40mg，生产企业津药达仁堂第六中药厂。官方现行版本需到 NMPA 核验（国药准字Z12020025）。"
CLM-LBL-SXJW-IND2,用户提供的本品功效表述（同产品、较简表述）,速效救心丸品牌实体说明书表述,China NMPA 药品说明书,2026,approval,国药准字Z12020025,,user_provided,2026-09-09,supports,,brief 字段 labelIndication=行气活血祛瘀止痛，用于气滞血瘀所致的胸痹，症见心痛胸闷憋气
CLM-LBL-NTG-IND,硝酸甘油片说明书适应证与禁忌原文,硝酸甘油片药品说明书（NMPA 索引记录，0.5mg）,China NMPA 药品说明书,2026,NMPA-indexed,EVIMED-LABEL:nmpa-0,https://www.evimed.com/drug-details?source=nmpa&name=8694b29782f6b9134e47c747eece0414.pdf,regulatory_record,2026-09-09T07:03:32Z,supports,indexed-copy-requires-official-verification,用于预防和迅速缓解因冠状动脉疾病引起的心绞痛发作；对有机硝酸酯类过敏者禁用；不良反应含剧烈持久头痛、体位性低血压等；遮光密封保存
CLM-CONS-SXJW-DOSE,心绞痛发作时舌下含服10～15粒（2018稳定型心绞痛专家共识，经2019速效救心丸专家共识转引）;日常治疗场景每日3次每次4～6粒,速效救心丸治疗冠心病中国专家共识,中西医结合心脑血管病杂志 2019;17(21),2019,journal-CNKI,CJFDTotal-ZYYY201921001,https://www.cnki.com.cn/Article/CJFDTotal-ZYYY201921001.htm,full_text(consensus preserved text),2026-09-09T06:56Z,supports,yes-full-text-snapshot,快照 .internal/suxiao-consensus-2019.md sha256 c6d98f64…；转引2018年中华中医药学会心血管病分会《冠心病稳定型心绞痛中医诊疗专家共识》. 题录页号未经官方现行源核验，不标注页号
CLM-CONS-SXJW-MEAL,含冰片可能引起胃肠道不适，服药后胃部不适者建议饭后30分钟服用,速效救心丸治疗冠心病中国专家共识,中西医结合心脑血管病杂志 2019;17(21),2019,journal-CNKI,CJFDTotal-ZYYY201921001,https://www.cnki.com.cn/Article/CJFDTotal-ZYYY201921001.htm,full_text(consensus preserved text),2026-09-09T06:56Z,supports,yes-full-text-snapshot,同上
CLM-CONS-SXJW-SAFETY,共识安全段：常见轻度头痛头晕面部潮红多自行消退；共识转引41项研究6276例荟萃（原文署Li等，与可核验记录Ren L等eCAM 2018 PMID 29770157不符，故不进入包正文，仅作共识自身表述）,速效救心丸治疗冠心病中国专家共识,中西医结合心脑血管病杂志 2019;17(21),2019,journal-CNKI,CJFDTotal-ZYYY201921001,https://www.cnki.com.cn/Article/CJFDTotal-ZYYY201921001.htm,full_text(consensus preserved text),2026-09-09T06:56Z,supports,yes-full-text-snapshot,共识正文表述「长期使用安全性好」及所转引荟萃（41项/6276例）与真实文献Ren L et al. eCAM 2018 DOI 10.1155/2018/9745804 数量吻合但作者署名不一致；该句未进入包正文
CLM-RCT-STABLE-ANGINA,24周双盲安慰剂对照多中心RCT：常规治疗+速效救心丸较常规治疗改善稳定型心绞痛疗效，未见明显不良反应,Evaluation of the efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina,Journal of Ethnopharmacology,2024,doi,10.1016/j.jep.2023.116959,https://doi.org/10.1016/j.jep.2023.116959,abstract,2026-09-09T07:30Z,supports,abstract-only,n=324，13家医院；注册ChiCTR1900021876；abstract级（检索返回的P值字段显示异常，未逐项复核全文）
CLM-RCT-STABLE-PROTOCOL,同一试验方案：5粒/次、每日3次、24周,study protocol of a randomized…stable angina,Trials,2021,doi,10.1186/s13063-021-05448-6,https://doi.org/10.1186/s13063-021-05448-6,abstract,2026-09-09T07:30Z,supports,abstract-only,
CLM-SR-ACS,ACS系统评价：速效救心丸+常规 vs 常规，UA总终点RR0.34(0.17-0.68)、AMI RR0.35(0.18-0.68)，作者提示方法学质量差须谨慎,Effectiveness and safety of Suxiao Jiuxin pill in treating acute coronary syndrome,Journal of Traditional Chinese Medicine,2020,pmid,32744020,https://pubmed.ncbi.nlm.nih.gov/32744020/,abstract,2026-09-09T06:38Z,supports,abstract-only,8项RCT 979例；辅助治疗场景，非一级预防证据；欧洲PMC记录DOI 10.19852/j.cnki.jtcm.2020.04.002（Crossref未收录，故Bib以PMID标注）；刊名据欧洲PMC为Journal of Traditional Chinese Medicine（中医杂志英文版）
CLM-SR-VS-NTG,速效救心丸对比硝酸甘油治疗心绞痛急性发作系统评价：心绞痛改善率RR1.00(0.94,1.06)无差异；不良反应RR0.37(0.20,0.69),速效救心丸对比硝酸甘油治疗心绞痛急性发作疗效和安全性的系统评价,中西医结合心脑血管病杂志（科技核心）,2021,journal,cqvip-7103853892,https://qikan.cqvip.com/Qikan/Article/Detail?id=7103853892,abstract,2026-09-09T06:43Z,supports,abstract-only,6项RCT 651例；林泉等
CLM-EMERGENCY-NHS,突发胸痛不缓解或放射/伴大汗恶心气短应立即呼叫急救,CHEST PAIN (patient guidance),NHS UK,2023,official-page,sha256-929c2bca,https://www.nhs.uk/symptoms/chest-pain/,full_text,2026-09-09T07:20Z,supports,yes-full-text,page last reviewed 2023-08-08；急救电话在英国为999（对应中国120）
CLM-GUIDE-2018-STABLE,稳定型心绞痛属胸痹心痛范畴；发作期/缓解期辨证论治（中医药框架背景）,冠心病稳定型心绞痛中医诊疗专家共识,中华中医药学会（CACM）,2018,guideline,EVIMED-GUIDE:0,https://www.cnki.com.cn/Article/CJFDTotal-ZZYZ201805020.htm,preserved-text(volatile path),2026-09-09,supports,background-only,工件路径被覆写风险已记录；本包仅用作辨证背景不直接引用数值
