Source skill,Severity,Findings,Runtime status,Disposition,Mapped runtime packages,Source instructions loaded,Decision
adaptyv,MEDIUM,3,not_default,credentialed_or_licensed_optional,,no,"Useful external service, but global publication would fail without an operator account, contract, or proprietary runtime."
aeon,SAFE,0,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/time-series-forecasting,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
anndata,SAFE,0,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/single-cell-analysis,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
arbor,MEDIUM,4,capability_mapped,covered_by_rehabilitated_runtime,external/ai4s-skills/experiment-suite; core/traceability-review,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
arboreto,SAFE,0,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/biomedical-knowledge-graph,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
astropy,LOW,3,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/astronomy-data-analysis,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
autoskill,CRITICAL,15,excluded,excluded_no_unique_research_gap,,no,No unique safe EviMed research gap remains after the unified runtime packages; the incoming package is omitted from the action space.
benchling-integration,LOW,3,not_default,credentialed_or_licensed_optional,,no,"Useful external service, but global publication would fail without an operator account, contract, or proprietary runtime."
bgpt-paper-search,HIGH,4,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/biomedical-database-search; curated-scientific/citation-integrity; builtin/websearch,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
bids,HIGH,6,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/medical-imaging-data,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
biopython,HIGH,10,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/biosequence-analysis; curated-scientific/bulk-rna-seq,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
bioservices,LOW,4,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/biomedical-database-search,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
bulk-rnaseq,LOW,5,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/bulk-rna-seq,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
cellxgene-census,CRITICAL,5,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/single-cell-analysis,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
cirq,LOW,3,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/quantum-computing-analysis,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
citation-management,CRITICAL,15,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/citation-integrity,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
clinical-decision-support,CRITICAL,12,excluded,excluded_clinical_decision_support,,no,Clinical treatment or decision support is outside the current research-agent scope and is not published as an autonomous research skill.
clinical-reports,CRITICAL,12,capability_mapped,covered_by_rehabilitated_runtime,external/ai4s-skills/paper-writer; core/domain-check,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
cobrapy,MEDIUM,3,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/metabolic-network-modeling,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
consciousness-council,HIGH,4,excluded,excluded_no_unique_research_gap,,no,No unique safe EviMed research gap remains after the unified runtime packages; the incoming package is omitted from the action space.
dask,LOW,1,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/scientific-data-engineering,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
database-lookup,LOW,3,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/biomedical-database-search,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
datamol,LOW,3,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/cheminformatics,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
deepchem,SAFE,0,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/drug-discovery-data,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
deeptools,LOW,1,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/biosequence-analysis; curated-scientific/bulk-rna-seq,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
depmap,LOW,5,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/cancer-functional-genomics,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
dhdna-profiler,HIGH,5,excluded,excluded_no_unique_research_gap,,no,No unique safe EviMed research gap remains after the unified runtime packages; the incoming package is omitted from the action space.
diffdock,SAFE,0,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/drug-discovery-data,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
dnanexus-integration,MEDIUM,5,not_default,credentialed_or_licensed_optional,,no,"Useful external service, but global publication would fail without an operator account, contract, or proprietary runtime."
docx,MEDIUM,4,capability_mapped,covered_by_bundled_platform,office/docx,no,Capability exists in the platform; duplicate incoming instructions are not installed and are not counted as a published package.
esm,LOW,2,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/biosequence-analysis; curated-scientific/scientific-deep-learning,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
etetoolkit,SAFE,0,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/phylogenetic-analysis,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
exa-search,MEDIUM,6,capability_mapped,covered_by_bundled_platform,builtin/websearch,no,Capability exists in the platform; duplicate incoming instructions are not installed and are not counted as a published package.
experimental-design,LOW,3,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/experimental-design,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
exploratory-data-analysis,MEDIUM,6,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/exploratory-data-analysis,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
flowio,HIGH,5,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/flow-cytometry-analysis,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
