claimId,referenceNumber,supportQuote,sourceUrl,artifactPath,accessLevel,notes
CLM-001,1,"A total of 174 CCS participants from eight clinical study centers in China were included in the modified intention-to-treat analyses. … were recruited and randomized to either the SJPs or the placebo group for a duration of 4 weeks. … Specifically, 60.9% of patients treated with SJPs achieved a 20-point or greater improvement in SAQ-SS, while only 39.1% (OR = 2.43, 95% confidence interval [CI] = 1.32 to 4.47, P = 0.004) of patients in the placebo group achieved the same level of improvement",https://europepmc.org/articles/PMC11451125,.evimed-sources/PMC11451125/fulltext.md,full_text,
CLM-002,1,"During the screening period, participants with a history or clinical evidence of poorly controlled or severe disease were excluded. These included poorly controlled hypertension",https://europepmc.org/articles/PMC11451125,.evimed-sources/PMC11451125/fulltext.md,full_text,
CLM-003,1,"We examined the effects on the primary outcome through prespecified subgroup analyses based on age, gender, diabetes mellitus (DM), hypertension, and alcohol consumption. … The direction of effect estimates in all evaluated subgroups was consistent with the overall outcomes (Fig. 5 ).",https://europepmc.org/articles/PMC11451125,.evimed-sources/PMC11451125/fulltext.md,full_text,
CLM-004,1,"The second endpoint of the study focused on the safety of the investigated SJPs, as well as changes in the Traditional Chinese Medicine (TCM) main syndrome score and lipid parameters, including total cholesterol (TC), low-density lipoprotein cholesterol (LDL-C), and triglycerides (TG). … No participants reported experiencing adverse effects.",https://europepmc.org/articles/PMC11451125,.evimed-sources/PMC11451125/fulltext.md,full_text,
CLM-005,1,"which was approved by China Food and Drug Administration (CFDA) in 1982 … According to the Chinese Pharmacopoeia, each pill of SJPs is required to contain a minimum of 15.0 μg of Ligusticum chuanxiong, expressed in terms of ferulic acid (C 10 H 10 O 4 ), and 2.9 to 4.4 mg of Borneolum syntheticum, expressed in terms of Borneol (C 10 H 18 O).",https://europepmc.org/articles/PMC11451125,.evimed-sources/PMC11451125/fulltext.md,full_text,
CLM-006,3,"The trial will enroll 324 participants with chronic stable angina (Qi Stagnation and Blood Stasis syndrome). All participants will have received the conventional therapy of chronic stable angina. … in addition to conventional treatment for 24 weeks. … Uncontrolled hypertension with systolic blood pressure (SBP) ≥ 180 mmHg or diastolic blood pressure (DBP) ≥ 100 mmHg, or severe arrhythmia;",https://europepmc.org/articles/PMC8287819,.evimed-sources/PMC8287819/fulltext.md,full_text,
CLM-007,3,Diagnosed with CHD; - CCS classification of angina grades I–III; - Patients with angina pectoris twice or more per week; - TCM diagnosis of Qi stagnation and blood stasis syndrome;,https://europepmc.org/articles/PMC8287819,.evimed-sources/PMC8287819/fulltext.md,full_text,
CLM-008,4,"Forty-one trials involving 6276 patients were included in our analysis. Administration of suxiao jiuxin pill significantly improved electrocardiogram (ECG) results when compared with other therapies (RR 1.32, 95% CI 1.26 to 1.38, and P < 0.001). … The remaining 41 studies were included in our meta-analysis. … The most common symptoms were mild headache, dizziness, and facial flushing. … There was no significant difference in the adverse reaction rates between the treatment and the control groups (RR 1.12, 95% CI 0.50 to 2.51, and P = 0.785)",https://europepmc.org/articles/PMC5892298,.evimed-sources/PMC5892298/fulltext.md,full_text,
CLM-009,9,"SJP caused full relaxation in KCl- (99.4 ± 10.5%, n = 6) and U46619- (99.9 ± 5.6%, n = 6) contracted IMA. … Human IMA ( n = 78, from 30 patients) segments were obtained from patients undergoing CABG.",https://europepmc.org/articles/PMC3997901,.evimed-sources/PMC3997901/fulltext.md,full_text,
CLM-010,10,"SJP induced coronary artery relaxation via activation of the eNOS-NO pathway. … In addition, borneol induced endothelium-independent vasorelaxation of the coronary artery.",https://europepmc.org/articles/PMC10206061,.evimed-sources/PMC10206061/fulltext.md,full_text,
