claimId,referenceNumber,supportQuote,claim,sourceUrl,identifier,accessLevel
CLM-001,1,"consumer-driven AF identification is not the same as health care–initiated AF screening. AF identification by these devices requires confirmation, since these AF screening tools have variable specificity … raising the potential of a high false-positive rate in a low-prevalence population",消费者驱动的房颤识别不等于医疗发起的房颤筛查，设备识别出的房颤需要确认，因为这些筛查工具特异度各不相同，在低患病率人群中产生高假阳性率。,https://europepmc.org/articles/PMC7892205,PMID:33573393,full_text
CLM-002,1,"Sensitivity and specificity depend on the software (which can be calibrated to higher sensitivity or higher specificity), the population studied (eg, elderly have more tremor or difficulty in holding the device, leading to more unreadable tracings), and the prevalence of AF in the population.",设备检出房颤的敏感度与特异度取决于软件版本、所测人群（老年震颤导致更多不可读记录）与房颤患病率，不同厂商算法与软件版本的结果不能简单合并。,https://europepmc.org/articles/PMC7892205,PMID:33573393,full_text
CLM-003,1,"in a recent study of a consumer ECG device to detect AF, a third of ECGs were unclassifiable by the device but could be classified by experts (Bumgarner 2018). … the Apple Watch is unable to assess the ECG for AF if the HR is above 150 or below 50 beats per minute",消费级心电设备有不可判读比例，既往研究可达三分之一；Apple Watch 算法在心率低于 50 次/分或高于 150 次/分时不能评估房颤。,https://europepmc.org/articles/PMC7892205,PMID:33573393,full_text
CLM-004,1,"The study enrolled over 419 000 participants without preexisting AF … The algorithm was found to have a positive predictive value of simultaneous ECG-confirmed AF of 0.84 … Only 0.5% of the enrolled population received any irregular pulse notification, but 3.2% of those aged ≥65 years received notifications. However, only 153 of 450 (34%) patients had AF detected by subsequent single ECG patches",Apple Heart Study 纳入超过 419 000 名无房颤史参与者，0.5% 收到不规则脉搏通知（≥65 岁为 3.2%），算法对同步心电图确认房颤的阳性预测值为 0.84，但通知后佩戴贴片的 450 人中仅 34%（153/450）确认房颤。,https://europepmc.org/articles/PMC7892205,PMID:33573393,full_text
CLM-005,1,about 187 000 individuals monitored their pulse rhythm for 7 months. AF was found in 0.23% … Validation was achieved in 87% (positive predictive value >90%) compared with 34% in Apple Heart.,华为设备筛查研究约 187 000 人监测 7 个月，房颤检出 0.23%，经验证阳性预测值高于 90%（87% 经确认），对比 Apple Heart Study 的 34%。,https://europepmc.org/articles/PMC7892205,PMID:33573393,full_text
CLM-006,1,The European and American guidelines do recommend opportunistic screening for early identification of undiagnosed AF in patients aged ≥65 years … the US Preventative Services Task Force has presently given an insufficient recommendation for systematic screening for AF with electrocardiograms,欧洲与美国指南均推荐 ≥65 岁人群的机会性筛查；美国预防服务工作组对以心电图为手段的系统性筛查给出证据不足的结论。,https://europepmc.org/articles/PMC7892205,PMID:33573393,full_text
CLM-007,2,"a validation study of a wrist-worn device dedicated to providing both continuous PPG-based rhythm monitoring and instant 6-lead ECG with no wires … We performed a prospective, non-randomized study of 344 participants including 121 patients in AF … 95 patients in stable SR and 128 patients in SR with frequent premature ventricular or atrial contractions (PVCs/PACs) … AF detection with PPG-based algorithm, ECG of the wearable and combination of both yielded sensitivity and specificity of 94.2 and 96.9%; 99.2 and 99.1%; 94.2 and 99.6%, respectively.",以同步 Holter 为参照，PPG 算法检出房颤的敏感度为 94.2%、特异度为 96.9%，可穿戴 6 导联心电为 99.2% 与 99.1%，PPG 与心电联合为 94.2% 与 99.6%。,https://europepmc.org/articles/PMC9019128,PMID:35463751,full_text
CLM-008,2,All seven false-positive PPG-based cases were from the frequent PVCs/PACs group compared to none from the stable SR group ( P < 0.001).,PPG 假阳性病例全部来自频发房性/室性早搏组，稳定窦性心律组未出现假阳性（P<0.001），提示早搏等心律混杂是 PPG 假阳性的主要来源。,https://europepmc.org/articles/PMC9019128,PMID:35463751,full_text
CLM-009,2,"the European Society of Cardiology upgraded the recommendation class for systematic electrocardiography (ECG) screening to detect AF in individuals aged ≥75 years, or those at high risk of stroke from 'may be considered' (class IIb) to 'should be considered' (class IIa) … Opportunistic screening for AF by pulse taking or ECG rhythm strip in patients ≥65 years of age remains 'recommended' (class I).",ESC 2020 指南将 ≥65 岁人群经脉搏触诊或心电节律条的机会性筛查列为 I 类推荐，将 ≥75 岁或高卒中风险人群的系统性心电筛查列为 IIa 类推荐。,https://europepmc.org/articles/PMC9019128,PMID:35463751,full_text
CLM-010,3,"The sensitivity to detect AF was 100% for all devices. The specificity to detect sinus rhythm was 96.4% (95% CI 89.5%-98.8%) for KardiaMobile 6L, 97.8% (95% CI 91.6%‐99.5%) for Apple Watch, 98.9% (95% CI 92.5%‐99.8%) for FibriCheck, and 97.8% (95% CI 91.5%‐99.4%) for Preventicus … Insufficient quality measurements were observed in 10.7% (95% CI 6.3%-17.5%) of cases for both KardiaMobile 6L and Apple Watch, 7.4% (95% CI 3.9%‐13.6%) for FibriCheck, and 14.8% (95% CI 9.5%‐22.2%) for Preventicus",在门诊验证队列中，四款消费级设备对房颤的敏感度均为 100%，特异度为 96.4% 至 98.9%；不可判读（质量不足）比例为 7.4% 至 14.8%，且老年患者更常见。,https://europepmc.org/articles/PMC11737281,PMID:39791483,full_text
