claimId,referenceNumber,citationKey,sourceTitle,identifier,accessLevel,artifactPath,claimSummary,quoteVerified,note
CLM-001,1,NHS2023ChestPain,Chest pain - NHS,https://www.nhs.uk/symptoms/chest-pain/,official_page,.evimed-sources/official-pages/f60ccb4779eccff7/page.md,突发持续不缓解的胸痛须立即呼叫急救,TRUE,含症状条件与呼叫急救动作的连续引文
CLM-002,1,NHS2023ChestPain,Chest pain - NHS,https://www.nhs.uk/symptoms/chest-pain/,official_page,.evimed-sources/official-pages/f60ccb4779eccff7/page.md,多数胸痛非心脏问题不应自我诊断,TRUE,
CLM-003,5,Boden2015NTGReview,Role of short-acting nitroglycerin in the management of ischemic heart disease,PMC4548722,full_text,.evimed-sources/PMC4548722/fulltext.md,硝酸甘油5分钟间隔15分钟≤1.2mg不缓解即升级,TRUE,经同行评议综述转述的指南内容
CLM-004,5,Boden2015NTGReview,Role of short-acting nitroglycerin in the management of ischemic heart disease,PMC4548722,full_text,.evimed-sources/PMC4548722/fulltext.md,三次每5分钟不缓解视为可能急性心梗,TRUE,
CLM-005,5,Boden2015NTGReview,Role of short-acting nitroglycerin in the management of ischemic heart disease,PMC4548722,full_text,.evimed-sources/PMC4548722/fulltext.md,舌下硝酸甘油即时缓解为I类推荐B级证据,TRUE,定位为症状缓解治疗非诊断试验
CLM-006,5,Boden2015NTGReview,Role of short-acting nitroglycerin in the management of ischemic heart disease,PMC4548722,full_text,.evimed-sources/PMC4548722/fulltext.md,多数患者0.3-0.6mg含服后5分钟内缓解,TRUE,药效学基础而非试验验证
CLM-007,5,Boden2015NTGReview,Role of short-acting nitroglycerin in the management of ischemic heart disease,PMC4548722,full_text,.evimed-sources/PMC4548722/fulltext.md,硝酸甘油降低心肌耗氧的机制,TRUE,
CLM-008,3,Bugiardini2017ISACS,Delayed Care and Mortality Among Women and Men With Myocardial Infarction,PMC5586439,full_text,.evimed-sources/PMC5586439/fulltext.md,每1小时延迟死亡OR 1.02,TRUE,48小时内就诊亚组
CLM-009,3,Bugiardini2017ISACS,Delayed Care and Mortality Among Women and Men With Myocardial Infarction,PMC5586439,full_text,.evimed-sources/PMC5586439/fulltext.md,≤1小时相对>12小时OR 0.30,TRUE,
CLM-010,3,Bugiardini2017ISACS,Delayed Care and Mortality Among Women and Men With Myocardial Infarction,PMC5586439,full_text,.evimed-sources/PMC5586439/fulltext.md,女性中位延迟270分钟长于男性240分钟,TRUE,
CLM-011,2,Feng2019ChinaDelay,Prehospital and in-hospital delays to care and associated factors in patients with STEMI: an observational study in 101 non-PCI hospitals in China,PMC6858215,full_text,.evimed-sources/PMC6858215/fulltext.md,院前延迟率67.1%等四项延迟率,TRUE,
CLM-012,2,Feng2019ChinaDelay,Prehospital and in-hospital delays to care and associated factors in patients with STEMI: an observational study in 101 non-PCI hospitals in China,PMC6858215,full_text,.evimed-sources/PMC6858215/fulltext.md,首份心电图应在到达后10分钟内完成,TRUE,依据ESC/ACC标准
CLM-013,2,Feng2019ChinaDelay,Prehospital and in-hospital delays to care and associated factors in patients with STEMI: an observational study in 101 non-PCI hospitals in China,PMC6858215,full_text,.evimed-sources/PMC6858215/fulltext.md,症状至到达中位数约210分钟,TRUE,
CLM-014,2,Feng2019ChinaDelay,Prehospital and in-hospital delays to care and associated factors in patients with STEMI: an observational study in 101 non-PCI hospitals in China,PMC6858215,full_text,.evimed-sources/PMC6858215/fulltext.md,院前延迟使溶栓机会降低32%,TRUE,
CLM-015,2,Feng2019ChinaDelay,Prehospital and in-hospital delays to care and associated factors in patients with STEMI: an observational study in 101 non-PCI hospitals in China,PMC6858215,full_text,.evimed-sources/PMC6858215/fulltext.md,ESC推荐确诊到溶栓≤10分钟,TRUE,
CLM-016,4,Lawani2021DelayedContact,Correlates of Delayed Initial Contact to Emergency Services among Patients with Suspected ST-Elevation Myocardial Infarction,PMC8457972,full_text,.evimed-sources/PMC8457972/fulltext.md,自我用药者延迟首次医疗接触9.02倍,TRUE,定义不含发病后含服硝酸甘油
CLM-017,4,Lawani2021DelayedContact,Correlates of Delayed Initial Contact to Emergency Services among Patients with Suspected ST-Elevation Myocardial Infarction,PMC8457972,full_text,.evimed-sources/PMC8457972/fulltext.md,2小时为延迟截点因再灌注获益窗在前2小时,TRUE,
CLM-018,6,Ren2018SuxiaoMeta,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,PMC5892298,full_text,.evimed-sources/PMC5892298/fulltext.md,荟萃纳入41项RCT 6276例,TRUE,
CLM-019,6,Ren2018SuxiaoMeta,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,PMC5892298,full_text,.evimed-sources/PMC5892298/fulltext.md,全部研究在中国进行,TRUE,
CLM-020,6,Ren2018SuxiaoMeta,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,PMC5892298,full_text,.evimed-sources/PMC5892298/fulltext.md,速效救心丸ECG改善RR 1.32,TRUE,结局不涉及自救升级时间阈值
CLM-021,6,Ren2018SuxiaoMeta,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,PMC5892298,full_text,.evimed-sources/PMC5892298/fulltext.md,多数研究Jadad评分低质量差,TRUE,
CLM-022,6,Ren2018SuxiaoMeta,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,PMC5892298,full_text,.evimed-sources/PMC5892298/fulltext.md,不良反应轻为头痛头晕面部潮红,TRUE,
CLM-023,3,Bugiardini2017ISACS;Feng2019ChinaDelay,Delayed Care and Mortality Among Women and Men With Myocardial Infarction; Prehospital and in-hospital delays to care in China,PMC5586439;PMC6858215,full_text,.evimed-sources/PMC5586439/fulltext.md;.evimed-sources/PMC6858215/fulltext.md,观察性研究支持时间就是心肌定量证据,TRUE,综合两个独立注册研究
CLM-024,5,Boden2015NTGReview;NHS2023ChestPain,Role of short-acting nitroglycerin in the management of ischemic heart disease; Chest pain - NHS,PMC4548722;https://www.nhs.uk/symptoms/chest-pain/,full_text;official_page,.evimed-sources/PMC4548722/fulltext.md;.evimed-sources/official-pages/f60ccb4779eccff7/page.md,阈值一致且属操作性设定无直接试验验证,TRUE,
CLM-025,1,NHS2023ChestPain;Lawani2021DelayedContact;Boden2015NTGReview,Chest pain - NHS; Correlates of Delayed Initial Contact to Emergency Services; Role of short-acting nitroglycerin,https://www.nhs.uk/symptoms/chest-pain/;PMC8457972;PMC4548722,official_page;full_text;full_text,.evimed-sources/official-pages/f60ccb4779eccff7/page.md;.evimed-sources/PMC8457972/fulltext.md;.evimed-sources/PMC4548722/fulltext.md,自救用药不得延迟呼叫急救,TRUE,安全边界综合结论
CLM-026,5,Boden2015NTGReview,Role of short-acting nitroglycerin in the management of ischemic heart disease,PMC4548722,full_text,.evimed-sources/PMC4548722/fulltext.md,硝酸甘油慎用于低血压（<100 mmHg）等情形,TRUE,安全边界引文
CLM-027,5,Boden2015NTGReview,Role of short-acting nitroglycerin in the management of ischemic heart disease,PMC4548722,full_text,.evimed-sources/PMC4548722/fulltext.md,硝酸甘油缓解反应的诊断价值存在指南分歧,TRUE,证据类型与诊断价值对比
