claimId,referenceNumber,supportQuote,sourceTitle,artifactPath,identifier,accessLevel
CLM-001,3,"interquartile ranges of population-based CDs were prepared for the relevant antipsychotic drugs from the measurements in the TDM registry at the study site ( n = 147,964, Table S1 in the electronic supplementary material [ESM])",Rapid Metabolism Underlying Subtherapeutic Serum Levels of Atypical Antipsychotics Preceding Clozapine Treatment: A Retrospective Analysis of Real-World Data,.evimed-sources/PMC11098931/fulltext.md,PMC11098931,full_text
CLM-002,3,"Those with at least one measurement with CD of non-clozapine antipsychotics below the 25th percentile of the respective drug’s population-based CDs were assigned to the LCD (cases) group, whereas patients who exhibited CDs between the 25th and 75th percentiles were assigned to the normal CD group (NCD, controls).",Rapid Metabolism Underlying Subtherapeutic Serum Levels of Atypical Antipsychotics Preceding Clozapine Treatment: A Retrospective Analysis of Real-World Data,.evimed-sources/PMC11098931/fulltext.md,PMC11098931,full_text
CLM-003,3,"These were aripiprazole active moiety 335 nmol/L (150 µg/L, aripiprazole plus dehydroaripiprazole), olanzapine 64 nmol/L (20 µg/L), quetiapine 261 nmol/L (100 µg/L), risperidone active moiety 47 nmol/L (20 µg/L, risperidone plus 9-hydroxyrisperidone).",Rapid Metabolism Underlying Subtherapeutic Serum Levels of Atypical Antipsychotics Preceding Clozapine Treatment: A Retrospective Analysis of Real-World Data,.evimed-sources/PMC11098931/fulltext.md,PMC11098931,full_text
CLM-004,3,"In total, 272 patients who had a TDM history of non-clozapine, atypical antipsychotics (aripiprazole, risperidone, olanzapine, or quetiapine) preceding clozapine treatment were included in the study. Among the included patients, 110 (40.4%) were identified with LCD at the last TDM event within 1 year before clozapine treatment.",Rapid Metabolism Underlying Subtherapeutic Serum Levels of Atypical Antipsychotics Preceding Clozapine Treatment: A Retrospective Analysis of Real-World Data,.evimed-sources/PMC11098931/fulltext.md,PMC11098931,full_text
CLM-005,3,Metabolic ratio was estimated by the ratio of the metabolite (nmol/L) and parent drug concentration (nmol/L). CD was calculated as a ratio of parent drug concentration (nmol/L) and total daily dose (mg/day).,Rapid Metabolism Underlying Subtherapeutic Serum Levels of Atypical Antipsychotics Preceding Clozapine Treatment: A Retrospective Analysis of Real-World Data,.evimed-sources/PMC11098931/fulltext.md,PMC11098931,full_text
CLM-006,3,"we observed higher proportions of subtherapeutic absolute serum concentrations among LCD patients treated with aripiprazole (30.0% vs 5.7%; p = 0.021), olanzapine (23.1% vs 7.1; p = 0.044), and quetiapine (63.6% vs 36.1%; p = 0.005) compared with the NCD patients",Rapid Metabolism Underlying Subtherapeutic Serum Levels of Atypical Antipsychotics Preceding Clozapine Treatment: A Retrospective Analysis of Real-World Data,.evimed-sources/PMC11098931/fulltext.md,PMC11098931,full_text
CLM-007,4,"Its main and only active metabolite is dehydro-aripiprazole, which amounts to 40% of aripiprazole concentration at steady state, reached after 14 days of treatment ( Kinghorn and McEvoy, 2005 ). The T 1/2 varies between 58 and 78 h and can reach 140 h in CYP2D6 poor metabolizers (PMs)","Genetic Polymorphisms Associated With the Pharmacokinetics, Pharmacodynamics and Adverse Effects of Olanzapine, Aripiprazole and Risperidone",.evimed-sources/PMC8316766/fulltext.md,PMC8316766,full_text
CLM-008,4,"Regarding aripiprazole, a reduced dose should be administered in CYP2D6 poor metabolizers (PMs). Additionally, a reduction to a quarter of the normal dose is recommended if the patient is treated with concomitant CYP3A4 inhibitors.","Genetic Polymorphisms Associated With the Pharmacokinetics, Pharmacodynamics and Adverse Effects of Olanzapine, Aripiprazole and Risperidone",.evimed-sources/PMC8316766/fulltext.md,PMC8316766,full_text
CLM-009,4,"two of the most important groups that develop pharmacogenetic guidelines are the Clinical Pharmacogenetics Implementation Consortium (CPIC) ( Caudle et al., 2014 ) and the Dutch Pharmacogenetics Working Group (DPWG) ( Bank et al., 2018 ). The CPIC was established in 2009 as a joint project between the Pharmacogenomics Research Network (PGRN) and the Pharmacogenomics Knowledge Base (PharmGKB)","Genetic Polymorphisms Associated With the Pharmacokinetics, Pharmacodynamics and Adverse Effects of Olanzapine, Aripiprazole and Risperidone",.evimed-sources/PMC8316766/fulltext.md,PMC8316766,full_text
CLM-010,4,"Tobacco induces CYP1A2 activity, what leads to reduced olanzapine plasma concentration. Thus, smoking affects olanzapine Cl, however, dosage modifications are not routinely recommended","Genetic Polymorphisms Associated With the Pharmacokinetics, Pharmacodynamics and Adverse Effects of Olanzapine, Aripiprazole and Risperidone",.evimed-sources/PMC8316766/fulltext.md,PMC8316766,full_text
