claimId,referenceNumber,claim,accessLevel,sourceTitle,supportQuote
CLM-002,5,急性高原病患病率在未习服人群中为 40% 至 90%（依海拔与上升速度而异）。,full_text,Acute high-altitude sickness,"Prevalence of AMS varies between 40% and 90%, depending on altitude and individual susceptibility in unacclimatised individuals"
CLM-021,5,急性高原病患病率在被动升至 3000–3500 m 时约 25%–40%。,full_text,Acute high-altitude sickness,whereas prevalence with passive ascent to 3000–3500 m is ∼25–40%
CLM-003,5,高原脑水肿在海拔低于 4000 m 罕见，4200 至 5500 m 之间患病率估计为 0.5%–1%。,full_text,Acute high-altitude sickness,"HACE occurs rarely at altitudes <4000 m, and its prevalence between 4200 m and 5500 m is estimated to be 0.5–1%"
CLM-004,5,高原肺水肿患病率在 ≥3 日攀登至 4000–5000 m 的一般登山人群中低于 0.2%，单日急升可达 7%。,full_text,Acute high-altitude sickness,"Its prevalence ranges from <0.2% in a general mountaineering population when climbing in ≥3 days to altitudes of 4000–5000 m, but as high as 7% with a single-day ascent"
CLM-005,5,急性高原病预防以阶梯上升为基础，>2500–3000 m 后每晚睡眠海拔升高不超过 300–600 m，每 3–4 日安排休息日。,full_text,Acute high-altitude sickness,"With ascents >2500–3000 m, individuals should not increase their sleeping elevation by >300–600 m per night and should take a rest day every 3–4 days"
CLM-006,5,乙酰唑胺为急性高原病预防的一线药物，125 mg 对多数行程足够。,full_text,Acute high-altitude sickness,"Acetazolamide remains the mainstay of AMS prophylaxis. While there has been debate about the appropriate dosage for prophylaxis [ 117 ], the bulk of the evidence suggests 125 mg twice daily is sufficient for most climbs"
CLM-007,5,高原脑水肿应予地塞米松 8 mg 首剂后 4 mg 每 6 小时，直至下撤或症状消退。,full_text,Acute high-altitude sickness,"Dexamethasone should be administered by the oral, intramuscular or intravenous route at a dose of 8 mg initially followed by 4 mg every 6 h until the person has descended or symptoms have fully resolved"
CLM-022,5,高原脑水肿一旦出现神经系统症状即应立即下撤。,full_text,Acute high-altitude sickness,The onset of neurological symptoms suggestive of HACE is an indication for immediate descent
CLM-008,5,高原肺水肿为低氧性肺血管收缩过强所致的非心源性肺水肿，右心导管测得肺动脉压均值 60（35–115）mmHg、肺楔压正常。,full_text,Acute high-altitude sickness,"mean (range) pulmonary artery pressures of 60 (35–115) mmHg, but normal pulmonary artery wedge pressures"
CLM-010,3,速效救心丸疗效证据来自 41 项、共 6276 例冠心病患者的随机对照试验 meta 分析，心电图改善 RR 1.32（95%CI 1.26 至 1.38）。,full_text,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,"Forty-one trials involving 6276 patients were included in our analysis. Administration of suxiao jiuxin pill significantly improved electrocardiogram (ECG) results when compared with other therapies (RR 1.32, 95% CI 1.26 to 1.38, and P < 0.001)"
