date,question_set,platform,question,measured,mentions_brand,competitors,citations,latency_ms
2026-08-30,branded,deepseek,"心绞痛发作时含服几粒速效救心丸？",0,0,"",0,
2026-08-30,branded,deepseek,"心绞痛发作时含服几粒速效救心丸？",1,1,"",12,12046
2026-08-30,branded,doubao,"心绞痛发作时含服几粒速效救心丸？",0,0,"",0,
2026-08-30,branded,doubao,"心绞痛发作时含服几粒速效救心丸？",1,1,"硝酸甘油",2,22653
2026-08-30,branded,kimi,"心绞痛发作时含服几粒速效救心丸？",0,0,"",0,
2026-08-30,branded,kimi,"心绞痛发作时含服几粒速效救心丸？",1,1,"硝酸甘油",6,47364
2026-08-30,branded,qianwen,"心绞痛发作时含服几粒速效救心丸？",0,0,"",0,
2026-08-30,branded,qianwen,"心绞痛发作时含服几粒速效救心丸？",0,0,"",0,300295
2026-08-30,branded,qianwen,"心绞痛发作时含服几粒速效救心丸？",0,0,"",0,300362
2026-08-30,branded,qianwen,"心绞痛发作时含服几粒速效救心丸？",1,1,"硝酸甘油",11,19335
2026-08-30,branded,yuanbao,"心绞痛发作时含服几粒速效救心丸？",0,0,"",0,
2026-08-30,branded,yuanbao,"心绞痛发作时含服几粒速效救心丸？",1,1,"硝酸甘油",16,20072
2026-08-30,branded,deepseek,"速效救心丸可以长期服用吗？",1,1,"",12,13476
2026-08-30,branded,doubao,"速效救心丸可以长期服用吗？",1,1,"复方丹参滴丸;硝酸甘油",6,29208
2026-08-30,branded,kimi,"速效救心丸可以长期服用吗？",1,1,"",5,56408
2026-08-30,branded,qianwen,"速效救心丸可以长期服用吗？",0,0,"",0,300369
2026-08-30,branded,qianwen,"速效救心丸可以长期服用吗？",0,0,"",0,300272
2026-08-30,branded,qianwen,"速效救心丸可以长期服用吗？",0,0,"",0,
2026-08-30,branded,qianwen,"速效救心丸可以长期服用吗？",1,1,"",11,23973
2026-08-30,branded,yuanbao,"速效救心丸可以长期服用吗？",1,1,"",19,24730
2026-08-30,branded,deepseek,"速效救心丸和硝酸甘油有什么区别？",1,1,"硝酸甘油",12,17536
2026-08-30,branded,doubao,"速效救心丸和硝酸甘油有什么区别？",1,1,"硝酸甘油",11,35367
2026-08-30,branded,kimi,"速效救心丸和硝酸甘油有什么区别？",1,1,"硝酸甘油",7,54839
2026-08-30,branded,qianwen,"速效救心丸和硝酸甘油有什么区别？",1,1,"硝酸甘油",10,22877
2026-08-30,branded,yuanbao,"速效救心丸和硝酸甘油有什么区别？",1,1,"硝酸甘油",15,24779
2026-08-30,branded,deepseek,"速效救心丸能预防心梗吗？",0,0,"",0,
2026-08-30,branded,deepseek,"速效救心丸能预防心梗吗？",1,1,"硝酸甘油",12,14923
2026-08-30,branded,doubao,"速效救心丸能预防心梗吗？",0,0,"",0,
2026-08-30,branded,doubao,"速效救心丸能预防心梗吗？",1,1,"硝酸甘油",6,25675
2026-08-30,branded,kimi,"速效救心丸能预防心梗吗？",0,0,"",0,
2026-08-30,branded,kimi,"速效救心丸能预防心梗吗？",1,1,"硝酸甘油",6,54714
2026-08-30,branded,qianwen,"速效救心丸能预防心梗吗？",0,0,"",0,
2026-08-30,branded,qianwen,"速效救心丸能预防心梗吗？",0,0,"",0,300375
2026-08-30,branded,qianwen,"速效救心丸能预防心梗吗？",0,0,"",0,300374
2026-08-30,branded,qianwen,"速效救心丸能预防心梗吗？",1,1,"硝酸甘油",11,23505
2026-08-30,branded,yuanbao,"速效救心丸能预防心梗吗？",0,0,"",0,
2026-08-30,branded,yuanbao,"速效救心丸能预防心梗吗？",1,1,"硝酸甘油",14,21932
2026-08-30,branded,deepseek,"速效救心丸饭前吃还是饭后吃？",1,1,"",12,13895
2026-08-30,branded,doubao,"速效救心丸饭前吃还是饭后吃？",1,1,"硝酸甘油",6,24730
2026-08-30,branded,kimi,"速效救心丸饭前吃还是饭后吃？",1,1,"",0,21773
2026-08-30,branded,qianwen,"速效救心丸饭前吃还是饭后吃？",0,0,"",0,
2026-08-30,branded,qianwen,"速效救心丸饭前吃还是饭后吃？",1,1,"硝酸甘油",10,21039
2026-08-30,branded,yuanbao,"速效救心丸饭前吃还是饭后吃？",0,0,"",0,
2026-08-30,branded,yuanbao,"速效救心丸饭前吃还是饭后吃？",1,1,"硝酸甘油",10,18797
2026-08-30,unbranded,deepseek,"冠心病心绞痛平时含服什么药应急？",1,1,"硝酸甘油",11,15323
2026-08-30,unbranded,doubao,"冠心病心绞痛平时含服什么药应急？",1,1,"硝酸甘油",18,31909
2026-08-30,unbranded,kimi,"冠心病心绞痛平时含服什么药应急？",1,1,"复方丹参滴丸;硝酸甘油",0,29254
2026-08-30,unbranded,qianwen,"冠心病心绞痛平时含服什么药应急？",0,0,"",0,300355
2026-08-30,unbranded,qianwen,"冠心病心绞痛平时含服什么药应急？",1,1,"麝香保心丸;硝酸甘油",14,24613
2026-08-30,unbranded,yuanbao,"冠心病心绞痛平时含服什么药应急？",1,1,"复方丹参滴丸;硝酸甘油",16,29524
2026-08-30,unbranded,deepseek,"家里给老人常备哪种救心药比较好？",1,1,"硝酸甘油",8,16563
2026-08-30,unbranded,doubao,"家里给老人常备哪种救心药比较好？",1,1,"复方丹参滴丸;硝酸甘油",20,34973
2026-08-30,unbranded,kimi,"家里给老人常备哪种救心药比较好？",1,1,"复方丹参滴丸;硝酸甘油",0,43673
2026-08-30,unbranded,qianwen,"家里给老人常备哪种救心药比较好？",1,1,"复方丹参滴丸;硝酸甘油",13,26201
2026-08-30,unbranded,yuanbao,"家里给老人常备哪种救心药比较好？",1,1,"硝酸甘油",20,32281
2026-08-30,unbranded,deepseek,"心绞痛发作时应该怎么办？",1,0,"硝酸甘油",12,15839
2026-08-30,unbranded,doubao,"心绞痛发作时应该怎么办？",1,1,"硝酸甘油",12,31561
2026-08-30,unbranded,kimi,"心绞痛发作时应该怎么办？",1,0,"硝酸甘油",0,42290
2026-08-30,unbranded,qianwen,"心绞痛发作时应该怎么办？",1,1,"麝香保心丸;硝酸甘油",14,23066
2026-08-30,unbranded,yuanbao,"心绞痛发作时应该怎么办？",1,1,"麝香保心丸;硝酸甘油",17,28665
2026-08-30,unbranded,deepseek,"突然心口疼含什么药能缓解？",1,1,"硝酸甘油",12,16459
2026-08-30,unbranded,doubao,"突然心口疼含什么药能缓解？",1,1,"硝酸甘油",0,37134
2026-08-30,unbranded,kimi,"突然心口疼含什么药能缓解？",1,0,"硝酸甘油",0,40736
2026-08-30,unbranded,qianwen,"突然心口疼含什么药能缓解？",1,1,"硝酸甘油",14,23564
2026-08-30,unbranded,yuanbao,"突然心口疼含什么药能缓解？",1,1,"复方丹参滴丸;麝香保心丸;硝酸甘油",18,28571
2026-08-30,unbranded,deepseek,"胸闷气短心慌吃什么中成药？",1,0,"稳心颗粒",12,16038
2026-08-30,unbranded,doubao,"胸闷气短心慌吃什么中成药？",1,1,"复方丹参滴丸;稳心颗粒",0,40450
2026-08-30,unbranded,kimi,"胸闷气短心慌吃什么中成药？",1,0,"复方丹参滴丸;麝香保心丸;通心络",0,36733
2026-08-30,unbranded,qianwen,"胸闷气短心慌吃什么中成药？",1,0,"",10,23163
2026-08-30,unbranded,yuanbao,"胸闷气短心慌吃什么中成药？",1,0,"复方丹参滴丸;稳心颗粒",18,31195
