study_id,citation_short,identifier,design,appraised,included_in_appraisal,excluded_from_all_bodies,used_in_bodies,risk_of_bias,risk_of_bias_reason,indirectness,indirectness_reason,imprecision,imprecision_reason,instrument,instrument_rating,lvef_inclusion,n_randomised,median_follow_up,outcomes_reported,principal_effect_estimates,not_appraised_reason,exclusion_or_control_reason,source_inspected,notes
S01,EMPEROR-Preserved 主要报告,pmid:34449189,randomized-controlled-trial,True,True,False,B1-first-hf-hospitalisation | B2-total-hf-events,low,随机化、分配隐藏、设盲与结局判定这四步均未见可指名的系统误差来源：随机分配为双盲、安慰剂对照，主要终点由设盲的临床终点委员会判定，主要分析按意向性治疗。本文本次仅取得摘要，停药率与失访率未取得，无法逐项核对，因此该判断是在摘要所能承载的范围内作出，其不确定性已记录在本字段内。,low,人群（慢性心衰成人、LVEF > 40%、NYHA II–IV）、干预（empagliflozin 10 mg 每日一次）、对照（常规治疗背景下的安慰剂）与结局（心衰住院、死亡）四条轴均与本问题直接对应；随访 26.2 个月覆盖本问题的时间范围。唯一偏离是纳入门为 LVEF > 40% 而非题面人群口径的≥ 40%，即未覆盖 LVEF 恰为 40% 者，该偏离不改变效应方向。,low,复合终点与总心衰住院的区间上限分别为 0.90 与 0.88，均对应可观的风险下降，两个终点的事件数均在 400 次以上，区间没有跨越“值得做／不值得做”的决策边界。该终点上的精度判断不迁移到本试验的死亡终点。,RoB 2,low risk of bias,LVEF > 40%,5988,26.2 个月,复合终点（心血管死亡或心衰住院，首次事件） | 总心衰住院次数,复合终点：心血管死亡或心衰住院（首次事件）: HR 0.79 (95% CI 0.69-0.90); 总心衰住院次数（复发事件）: HR 0.73 (95% CI 0.61-0.88),,,abstract,试验由 Boehringer Ingelheim 与 Eli Lilly 资助。文章级 DOI 10.1056/NEJMoa2107038 已按题录核实。全文本次未取得：出版方未提供开放获取版本，摘要未给出心血管死亡与全因死亡的单组分数值；这两个终点因此没有任何来自本试验的单试验数值可用，本表未作任何推断。
S02,DELIVER 主要报告,pmid:36027570,randomized-controlled-trial,True,True,False,B1-first-hf-hospitalisation | B2-total-hf-events | B3-cardiovascular-death | B4-all-cause-death,low,随机化、分配隐藏、设盲、结局判定与失访处理这五步均未见可指名的系统误差来源：1:1 随机、双盲、安慰剂对照，主要分析按意向性治疗，因不良事件停用者两组相近（5.8% vs 5.8%），未见退出差异提示。唯一残余不确定性来自主要终点中的紧急心衰就诊依赖非计划就诊的判定，该判定在组间被随机化平衡。,low,人群、干预、对照、结局四条轴均与本问题直接对应。与 EMPEROR-Preserved 的差别是主要终点把紧急心衰就诊并入“心衰恶化事件”，该定义比单纯心衰住院更宽；本表因此同时单列“心衰住院”的估计值，未把宽定义当作窄定义使用。,low,主要复合终点、心衰住院与总事件的区间上限分别为 0.92、0.89、0.89，对应临床重要效益。心血管死亡与全因死亡的区间上限 1.05 与 1.07 无法排除无效甚至轻微有害，这两个终点各自记入 B3 与 B4，不在此处计入。,RoB 2,low risk of bias,LVEF > 40%,6263,2.3 年（IQR 1.7–2.8）,复合终点（心衰恶化事件或心血管死亡，首次事件） | 心衰住院或紧急心衰就诊（首次） | 心衰住院（首次） | 心血管死亡 | 全因死亡 | 总心衰恶化事件与心血管死亡次数（复发事件） | 安全性结局,复合终点：心衰恶化事件或心血管死亡（首次事件）: HR 0.82 (95% CI 0.73-0.92); 心衰住院或紧急心衰就诊（首次）: HR 0.79 (95% CI 0.69-0.91); 心衰住院（首次）: HR 0.77 (95% CI 0.67-0.89); 心血管死亡: HR 0.88 (95% CI 0.74-1.05); 全因死亡: HR 0.94 (95% CI 0.83-1.07); 总心衰恶化事件与心血管死亡次数（复发事件）: rate ratio 0.77 (95% CI 0.67-0.89),,,full-text,试验由 AstraZeneca 资助。全文来源为作者投稿版（CC-BY-SA）。
S03,DELIVER 总（复发）心衰事件预设分析,pmid:37099283,randomized-controlled-trial,True,True,False,B2-total-hf-events,low,分析步骤本身未见可指名的系统误差来源：总事件分析的两套方法、分层因素与敏感性分析均在试验统计计划中预设，并报告了放宽比例速率假设的敏感性分析与模型假设无关的累积负担分析。,moderate,效应量是事件速率比而非个体层面的风险比，回答的是“每位患者的平均事件负担”这一略宽的问题。更实质的距离在端点构成：本分析的“总心衰事件”含紧急心衰就诊，而 EMPEROR-Preserved 的对应分析是“总心衰住院”，两者的构成不同，跨试验并列时不是同一构造。,moderate,总事件数 815 vs 1057，区间上限 0.89 与 0.88 仍对应可观的事件负担下降，单看事件数是充分的。扣分之处在于复发事件在同一个体内不独立，而试验层面的速率比区间按独立事件计算，没有完全反映这一依赖；即区间对真实不确定性偏乐观。,RoB 2,low risk of bias,LVEF > 40%（与 DELIVER 一致）,6263,2.3 年（IQR 1.7–2.8）,总心衰事件与心血管死亡（复发事件） | 总心衰事件（不含紧急心衰就诊） | 总心衰住院与心血管死亡（LWYY 与联合脆弱模型） | 心血管死亡（复发事件分析中） | 模型假设无关的累积负担（AUC）分析,总心衰事件与心血管死亡（复发事件，LWYY）★主锚点: rate ratio 0.77 (95% CI 0.67-0.89); 总心衰事件（复发事件，LWYY）: rate ratio 0.73 (95% CI 0.62-0.87); 总心衰事件（复发事件，联合脆弱模型）: rate ratio 0.72 (95% CI 0.65-0.81); 总心衰事件与全因死亡（LWYY，敏感性分析）: rate ratio 0.81 (95% CI 0.72-0.92); 总心衰事件与全因死亡（联合脆弱模型，敏感性分析）: rate ratio 0.72 (95% CI 0.65-0.81); 总心衰住院与心血管死亡（LWYY）: rate ratio 0.76 (95% CI 0.66-0.88); 总心衰住院与心血管死亡（联合脆弱模型）: rate ratio 0.71 (95% CI 0.63-0.80); 心血管死亡（复发事件分析中）: hazard ratio 0.88 (95% CI 0.74-1.05); 累积负担 AUC 比（模型假设无关的探索性分析）: rate ratio 0.72 (95% CI 0.63-0.84); EMPEROR-Preserved 总心衰住院（本文转述，非本试验结果）: rate ratio 0.73 (95% CI 0.61-0.88),,,full-text,同一试验的第二次发表（与 S02 共享注册号 NCT03619213），按一次试验一行处理，未作为独立的一致性来源计数。原文亦转述了 EMPEROR-Preserved 总心衰住院的率比 0.73（95% CI 0.61–0.88，联合脆弱模型）。
S04,EMPEROR-Preserved 年龄亚组分析,pmid:35772911,randomized-controlled-trial,True,True,False,B1-first-hf-hospitalisation,low,亚组分析这一步骤未见可指名的系统误差来源：分组因素为基线年龄，随机化与设盲同主试验，分析为预设。唯一需要注意的一点是亚组间的多重比较未校正。,low,人群、干预、对照、终点均与主试验一致，问的是同一人群内的年龄异质性。,moderate,分层后各年龄层的事件数大幅减少，交互检验的把握度低，原文多以交互 P 值与方向描述呈现。该不精确性在本表中以“不据此产生效应量”的方式处理，不影响主试验效应量的区间判断。,RoB 2,low risk of bias,LVEF > 40%（与 EMPEROR-Preserved 一致）,5988,26.2 个月,复合终点按年龄分层的效应与交互趋势 | 首次心衰住院按年龄的交互趋势 | 首次与复发性心衰住院按年龄的交互趋势 | 心血管死亡与全因死亡按年龄的交互 | 安慰剂组各年龄层的发生率,首次与复发性心衰住院：按年龄的交互趋势检验: P for interaction trend 0.11; 首次心衰住院：按年龄的交互趋势检验: P for interaction trend 0.22; 主要复合终点：按年龄的交互趋势检验: P for interaction trend 0.33; 安慰剂组主要复合终点发生率（按年龄层）: 发生率（/100 患者年） 6.96（<65）／7.80（65–74）／9.51（75–79）／11.00（≥80）,,,full-text,同一试验的第三次发表（与 S01 共享注册号 NCT03057951），按一次试验一行处理，未作为独立一致性来源计数。本行的用途是记录“效应在不同年龄层方向一致”。
S05,两项 HFmrEF/HFpEF 专用试验的预设合并分析（Vaduganathan 2022）,pmid:36041474,systematic-review,True,True,False,B1-first-hf-hospitalisation | B3-cardiovascular-death | B4-all-cause-death,low,偏倚风险源自所纳入试验的执行，两试验均评为低偏倚风险；本合并过程在 DELIVER 揭盲前预先写入统计计划并注册（PROSPERO CRD42022327527），未见结局选择性报告的迹象。保留意见：纳入研究的偏倚风险由试验团队自行评估，评估者与被评估者同一化。,low,主分析恰好就是本问题人群（LVEF > 40%）、本问题干预（恩格列净与达格列净各一项试验）、本问题对照（安慰剂）与本问题结局。背景性的五试验合并结果不用于本问题的确定性判断，仅用于说明跨射血分数谱的效应方向。,low,12251 名受试者，主要终点与首次心衰住院的区间上限分别为 0.87 与 0.83，未跨无效线。两个死亡终点的区间上限为 1.00 与 1.06，其精度不足在 B3 与 B4 中处理，不在此处计入。,AMSTAR 2,moderate confidence,主分析限定两项纳入标准为 LVEF > 40% 的试验；背景分析另纳入 DAPA-HF、EMPEROR-Reduced（LVEF ≤ 40%）与 SOLOIST-WHF（急性心衰住院期）,12251（两项 HFmrEF/HFpEF 试验）；21947（五项试验全谱）,两试验合并的加权平均约 23 个月（五试验范围 9 个月至 2.3 年）,复合终点（心血管死亡或首次心衰住院） | 心血管死亡 | 首次心衰住院 | 心血管死亡或任意心衰恶化事件 | 全因死亡 | 健康状态（KCCQ） | 五试验全谱的对应结局（背景） | 14 个预设亚组（含 NYHA 分级与 LVEF 分层）,复合终点：心血管死亡或首次心衰住院（两项 HFmrEF/HFpEF 试验）: HR 0.80 (95% CI 0.73-0.87); 首次心衰住院（两项 HFmrEF/HFpEF 试验）★主锚点: HR 0.74 (95% CI 0.67-0.83); 心血管死亡（两项 HFmrEF/HFpEF 试验）: HR 0.88 (95% CI 0.77-1.00); 全因死亡（两项 HFmrEF/HFpEF 试验）: HR 0.97 (95% CI 0.88-1.06); 心血管死亡或任意心衰恶化事件（两项 HFmrEF/HFpEF 试验）: HR 0.80 (95% CI 0.73-0.87); 复合终点：NYHA II 级（两项试验合并）: HR 0.72 (95% CI 0.67-0.79); 复合终点：NYHA III/IV 级（两项试验合并）: HR 0.86 (95% CI 0.77-0.95); 复合终点按 LVEF 分层（五试验全谱）: HR 0.75–0.81 (95% CI 0.67-0.96); 复合终点（五试验全谱，含 LVEF ≤ 40%）: HR 0.77 (95% CI 0.72-0.82); 首次心衰住院（五试验全谱）: HR 0.72 (95% CI 0.67-0.78); 心血管死亡（五试验全谱）: HR 0.87 (95% CI 0.79-0.95); 全因死亡（五试验全谱）: HR 0.92 (95% CI 0.86-0.99),,,full-text,协议预先注册（PROSPERO CRD42022327527）；五试验合并为事后追加。原文明确声明各试验非头对头比较，不能排除不同药物间仍存在差异。DAPA-HF、EMPEROR-Reduced、SOLOIST-WHF 被排除于本问题的证据体之外，仅作背景。
S06,HFpEF 人群 SGLT2 抑制剂系统评价（Jaiswal 2023）,pmid:37773799,systematic-review,False,False,True,（不进入任何证据体）,serious,系统评价层面有两处可识别的误差来源。一是纳入人群与题名不符：该评价自称评估 HFpEF，却把 DECLARE-TIMI 58、VERTIS CV、SCORED 三项以 2 型糖尿病为主、未要求入组时存在心衰的人群计入合并。二是未报告对所纳入研究的偏倚风险评估，亦未做亚组与敏感性分析（原文自述因数据有限未能进行）。,serious,合并人群与本问题的目标人群有实质距离：三项以糖尿病为主的研究并非心衰队列，其事件主要由非心衰机制驱动；把这些人群与两项 HFpEF 专用试验合并，会以其他机制替代本问题所问的效应。其所报告的心衰住院 HR 0.74 与专用人群的 0.74 数值相同，这一吻合来自相同的一批原始试验，是重复计数而非独立验证。,low,区间宽度本身尚可（心衰住院 0.67–0.82；全因死亡 0.89–1.06），I² 为 0%。其精度描述的是混合人群的合并效应，不能转移到本问题人群。,AMSTAR 2,critically low confidence,自述为 HFpEF；但纳入的研究中含 DECLARE-TIMI 58、VERTIS CV、SCORED 三项以 2 型糖尿病为主的人群，其射血分数口径无法逐条核实,15989（6 项研究）,2.24 年（中位）,首次心衰住院或心血管死亡复合终点 | 心衰住院 | 全因死亡 | 心血管死亡,复合终点：首次心衰住院或心血管死亡: HR 0.80 (95% CI 0.74-0.87); 心衰住院: HR 0.74 (95% CI 0.67-0.82); 全因死亡: HR 0.97 (95% CI 0.89-1.06); 心血管死亡: HR 0.96 (95% CI 0.82-1.13),该记录的数值不进入本表的任何证据体，因此不作为参与确定性判断的研究行评价。理由有两条：其一，它纳入的人群混入了三项以 2 型糖尿病为主、未要求入组时存在心衰的研究，与本问题人群不同；其二，它的心衰住院点估计 0.74 与本问题人群的合并估计数值相同，但两者纳入的是同一批原始试验，这一吻合是重复计数而非独立验证。本表只把它当作“数值上是否吻合”的对照，它的任何数值都不参与 B1–B4 的确定性算术。其三，它未评估所纳入研究的偏倚风险，其自身的方法学缺陷已在本行三个域中写下，供读者判断该对照值本身是否可信。,该评价的心衰住院点估计 0.74 与本问题人群的合并估计数值相同，但两者纳入的是同一批原始试验，该吻合是重复计数而非独立验证；且其合并人群含三项以 2 型糖尿病为主的研究。因此它不进入 B1–B4 中任何一个的纳入研究清单，也不参与任何确定性算术。,full-text,合并人群定义与题名不符、且未评估纳入研究的偏倚风险，是 AMSTAR 2 下两个关键缺陷，故记为 critically low。本表只把它的数值作为“数值上是否吻合”的对照，不进入任何证据体，也不参与任何确定性的加减。
S07,与 S06 同题同刊的同条记录（去重行）,pmid:37773799,systematic-review,False,False,True,（不进入任何证据体）,,,,,,,,,,,,,,本行与 S06 为同一 PMID、同一 DOI、同一卷期与同一文章号，属同一条记录被重复登记，不构成第二项研究；合并会重复计数同一批证据。本次未再单独评价它。,与 S06 为同一 PMID、同一 DOI、同一卷期与同一文章号，属同一条记录被重复登记，合并会重复计数同一批证据。,metadata,"保留该行是为了让读者看到去重这一步确实做过，而不是悄悄删除。初筛时该记录曾被署为“Shrestha DB, Budhathoki P, Sedhai YR, et al.”；本次按 PMID 题录核对，作者为 Jaiswal A 等，故该署名为误，已在本行更正并保留记录。"
S08,HFpEF 人群 SGLT2 抑制剂系统评价（Hamid 2024）,pmid:39400108,systematic-review,False,False,True,（不进入任何证据体）,unclear,所取得的记录为摘要，未报告纳入研究清单、偏倚风险评估方法、异质性处理与敏感性分析，因此无法判断系统评价执行中可能出现的误差来源。该评级反映的是“未报告”，不是“知道它做得差”。,unclear,摘要称纳入射血分数高于 40% 的人群，但未列出纳入研究，无法核对其是否混入以糖尿病为主的人群（S06 就在这一点上出了问题），故不能判断其与本问题人群的距离。,unclear,记录中没有任何合并效应的点估计与置信区间，无从判断区间宽度，因而无从判断精度。,AMSTAR 2,not applicable — 记录不足以完成评估,自述为射血分数高于 40%,16509（8 项研究）,未报告,心血管住院 | 心血管死亡 | 全因死亡 | 估算肾小球滤过率,,所取得的记录为摘要，未报告任何终点的合并效应点估计与置信区间、未报告纳入研究清单与偏倚风险评估，无法完成逐域判断，也无法核对其人群是否确实为 LVEF > 40%。其定性结论与 S05 方向一致，但数值不可核对，故不进入任何确定性算术。,仅取得摘要，无任何可核对的效应量；其定性结论与 S05 一致，可能只是反映了同一批原始试验。,abstract,该评价的存在与方向性结论（降低心血管住院、不降低死亡）与 S05 方向一致；因其数值不可核对，本表未让它的任何数值进入确定性的算术。作者、刊名、年份与 DOI 已按题录核实补齐。
S09,SGLT2 抑制剂之间的间接比较（Bayesian 网络分析）,pmid:36702979,systematic-review,False,False,True,（不进入任何证据体）,serious,所取得的记录为摘要，未报告网络一致性检验、纳入研究的偏倚风险评估或模型选择依据；网络间接比较在链路缺少闭合环时无法检验一致性，而本网络的多数节点由安慰剂连接。该评级反映的是“未报告导致不可判断”，不是“知道它有偏”。,serious,网络纳入的是全射血分数谱的已确诊心衰人群，其连接节点包括 LVEF ≤ 40% 的试验；由这些试验推断 HFpEF 内部两药之间的差异，需要假定效应在射血分数谱上同质，而这一点本身未被检验。,serious,四组间接比较的区间都很宽（如心衰住院 OR 0.64–1.97），既不能排除达格列净优于恩格列净，也不能排除相反方向，属于同时跨越两个相反决策的不精确。,AMSTAR 2,not applicable — 记录不足以完成评估,全射血分数谱的已确诊心衰人群，非 HFpEF 专用,5 项试验，4 种治疗策略,未报告,复合终点（达格列净 vs 恩格列净） | 全因死亡 | 心血管死亡 | 心衰住院,复合终点：达格列净 vs 恩格列净: OR 1.00 (95% CI 0.66-1.55); 全因死亡：达格列净 vs 恩格列净: OR 0.92 (95% CI 0.71-1.18); 心血管死亡：达格列净 vs 恩格列净: OR 0.94 (95% CI 0.71-1.23); 心衰住院：达格列净 vs 恩格列净: OR 1.13 (95% CI 0.64-1.97),所取得的记录为摘要，未报告网络一致性检验、纳入研究的偏倚风险评估与模型选择依据，无法完成 AMSTAR 2 的逐域判断。此项仅用于说明两药之间缺乏可辨别的差异，不进入任何确定性算术。,网络纳入全射血分数谱的已确诊心衰人群，由其中推断 HFpEF 内部的两药差异需假定效应在射血分数谱上同质，而该假定未被检验。,abstract,该结果对本表的意义是：本问题人群中没有头对头的随机比较；现有的网络间接比较区间过宽，既不能显示两药之间的差异，也不能证明两药等效。作者、刊名、年份与 DOI 已按题录核实更正。
S10,DELIVER 的试验模拟（观察性一致性检查）,url:https://www.embase.com/search/results?subaction=viewrecord&id=L651752299&from=export,retrospective-cohort,False,False,True,（不进入任何证据体）,serious,Newcastle-Ottawa 域结构下，选择域与可比性域存在不可消除的残余混杂：活性对照为西格列汀而非安慰剂，测量的是“达格列净相对于另一种降糖药”的效应；暴露由处方记录推断，结局由理赔编码定义，未设盲判定。,serious,对照不是安慰剂而是西格列汀，人群限定为合并 2 型糖尿病者，且复合终点把全因死亡与心衰住院合并，与本问题“安慰剂对照、各终点分列”的口径不符。,moderate,匹配后队列的事件数使区间上限为 0.92，尚可辨别方向；但该区间无法与随机试验的区间做等价解读，因为其中混杂了对照药物的效应。,Newcastle-Ottawa Scale,not scored — 摘要未报告足够的方法学细节,HFmrEF/HFpEF 且合并 2 型糖尿病（具体 LVEF 阈值未在摘要中给出）,8162（常规治疗队列，与 DELIVER 的 2806 名入组者做倾向评分 1:1 匹配）,未报告,全因死亡或心衰住院复合终点 | 复合终点的组分,全因死亡或心衰住院（复合终点）: HR 0.76 (95% CI 0.63-0.92),所取得的记录为会议摘要，未报告随访时长、匹配后协变量平衡诊断、残余混杂定量评估与 LVEF 纳入阈值，无法完成 Newcastle-Ottawa 的逐域评分。此项仅作方向一致性记录，不进入任何确定性算术。,观察性设计、活性对照（西格列汀）而非安慰剂，且人群限定为合并 2 型糖尿病者；用于一致性检查可以，用于提升确定性等级不可以。,abstract,保留此行的用途是记录“真实世界数据与随机试验方向一致”，这不是升级证据确定性的理由；本表未因它上调任何等级。
