claimId,referenceNumber,claimType,claim,identifier,accessLevel,artifactPath,sourceUrl
CLM-001,2,direct,冰片（龙脑，C10H18O）分子量 154.25，沸点 212 ℃。,PMID:41449179; DOI:10.1038/s41598-025-31589-8,full_text,.evimed-sources/PMC12804185/fulltext.md,https://europepmc.org/articles/PMC12804185
CLM-002,2,direct,冰片及环状单萜类在常温下即可升华并存在于气相，导致其可测浓度下降——这是开封后冰片逸散风险的机制基础。,PMID:41449179; DOI:10.1038/s41598-025-31589-8,full_text,.evimed-sources/PMC12804185/fulltext.md,https://europepmc.org/articles/PMC12804185
CLM-003,2,direct,密封包装的加速破坏性降解试验中，在 25 ℃、730 天、以含量损失 ≥5% 为失效判据时，β-环糊精包合物失效概率 1.10%，未包合冰片物理混合物失效概率 88.50%。,PMID:41449179; DOI:10.1038/s41598-025-31589-8,full_text,.evimed-sources/PMC12804185/fulltext.md,https://europepmc.org/articles/PMC12804185
CLM-004,2,direct,该稳定性试验样品均封装于三层 PET/AL/PE 复合膜袋（2 g/袋）并热封，属未开封密封体系；其结论不能直接外推至开封后（敞口/反复开盖）状态。,PMID:41449179; DOI:10.1038/s41598-025-31589-8,full_text,.evimed-sources/PMC12804185/fulltext.md,https://europepmc.org/articles/PMC12804185
CLM-005,1,direct,冰片与萘、金刚烷、樟脑均为白色结晶固体，在室温常压（RTP）下即可升华。,PMID:41162678; DOI:10.1038/s41598-025-21764-2,full_text,.evimed-sources/PMC12572270/fulltext.xml,https://europepmc.org/articles/PMC12572270
CLM-006,1,direct,文献 Table 1（列序：萘/金刚烷/樟脑/冰片）给出冰片熔点 206 ℃、沸点 210 ℃。,PMID:41162678; DOI:10.1038/s41598-025-21764-2,full_text,.evimed-sources/PMC12572270/fulltext.xml,https://europepmc.org/articles/PMC12572270
CLM-007,1,direct,文献 Table 1 给出冰片室温蒸汽压 23 mTorr、升华焓 74.7 kJ/mol。,PMID:41162678; DOI:10.1038/s41598-025-21764-2,full_text,.evimed-sources/PMC12572270/fulltext.xml,https://europepmc.org/articles/PMC12572270
CLM-008,4,direct,含 L-冰片的粗提物疗效常因冰片升华及水性环境中润湿性差而不稳定。,PMID:41599609; DOI:10.3390/ph19010007,full_text,.evimed-sources/PMC12844603/fulltext.md,https://europepmc.org/articles/PMC12844603
CLM-009,4,direct,L-冰片固体分散体以熔融法、以聚乙二醇 6000（PEG 6000）为载体——与滴丸的聚乙二醇基质体系同类。,PMID:41599609; DOI:10.3390/ph19010007,full_text,.evimed-sources/PMC12844603/fulltext.md,https://europepmc.org/articles/PMC12844603
CLM-010,4,direct,最优处方（药载比 1:2、70 ℃、5 min）下 L-冰片释放提高 2.5 倍，DSC 与 PXRD 证实冰片完全转化为无定形态。,PMID:41599609; DOI:10.3390/ph19010007,full_text,.evimed-sources/PMC12844603/fulltext.md,https://europepmc.org/articles/PMC12844603
CLM-011,5,direct,速效救心丸（SJP）由冰片与川芎（Chuanxiong Rhizoma）组成，为活血化瘀类代表中成药，用于稳定型冠状动脉疾病。,PMID:40890831; DOI:10.1186/s13020-025-01198-8,full_text,.evimed-sources/PMC12400554/fulltext.md,https://europepmc.org/articles/PMC12400554
CLM-013,11,direct,NHS 官方胸痛指导：突发胸痛（压榨感/挤压样、放射至手臂、颈、下颌、背部，或伴出汗、恶心、头晕、气短）可能为心肌梗死，应立即呼叫急救（英国 999）并接受院内治疗。,https://www.nhs.uk/symptoms/chest-pain/,official_page,.evimed-sources/official-pages/f60ccb4779eccff7/page.md,https://www.nhs.uk/symptoms/chest-pain/
CLM-014,11,synthesized,突发急性胸痛疑似心肌梗死时应立即呼叫急救并接受急诊评估，含服速效救心丸不得延误急救；本品循证证据基于稳定型冠心病（心绞痛）患者人群。,synthesized: Chest pain - NHS; Integrated metabolomics and the microbiome reveal the compatibility mechanism of the Suxiao Jiuxin pill in the treatment of stable coronary artery disease,synthesized,.evimed-sources/official-pages/f60ccb4779eccff7/page.md; .evimed-sources/PMC12400554/fulltext.md,https://www.nhs.uk/symptoms/chest-pain/; https://europepmc.org/articles/PMC12400554
