claimId,referenceNumber,claim,sourceTitle,sourceUrl,accessLevel,identifier,supportQuote
CLM-001,7,速效救心丸（国药准字 Z12020025）由川芎与冰片的活性成分制成，每丸重 40 mg。,"Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial",https://europepmc.org/articles/PMC8287819,full_text,PMC8287819,"SJP is composed of tetramethylpyrazine and borneol approval number Z12020025 of the China State Food and Drug Administration [SFDA]). The SJP and placebo pills are provided by Tianjin Zhongxin Pharmaceutical Group Co., Ltd. (Tianjin, China). The placebo pills are similar to the SJP, with a comparable appearance. Each pill weighs 40 mg."
CLM-002,7,该随机、双盲、安慰剂对照、多中心试验（ChiCTR1800014258）纳入 324 例气滞血瘀型慢性稳定型心绞痛患者，在标准治疗基础上加用速效救心丸（5 丸、每日 3 次）24 周。,"Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial",https://europepmc.org/articles/PMC8287819,full_text,PMC8287819,"This is a prospective, randomized, double-blind, placebo-controlled, and multicenter trial. The trial will enroll 324 participants with chronic stable angina (Qi Stagnation and Blood Stasis syndrome). All participants will have received the conventional therapy of chronic stable angina. Participants will be randomized into two groups, conventional therapy plus SJP group and conventional therapy plus placebo group. Eligible participants will receive either SJP or placebo (five pills administered orally, three times daily) in addition to conventional treatment for 24 weeks."
CLM-003,7,该试验允许继续合用抗血小板药、ACEI/ARB、他汀、钙拮抗剂、β 受体阻滞剂与长效硝酸酯。,"Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial",https://europepmc.org/articles/PMC8287819,full_text,PMC8287819,"Both the experimental group and control group can take antiplatelet drugs, angiotensin-converting enzyme inhibitor (ACEI) or angiotensin II receptor antagonist (ARB), statins, calcium ions antagonists, beta-blockers, and long-acting nitrates; the above drugs can continue to be used without changing the original dose"
CLM-004,7,该试验排除收缩压≥180 mmHg 或舒张压≥100 mmHg 的未控制高血压。,"Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial",https://europepmc.org/articles/PMC8287819,full_text,PMC8287819,"Uncontrolled hypertension with systolic blood pressure (SBP) ≥ 180 mmHg or diastolic blood pressure (DBP) ≥ 100 mmHg, or severe arrhythmia"
CLM-005,7,该试验主要终点为心绞痛症状改善率与主要不良心血管事件。,"Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial",https://europepmc.org/articles/PMC8287819,full_text,PMC8287819,The primary outcomes are the symptom improvement rate of angina from baseline to 4 weeks after inclusion and major adverse cardiovascular events (MACE).
CLM-006,7,该试验以生命体征（含血压与心率）与实验室检查评估安全性，未设血压叠加或症状性低血压终点。,"Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial",https://europepmc.org/articles/PMC8287819,full_text,PMC8287819,"Safety assessment will be based on vital signs, laboratory examinations, and adverse events. Vital signs will include the respiratory rate, blood pressure, and heart rate."
CLM-007,8,该 meta 分析纳入 41 项随机对照试验、6276 例冠心病患者。,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,https://europepmc.org/articles/PMC5892298,full_text,PMC5892298,The 41 studies consisted of 6276 patients with coronary heart disease.
CLM-008,8,速效救心丸改善心电图 RR 1.32（95%CI 1.26 至 1.38，P<0.001）。,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,https://europepmc.org/articles/PMC5892298,full_text,PMC5892298,"Pooled analysis indicated significant benefits of suxiao jiuxin pill on ECG outcomes (RR 1.32; 95% CI 1.26 to 1.38, P < 0.001)."
CLM-009,8,不良反应以轻度头痛、头晕、面部潮红为主，与对照组差异无统计学意义（RR 1.12，95%CI 0.50 至 2.51，P=0.785）。,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,https://europepmc.org/articles/PMC5892298,full_text,PMC5892298,"Fourteen studies reported the incidence of adverse reactions. The most common symptoms were mild headache, dizziness, and facial flushing. Most of these symptoms resolved spontaneously. There was no significant difference in the adverse reaction rates between the treatment and the control groups (RR 1.12, 95% CI 0.50 to 2.51, and P = 0.785)"
CLM-010,8,该 meta 分析报告的结局为心电图、血脂、血液流变学与不良反应。,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,https://europepmc.org/articles/PMC5892298,full_text,PMC5892298,"The primary outcome of the selected studies was the improvement in ECG results, including resting ECG returning to normal or negative submaximal exercise test. The secondary outcomes included changes in lipid profile (total cholesterol, total triglyceride, low-density lipoprotein, and high-density lipoprotein) and hemorheology (high-cut whole blood viscosity, low-cut whole blood viscosity, plasma viscosity, hematocrit, and fibrinogen) as well as any adverse reactions."
CLM-011,2,速效救心丸对人乳内动脉 KCl 与 U46619 预收缩的舒张率分别为 99.4±10.5% 与 99.9±5.6%。,Suxiao Jiuxin Pill Induces Potent Relaxation and Inhibition on Contraction in Human Artery and the Mechanism,https://europepmc.org/articles/PMC3997901,full_text,PMC3997901,"SJP caused full relaxation in KCl- (99.4 ± 10.5%, n = 6) and U46619- (99.9 ± 5.6%, n = 6) contracted IMA."
CLM-012,2,以血浆浓度（1 mg/mL）预处理人乳内动脉，可显著抑制 KCl 与 U46619 所致最大收缩（分别由 35.8±6.0 降至 12.6±5.6 mN，P=0.03；由 19.4±2.9 降至 5.7±2.4 mN，P=0.007）。,Suxiao Jiuxin Pill Induces Potent Relaxation and Inhibition on Contraction in Human Artery and the Mechanism,https://europepmc.org/articles/PMC3997901,full_text,PMC3997901,"Pretreatment of IMA with plasma concentrations of SJP (1 mg/mL), calculated from the plasma concentration of its major component borneol, significantly depressed the maximal contraction to KCl (from 35.8 ± 6.0 mN to 12.6 ± 5.6 mN, P = 0.03) and U46619 (from 19.4 ± 2.9 mN to 5.7 ± 2.4 mN, P = 0.007)"
CLM-013,2,该舒张兼具内皮依赖与内皮非依赖机制。,Suxiao Jiuxin Pill Induces Potent Relaxation and Inhibition on Contraction in Human Artery and the Mechanism,https://europepmc.org/articles/PMC3997901,full_text,PMC3997901,The vasorelaxation involves both endothelium-dependent and -independent mechanisms.
