RQ-03_研究任务 | 1.3 | gap-answered-in-verdict | 109 | 按 GRADE 为低确定性 | 问题要求长期用药有效性证据体的GRADE确定性等级，该行明确给出低确定性。
RQ-03_研究任务 | 2.5 | gap-answered-in-verdict | 14 | 现有安全性信息来自短疗程试验的附带记录与无分母的说明书监测数据 | 问题要求现有安全性信息来源，该行明确指出来自短疗程试验附带记录与无分母监测数据。
RQ-02_研究任务 | 1.3 | gap-answered-in-verdict | 96 | 具体数字与升级门槛并不一致 | 问题问各指南时间界限彼此是否一致及差异大小，而该行在结论中直接给出不一致的结论。
RQ-02_研究任务 | 5.2 | gap-answered-in-verdict | 104 | 缺口落在"时间阈值本身"这一环 | 问题问若不能确认缺口落在哪一环，而该行在结论中明确给出缺口落在时间阈值本身这一环。
RQ-02_研究任务 | 4.2 | answer-not-responsive | 65 | NHS 的次序更简：突发不缓解胸痛立即呼叫 999，不设自我用药环节 | 问题问我国急救体系下各来源对自我用药、呼叫120、自行前往的先后次序，而该行给出的是英国NHS的次序，未涉及中国急救体系。
RQ-01_研究任务 | 3.2 | gap-answered-in-verdict | 123 | 敏感度 72%、特异度 37%、阳性似然比 1.1[1] | 条目想知道经验性推断的检验结论，但结论段已给出敏感度、特异度和似然比，明确不能鉴别胸痛病因，却标为gap。
RQ-01_研究任务 | 2.3 | gap-answered-in-verdict | 121 | 57.5% vs 11.1%[5] | 条目要求准确表述疗效差异的效应量级与适用人群范围，结论段已给出效应量并纠正过度简化的适用人群表述，却标为gap。
RQ-01_研究任务 | 1.3 | gap-answered-in-verdict | 119 | 二者适用人群不同、证据不能互认 | 条目要求界定两药各自适用场景边界，但结论句已指出适用人群不同且证据不能互认，构成边界答案，却标为gap。
RQ-01_研究任务 | 1.1 | answer-not-responsive | 11 | 非院外自救场景 | 条目询问院外自救场景下两药证据的设计层级，该行给出的是非院外自救场景下速效救心丸对硝酸甘油的随机对照证据，场景不符。
RQ-01_研究任务 | 2.1 | answer-not-responsive | 23 | 携带率约 40%[5] | 条目询问ALDH2 rs671在中国人群中的等位基因频率与酶活性表型分布，该行只给出携带率，未涉及等位基因频率，属于不同终点指标。
RQ-05_研究任务 | 5.3 | gap-answered-in-verdict | 110 | 含服本品不是等待观察的理由 | 该条目将自行含服药物在指南路径中的位置标为gap，而第110行明确含服本品不是等待观察的理由、呼叫急救应同时进行，直接回答了其位置。
RQ-05_研究任务 | 2.3 | gap-answered-in-verdict | 19 | 现有人群证据停留在慢性便秘与心血管事件相关的层面 | 该条目将生理学证据是仅到机制层还是已有事件层印证标为gap，而第19行结论明确机制可解释且现有人群证据停留在慢性便秘相关层面，回答了该层次判断。
RQ-05_研究任务 | 2.2 | answer-not-responsive | 14 | 排便姿势与通便措施的研究仅有排便力学、腹内压或血压相关终点 | 该条目问便秘、排便用力与心血管事件的共同混杂因素，而第14行讨论的是排便姿势/通便措施的终点与证据链未建立，并未回答混杂因素。
RQ-05_研究任务 | 2.1 | answer-not-responsive | 89 | 不给出任何临床效应量 | 该条目问冠心病人群中Valsalva各时相腹内压、胸内压、血压、心率与冠脉灌注的实测数据，而第89行仅给出生理学机制判断且自述不给出临床效应量，未提供CAD实测数据。
RQ-09_研究任务 | 2.1 | gap-answered-in-verdict | 104 | 清凉感可由冰片对 TRPM8 的激动解释，该机制有离体与动物证据；但冰片在人 TRPA1 上是拮抗剂而非激动剂，灼热或刺 | 问题询问局部感受的候选药理机制及实验支持层级，而结论句直接给出TRPM8、TRPA1等机制与证据等级，属于对已标记为gap的子问题作答。
RQ-09_研究任务 | 5.4 | gap-answered-in-verdict | 104 | 舌部麻木在伴随黏膜肿胀、皮疹、瘙痒或呼吸困难时，或持续加重时，应优先考虑过敏或局部损伤，而非可预期的清凉感 | 问题询问鉴别要点与处置建议，状态标为gap，但结论句已给出过敏或局部损伤的识别情形。
RQ-09_研究任务 | 3.1 | answer-not-responsive | 62 | 麻木这一感觉缺失表型不能由 TRPM8 激动机制直接推出 | 问题询问舌部麻木与舌下黏膜实际吸收之间的直接测量关联，该行实际讨论TRPM8机制与麻木表型的推导，未涉及吸收关联。
RQ-09_研究任务 | 5.1 | answer-not-responsive | 78 | 这些数据指向冰片在常规浓度下的低刺激性，但它们测的是角膜、皮肤与经口毒性，不是舌下黏膜 | 问题询问舌部麻木应于何种情形下识别为不良反应、黏膜损伤或超敏征兆，该行只给出冰片眼/皮肤刺激性的动物数据，未给出临床识别情形。
RQ-07_研究任务 | 1.1 | answer-not-responsive | 21 | 速效救心丸用于 PCI 术后患者无说明书适应症依据 | 问题要求说明现行 NMPA 药品说明书对本品适应症的原文表述，而该行只给出术后使用无适应症依据的结论，未提供说明书适应症原文。
RQ-07_研究任务 | 2.2 | answer-not-responsive | 93 | PCI 术后新发或加重的胸痛，应首先由心内科评估残余缺血、支架内血栓与再狭窄 | 问题要求提供术后人群临床研究的人群定义、背景治疗、终点、样本量与效应量，而该行给出的是 PCI 术后胸痛处理建议，未提供任何研究特征。
RQ-07_研究任务 | 3.2 | gap-answered-in-verdict | 85 | AHA/ACC 指南未述及本品 | 问题要求判断各指南/专家共识对术后使用本品的立场是明确推荐、仅述及、未述及还是不推荐，而该结论行已明确给出 AHA/ACC 指南未述及本品的归类，与 gap 状态矛盾。
RQ-08_研究任务 | 4.2 | gap-answered-in-verdict | 109 | 说明书与药典的贮藏、有效期规定约束未开封原包装状态，不覆盖开封后使用期 | 问题4.2询问贮藏条款是否覆盖开封后使用期，而该结论行直接声明说明书与药典规定仅约束未开封状态、不覆盖开封后使用期，等同于回答了该子问题。
RQ-08_研究任务 | 4.1 | answer-not-responsive | 119 | 突发且持续不退的胸部疼痛或不适，应立即呼叫急救 | 问题4.1要求现行药典/说明书对贮藏条件、有效期与包装形式的具体规定，但该行给出的是突发胸痛立即呼叫急救的临床实践建议，未提及任何相关规定。
RQ-08_研究任务 | 1.1 | false-gap | 11 | 冰片（1,7,7-三甲基二环[2.2.1]庚-2-醇，C10H18O）的分子量为 154.25、沸点 212 ℃ | 问题1.1询问冰片理化性质，该行给出了分子量和沸点等实测数值，属于证据支撑的回答，却标记为gap。
RQ-08_研究任务 | 1.2 | false-gap | 15 | L-龙脑经差示扫描量热法测得的熔点为 204.6 ℃ | 问题1.2询问熔点、升华与挥发行为等实测数据，该行给出了差示扫描量热法测得的熔点数据，却标记为gap。
RQ-08_研究任务 | 2.4 | false-gap | 67 | 同类含冰片中成药的挥发组分稳定性研究 | 问题2.4询问同类含冰片中成药稳定性等最近可用证据，该行直接给出了同类含冰片中成药的挥发组分稳定性研究及其定量结果，却标记为gap。
RQ-12_研究任务 | 3.3 | answer-not-responsive | 70 | 另有 42 项随机对照试验的 meta 分析（6694 例）报告联合常规治疗较常规治疗降低 MACE | 该条目询问网络 meta 分析的 SUCRA/排序概率、两药效应量区间、传递性与不一致性及 GRADE，但所引第 70 行提供的是麝香保心丸安慰剂对照试验及其普通 meta 分析，未涉及网络 meta 分析。
RQ-12_研究任务 | 1.2 | gap-answered-in-verdict | 11 | 两药说明书同属气滞血瘀证型，但速效救心丸限于气滞血瘀型冠心病心绞痛 | 该条目询问说明书原文下两药适应症人群和使用场景的重叠与不重叠区间，而摘要第 11 行已给出同属气滞血瘀证型与麝香保心丸另涵盖心肌梗死的对比性答案。
RQ-12_研究任务 | 5.3 | gap-answered-in-verdict | 102 | 适应症重叠、类属相近与位次接近均不构成互换性证据 | 该条目询问适应症重叠、类属相近与网络 meta 位次相近在方法学上是否构成互换性证据，而结论第 102 行明确断定均不构成。
RQ-12_研究任务 | 3.4 | gap-answered-in-verdict | 102 | 相对位次无法由现有可核验分析推导 | 该条目询问网络 meta 位次在方法学上可支撑何种强度表述，而结论第 102 行直接给出相对位次无法推导的强度判断。
RQ-12_研究任务 | 1.5 | gap-answered-in-verdict | 102 | 起效时间数值未能追溯到现行说明书文本 | 该条目询问流传的差异性能否逐条追溯到说明书或注册文献，而结论第 102 行给出起效时间数值未能追溯到说明书文本的结论。
RQ-11_研究任务 | 2.1 | gap-answered-in-verdict | 110 | 症状学特征中判别效能最高者为右臂/右肩放射痛、出汗与按压可复现痛 | 问题问用于鉴别的单项症状学特征；结论具体命名了右臂/右肩放射痛、出汗与按压可复现痛等判别特征，与 gap 状态矛盾。
RQ-11_研究任务 | 2.2 | answer-not-responsive | 117 | 出现以下任一情况应立即呼叫 120 并接受急诊评估 | 问题问用于鉴别的单项症状学特征；该行给出的是需要立即呼叫 120 的紧急就医指征，而非鉴别诊断特征。
RQ-13_研究任务 | 5.1 | gap-answered-in-verdict | 104 | 该问题尚未被研究 | 该条目问现有证据属于“未观察到效应衰减”还是“该问题尚未被研究”，第104行结论已明确判定为“该问题尚未被研究”。
RQ-13_研究任务 | 2.1 | answer-not-responsive | 12 | 速效救心丸的随机对照证据集中于心电图与心绞痛等替代终点 | 该条目问速效救心丸组方成分已报告的作用通路，而第12行给出的却是随机对照试验的临床替代终点汇总，未涉及川芎或冰片通路。
RQ-13_研究任务 | 4.2 | answer-not-responsive | 66 | 这三类证据的共同特征是结局集中于症状与心电图、测量时点为疗程终点单次测量 | 该条目问说明书与指南中“长期使用需在医生评估与指导下进行”表述的溯源与推荐强度，而第66行回答的是临床结局与测量时点的设计局限。
RQ-16_研究任务 | 3.5 | gap-answered-in-verdict | 110 | 突发且不缓解的胸痛或压迫感 | 问题要求需即刻急诊评估的警示特征，但临床实践要点该行已具体列出需直接呼叫120的胸痛、放射痛及伴随症状。
RQ-16_研究任务 | 2.6 | gap-answered-in-verdict | 102 | 房颤风险升高相关 | 问题询问睡眠剥夺对心房颤动发作的实测效应，结论行却已给出睡眠剥夺与房颤风险升高相关的回答。
RQ-16_研究任务 | 5.5 | false-gap | 46 | 未载针对无医师诊断者自行用药的表述 | 问题询问说明书注意事项对无医师诊断者自行用药的表述，结果行已明确说明书未载该表述，不应标记为缺口。
RQ-16_研究任务 | 2.5 | answer-not-responsive | 22 | 心房颤动是最常见的心律诊断 | 问题要求睡眠剥夺对房性与室性期前收缩负荷的效应，但该行只报告心悸急诊患者中房颤最常见，未涉及期前收缩负荷。
RQ-16_研究任务 | 2.10 | answer-not-responsive | 22 | 其次是窦性心动过速 | 问题要求睡眠剥夺与心肌缺血及急性冠脉事件的关联及其能否对应心悸，但该行只报告心悸急诊患者的心律诊断，未提供该关联。
RQ-16_研究任务 | 4.2 | answer-not-responsive | 46 | 用于气滞血瘀型冠心病，心绞痛 | 问题要求以本品为干预的临床研究的人群、证型入组、终点、样本量与效应量，但该行只给出说明书适应症而非临床试验数据。
RQ-14_研究任务 | 2.3 | answer-not-responsive | 11 | 沙丁胺醇过期20–30年后仍保留98%活性成分 | 该条目询问口服固体制剂超效期后的微生物负载变化，但该行仅报告主药活性成分保留情况，未涉及微生物负载。
RQ-14_研究任务 | 2.5 | answer-not-responsive | 11 | 冰片常温即可升华进入气相 | 该条目询问挥发油损失，但该行只说明冰片升华，未提供挥发油损失数据。
RQ-14_研究任务 | 2.2 | answer-not-responsive | 58 | 可溯源的健康损害记录仅限特定四环素旧制剂 | 该条目询问口服固体制剂超效期后的降解产物生成，但该行讨论的是服用过期药造成健康损害的证据，未报告降解产物生成的实测结局。
RQ-14_研究任务 | 1.3 | gap-answered-in-verdict | 96 | 说明书"性状"项是质量标准鉴别依据 | 该条目标记为空白，但结论已明确说明书性状项在药品标准体系中承担质量标准鉴别依据的功能。
RQ-17_研究任务 | 5.6 | false-gap | 63 | DECAF 随机试验在房颤电复律后患者中观察到继续饮用咖啡组房颤复发率较戒断组降低 39%（p=0.01） | 问题要求减少咖啡因摄入对心悸发作是否有干预性直接证据及效应量；该行已给出 DECAF 随机试验的直接干预证据和 39% 的效应量，故不应标记为 gap。
RQ-17_研究任务 | 3.3 | answer-not-responsive | 45 | 速效救心丸用于气滞血瘀证（Qi stagnation and blood stasis syndrome）稳定型心绞痛 | 问题要求心悸与心绞痛的鉴别要点、指南界定及推荐类别/证据等级；该行仅陈述本品适应症，未提供鉴别或指南信息。
RQ-17_研究任务 | 2.4 | answer-not-responsive | 49 | 心率变异性方面，10 项研究的 meta 分析显示运动后恢复期咖啡因（2.1 to 6.0 mg/kg）对 RMSSD（ | 问题要求咖啡因对 QT 间期的实测效应；该行讨论心率变异性（RMSSD 和高频成分），未涉及 QT 间期。
RQ-17_研究任务 | 3.5 | answer-not-responsive | 63 | 关于“无心血管诊断青年人为预防猝死而常备或自行含服本品” | 问题要求无危险因素青年中心肌缺血的先验概率数据；该行讨论无心血管诊断青年的自行用药，未提供先验概率。
RQ-17_研究任务 | 4.2 | answer-not-responsive | 45 | 由川芎（Ligusticum chuanxiong）与冰片（Borneolum syntheticum）组成、批准文号  | 问题要求如果存在以本品为干预的研究，其人群定义、入组证型、终点、样本量与效应量；该行仅介绍本品组成和批准文号，未涉及任何临床研究设计信息。
RQ-17_研究任务 | 2.7 | answer-not-responsive | 55 | 咖啡因与烟草、酒精及拟交感药物同属已知可致心悸的物质因素，而焦虑是心悸最常见的非心源性原因 | 问题要求按每日摄入量分层的剂量-反应关系、健康人与结构性心脏病/心律失常人群差异及效应可逆性/持续时间；该行仅将咖啡因列为心悸的可能物质因素，未提供这些分层量效数据。
RQ-17_研究任务 | 3.2 | answer-not-responsive | 55 | 其中心源性占 43%、焦虑或惊恐障碍占 31%、药物与违禁物质占 6%、其余非心源性医学原因占 4% | 问题要求窦性心动过速、期前收缩、阵发性室上性心动过速、甲亢、贫血、电解质紊乱等各自比例；该行只给出心源性、焦虑等宽泛分类，未拆分到所要求的具体病因。
RQ-17_研究任务 | 3.6 | answer-not-responsive | 87 | 含服本品后症状是否缓解，不得用作是否就医或心肌缺血是否解除的依据 | 问题要求列举需要即刻急诊评估的警示特征；该行讨论含服药物后症状缓解不得作为就医判断依据，未列出警示特征清单。
RQ-20_研究任务 | 2.4 | gap-answered-in-verdict | 17 | 阿司匹林对疑似心梗的院外早给药仅来自 3 项研究、按 GRADE 为极低确定性 [10]<!-- claim:CLM-0 | 该条目问三类情形各自的研究设计、效应量与推荐强度，而摘要行17直接给出了阿司匹林研究数量与GRADE确定性、PAD试验RR 2.0，属于已有答案。
RQ-20_研究任务 | 5.5 | gap-answered-in-verdict | 102 | 已确诊冠心病心绞痛患者应在医师辨证与指导下使用本品；心绞痛发作持续时，按说明书宜加用硝酸酯类药并及时就医 [1]<!-- | 该条目问谁可备置、依据何种诊断、在何种触发条件下使用、使用后路径，而临床实践要点行102明确限定为已确诊患者在医师辨证指导下使用，并给出持续发作时加用硝酸酯类和及时就医，已作出回答。
RQ-19_研究任务 | 3.6 | gap-answered-in-verdict | 9 | 纳入 174 例不耐受长效硝酸酯的慢性冠脉综合征患者的多中心双盲安慰剂对照试验报告，4 周时试验组西雅图心绞痛量表总分改 | 问题要求若有以任一人群为对象的研究则给出人群定义、终点、样本量与效应量；摘要结果行提供了 174 例样本量、西雅图心绞痛量表终点及 OR 值。
RQ-19_研究任务 | 2.1 | gap-answered-in-verdict | 11 | 第三方购药转赠缺乏可核验的直接规范表述 | 问题问第三方购买后转赠他人受哪些可核验规范约束；摘要结论直接给出缺乏直接规范表述的答案。
RQ-19_研究任务 | 2.3 | gap-answered-in-verdict | 91 | 第三方购药后转赠缺乏可核验的直接规范表述 | 问题问受赠人无本人诊断与处方时现行规范有无直接表述；结论行回答该情形缺乏直接规范表述。
RQ-19_研究任务 | 5.2 | answer-not-responsive | 71 | 机会性筛查未提高房颤检出率 | 问题问体检、家用监测设备与药品馈赠之间有无直接比较研究；该行报告的是房颤筛查未提高检出率，未回答直接比较研究的存否。
RQ-19_研究任务 | 4.2 | gap-answered-in-verdict | 95 | 症状自我归因、就诊延迟与老年多重用药风险有观察性与定性研究支持，确定性低 | 问题问所列具体风险数据；结论行给出了自我归因、就诊延迟与多重用药风险有支持，与该条目 gap 状态矛盾。
RQ-21_研究任务 | 4.3 | answer-not-responsive | 15 | 速效救心丸疗效证据来自 41 项、共 6276 例冠心病患者的随机对照试验 meta 分析 | 问题4.3要求已发表稳定性心绞痛随机对照试验与meta分析中以海拔或低氧为分层变量的亚组分析，而该行只报告总体心电图改善的meta分析结果，未提及海拔或低氧亚组。
RQ-21_研究任务 | 5.1 | answer-not-responsive | 91 | **急性高原病预防。** 阶梯上升与习服是基础 | 问题5.1要求既往确诊冠心病者赴高原的风险评估、行前检查和用药建议，该行却是针对一般人群的急性高原病预防措施，未涉及冠心病评估。
