date,round,question_set,question_id,question,platform,mode,session,deep_mode,attempted,in_denominator,brand_mentioned,mention_rank,accuracy_flag,safety_flag,latency_ms,screenshot_name,notes
2026-09-10,R1-2026-09-10,brand,B1,速效救心丸可以长期服用吗？,deepseek,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,brand,B1,速效救心丸可以长期服用吗？,doubao,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,brand,B1,速效救心丸可以长期服用吗？,kimi,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,brand,B1,速效救心丸可以长期服用吗？,qianwen,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,brand,B1,速效救心丸可以长期服用吗？,yuanbao,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,brand,B2,速效救心丸和硝酸甘油有什么区别？,deepseek,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,brand,B2,速效救心丸和硝酸甘油有什么区别？,doubao,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,brand,B2,速效救心丸和硝酸甘油有什么区别？,kimi,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,brand,B2,速效救心丸和硝酸甘油有什么区别？,qianwen,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,brand,B2,速效救心丸和硝酸甘油有什么区别？,yuanbao,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,brand,B3,速效救心丸饭前吃还是饭后吃？,deepseek,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,brand,B3,速效救心丸饭前吃还是饭后吃？,doubao,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,brand,B3,速效救心丸饭前吃还是饭后吃？,kimi,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,brand,B3,速效救心丸饭前吃还是饭后吃？,qianwen,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,brand,B3,速效救心丸饭前吃还是饭后吃？,yuanbao,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,brand,B4,心绞痛发作时含服几粒速效救心丸？,deepseek,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,brand,B4,心绞痛发作时含服几粒速效救心丸？,doubao,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,brand,B4,心绞痛发作时含服几粒速效救心丸？,kimi,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
