claimId,referenceNumber,supportQuote,claim,sourceUrl,accessLevel,claimType
CLM-001,3,"borneol activated TRPM8 channel in a temperature- and dose-dependent manner, which was similar to but less effective than the action of menthol, an established TRPM8 agonist",冰片以温度与浓度依赖方式激活冷敏通道 TRPM8，效力低于薄荷醇。,https://doi.org/10.1371/journal.pone.0158868,full_text,direct
CLM-002,4,"the hTRPA1 current induced by AITC (20 μM) was inhibited by borneol, 2-methylisoborneol, and fenchyl alcohol in a dose-dependent manner, with half-maximal inhibitory concentrations (IC 50 ) of 0.20 ± 0.06, 0.12 ± 0.03, and 0.32 ± 0.06 mM, respectively, which are much lower than the IC 50 of 1,8-cineole (3.43 ± 0.58 mM) and camphor (1.26 ± 0.32 mM)",冰片抑制（拮抗）人 TRPA1，IC50 为 0.20 mM，且不激活 hTRPA1。,https://doi.org/10.1007/s12576-013-0289-0,full_text,direct
CLM-003,2,Compared to menthol (EC 50 = 13 μM) … borneol exhibited a reduced potency (EC 50 = 65 μM) but similar efficacy in activating TRPM8,冰片对人 TRPM8 的 EC50 为 65 μM，薄荷醇为 13 μM，冰片效力较低而效能相近。,https://doi.org/10.15252/emmm.201607300,full_text,direct
CLM-004,2,"TRPM8 is a cold‐activated channel and is extensively expressed by a subset of peripheral sensory neurons that diffusely innervate the skin, tongue, colon, and cornea",TRPM8 由支配皮肤、舌、结肠与角膜的周围感觉神经元亚群广泛表达。,https://doi.org/10.15252/emmm.201607300,full_text,direct
CLM-005,2,"a randomized, double‐blind, placebo‐controlled clinical study involving 122 patients with postoperative pain … 66% of patients in the borneol group experienced a ≥ 50% reduction in pain intensity compared with 35% of patients in the placebo group … The relative benefit value of topical borneol was calculated to be 1.89 (95% CI 1.28–2.79) compared with placebo for the ≥ 50% reduction in pain.",纳入 122 例术后痛患者的随机、双盲、安慰剂对照研究显示局部冰片镇痛优于安慰剂，冰片组 66% 与安慰剂组 35% 的患者疼痛强度下降 ≥50%，相对获益 1.89（95%CI 1.28–2.79）。,https://doi.org/10.15252/emmm.201607300,full_text,direct
CLM-006,5,"Borneol has been proven to enhance the permeability of biological barriers such as the blood–brain, transdermal, corneal, and intestinal barriers.",冰片已被证实增强血脑、透皮、角膜与肠黏膜等生物屏障的通透性。,https://doi.org/10.1016/j.chmed.2024.04.003,full_text,direct
CLM-007,6,"Cinnamomum camphora chvar. Borneol essential oil (BEO, 18.2% v/v borneol) … Horn’s method and the Draize test revealed a gender difference in mice regarding acute oral LD 50 , i.e., low-toxicity to female mice (2749 mg/kg), but practically nontoxic to male mice (5081 mg/kg). … There was no acute and skin or eye irritation when BEO was applied directly, if the BEO concentration was less than 50%.",冰片精油（含冰片 18.2%）小鼠急性经口 LD50 雌性 2749 mg/kg、雄性 5081 mg/kg，属低毒至基本无毒；浓度低于 50% 时局部应用无皮肤与眼刺激。,https://doi.org/10.1080/21655979.2021.1996149,full_text,direct
CLM-008,7,you get sudden pain or discomfort in your chest that does not go away … You could be having a heart attack. Call 999 straight away as you need immediate treatment in hospital.,突发、持续不缓解的胸痛应立即呼叫急救（英国 999，中国对应 120），不得自行判断病因。,https://www.nhs.uk/symptoms/chest-pain/,official_page,direct
CLM-009,2,identified the TRPM 8 channel as a molecular target of borneol and showed that topical borneol‐induced analgesia was almost exclusively mediated by TRPM 8,"冰片有激活 TRPM8、经 TRPM8 介导镇痛与增强屏障通透的证据，但没有任何证据把舌部感受与黏膜吸收或疗效联系起来测量，故""舌部感受＝药效指示""缺乏证据支持。",,,synthesized
CLM-011,3,Borneol is categorized as an ocular irritant in the Material Safety Data from chemical providers such as Fisher Scientific and Sigma-Aldrich … frequent corneal application (4 times/day for 1 month) of borneol at concentrations up to 1 g/L (6.48 mM) did not harm the eyes,冰片在化学品安全数据表中被列为眼部刺激物，但兔角膜每天 4 次、连续 1 个月应用浓度最高 1 g/L（6.48 mM）未损伤眼组织。,https://doi.org/10.1371/journal.pone.0158868,full_text,direct
CLM-012,5,"With the combined use of borneol, the distribution of these two compounds showed significant improvement in intracerebral area under the concentration–time curve (AUC 0–12 ) by more than 1.3-fold",冰片与川芎嗪（川芎活性成分）等成分配伍，可使其脑内浓度-时间曲线下面积增加 1.3 倍以上。,https://doi.org/10.1016/j.chmed.2024.04.003,full_text,direct
