claimId,referenceNumber,supportQuote,sourceTitle,artifactPath,accessLevel
CLM-001,1,"Long-term stability data ( Figure 5 i) further demonstrated that free d-borneol was almost completely lost within 30 days under 25 °C storage conditions, whereas Bo-Lip retained approximately 80% of the drug after 90 days. Under accelerated conditions (40 °C), free d-borneol degraded completely within 30 days, while Bo-Lip still retained over 60% after 90 days.","Structure-Based Prediction of Molecular Interactions for Stabilizing Volatile Drugs",.evimed-sources/PMC12845388/fulltext.md,full_text
CLM-002,1,"…Samples weighing 10 mg ± 0.5 mg were placed in an open alumina crucible and heated from 30 °C to 300 °C at a heating rate of 5 °C/min…Little volatilization occurred between 30 and 86 °C (DTG < 0.1%). A rapid volatilization phase was observed from 87 to 165 °C, with the maximum rate occurring between 129 and 164.5 °C. Volatilization was complete at 170.44 °C","Structure-Based Prediction of Molecular Interactions for Stabilizing Volatile Drugs",.evimed-sources/PMC12845388/fulltext.md,full_text
CLM-003,1,"their high volatility and susceptibility to chemical degradation lead to substantial losses during production and storage, compromising the efficacy of the final products","Structure-Based Prediction of Molecular Interactions for Stabilizing Volatile Drugs",.evimed-sources/PMC12845388/fulltext.md,full_text
CLM-004,1,"For thermal stability assessment, the complexes were sealed in glass vials and heated at 60 °C for 12 h in a constant-temperature oven.…In thermal acceleration tests at a 1:1 molar ratio, the d-borneol retention rate ( Figure 3 b) decreased over time in a manner consistent with the Protenix ranking: the HP-β-CD group retained >50% of d-borneol after 12 h, owing to strong interactions; the SDC and PC groups showed slower release, while the DBTS and La groups exhibited rapid volatilization, approaching the behavior of pure d-borneol…DBTS and La again showed the lowest retention (<20%), supporting the model’s accuracy even in weak-interaction regimes.","Structure-Based Prediction of Molecular Interactions for Stabilizing Volatile Drugs",.evimed-sources/PMC12845388/fulltext.md,full_text
CLM-005,2,"Phytochemical analyses reveal that Ai-Fen contains 40–60% ( w / w ) L-borneol…its efficacy is often inconsistent due to the sublimation of borneol and poor wettability in the aqueous oral environment","Ai-Fen Solid Dispersions: Preparation, Characterization, and Enhanced Therapeutic Efficacy in a Rat Model of Oral Ulceration",.evimed-sources/PMC12844603/fulltext.md,full_text
CLM-006,2,"At 60 °C, incomplete melting of PEG 6000 resulted in poor dispersion of Ai-Fen and a low cumulative release (21.35 ± 1.42 mg). Raising the temperature to 70 °C markedly increased release to 32.08 ± 1.52 mg. However, further increases to 80 °C, 90 °C, and 100 °C led to progressively lower release values of 30.57 ± 1.38 mg, 29.14 ± 1.55 mg, and 27.68 ± 1.62 mg, respectively. This decline was likely due to volatilization losses of L-borneol at elevated temperatures.","Ai-Fen Solid Dispersions: Preparation, Characterization, and Enhanced Therapeutic Efficacy in a Rat Model of Oral Ulceration",.evimed-sources/PMC12844603/fulltext.md,full_text
CLM-007,3,"SJP is composed of two components; Ligusticum chuanxiong Hort. and Borneolum syntheticum","Suxiao Jiuxin Pill attenuates acute myocardial ischemia via regulation of coronary artery tone",.evimed-sources/PMC10206061/fulltext.md,full_text
CLM-008,3,"The EC 50 value for borneol-induced concentration-dependent coronary artery ring relaxation was 119.7 μmol/L, and the R max value was 83.63%","Suxiao Jiuxin Pill attenuates acute myocardial ischemia via regulation of coronary artery tone",.evimed-sources/PMC10206061/fulltext.md,full_text
CLM-009,4,"Ligusticum Chuanxiong ( Rhizoma Chuanxiong ) and Borneol ( Borneolum Syntheticum ) are the two main components of SX [ 9 ]","Protective effect of Suxiao jiuxin pill, a traditional Chinese medicine, against acute myocardial ischemia in dogs",.evimed-sources/PMC4617746/fulltext.md,full_text
CLM-010,4,"The average content of tetramethylpyrazine is 0.04084 mg/pill in SX [ 16 ]","Protective effect of Suxiao jiuxin pill, a traditional Chinese medicine, against acute myocardial ischemia in dogs",.evimed-sources/PMC4617746/fulltext.md,full_text
CLM-011,3,"SJP is composed of two components; Ligusticum chuanxiong Hort. and Borneolum syntheticum","Suxiao Jiuxin Pill attenuates acute myocardial ischemia via regulation of coronary artery tone",.evimed-sources/PMC10206061/fulltext.md,full_text
CLM-012,1,"Long-term stability data ( Figure 5 i) further demonstrated that free d-borneol was almost completely lost within 30 days under 25 °C storage conditions","Structure-Based Prediction of Molecular Interactions for Stabilizing Volatile Drugs",.evimed-sources/PMC12845388/fulltext.md,full_text
CLM-013,18,"Immediate action required: Call 999 if:…you get sudden pain or discomfort in your chest that does not go away – the pain can feel like squeezing or pressure inside your chest, burning or indigestion…You could be having a heart attack. Call 999 straight away as you need immediate treatment in hospital.","Chest pain - NHS",.evimed-sources/official-pages/f60ccb4779eccff7/page.md,official_page
