claimId,claimType,referenceNumber,evidenceType,sourceTitle,identifier,artifactPath,accessLevel,supportQuote
CLM-001,direct,3,,Chest Pain in Primary Care: A Systematic Review of Risk Stratification Tools to Rule Out Acute Coronary Syndrome,doi:10.1370/afm.3141,.evimed-sources/10.1370-afm.3141/fulltext.md,full_text,Only 1.5% to 3.6% of patients with chest pain in primary care are diagnosed … with ACS.
CLM-002,direct,4,,Chest pain in general practice: a systematic review of prediction rules,doi:10.1136/bmjopen-2018-027081,.evimed-sources/PMC6398621/fulltext.md,full_text,"In general practice, there is currently no clinical decision aid that can safely rule out ACS. … For ruling out acute coronary syndrome, none of the CDRs was sensitive enough."
CLM-003,direct,6,,Evaluating the Efficacy of the Marburg Heart Score to Triage Patients Presenting With Chest Pain in an Emergency Department,doi:10.1155/emmi/6085679,.evimed-sources/PMC12116132/fulltext.md,full_text,"Among patients who present with chest pain at the ED, ACS is responsible for an estimated 5.1% of cases in the United States and 12% in Norway … Furthermore, a European study showed that among the patients hospitalized for chest pain, only 25% have confirmed ACS"
CLM-004,direct,8,,The prevalence of non-cardiac chest pain (NCCP) using emergency department (ED) data: a Northern Ireland based study,doi:10.1186/s12913-017-2493-8,.evimed-sources/PMC5550987/fulltext.md,full_text,"assess the frequency of chest pain presentations and the subsequent non-cardiac chest pain diagnoses in an emergency department (ED) over a 3 year period … between 52 and 77% of chest pain presentations to accident and emergency departments (ED) are discharged without a clear medical diagnosis … Diagnosis of ‘anxiety’ within chest pain presentations … 1.6% … Diagnosis of ‘panic’ within chest pain presentations … 0.6% … Diagnosis ‘Chest pain of unknown cause’ within chest pain presentations … 38% … In total, 3345 (58.7%) of all the non-cardiac diagnoses (anxiety, panic and chest pain of unknown cause) followed an initial presentation with chest pain"
CLM-005,direct,7,,"Marburg Heart Score and INTERCHEST score for telephone triage of acute chest pain: a prospective, diagnostic accuracy study in out-of-hours primary care",doi:10.1136/bmjopen-2025-111113,.evimed-sources/PMC13064206/fulltext.md,full_text,"Among the 280 patients with available data on study questions and clinical outcomes, 36 (12.9%) experienced a major event within 6 weeks, including 13 (4.6%) ACS cases … Among those without a major event, musculoskeletal causes of chest pain were most common (in 39.6%)."
CLM-006,direct,5,,Ruling out coronary heart disease in primary care patients with chest pain: a clinical prediction score,doi:10.1186/1741-7015-8-9,.evimed-sources/PMC2832616/fulltext.md,full_text,"including 672 consecutive patients with chest pain, who had visited one of 59 family practitioners' offices … The diagnoses retained after 12 months of follow-up were grouped in six categories … In the remaining group of 661 patients … Eighty-five patients (12.9%) were diagnosed with CHD, including 75 cases of angina pectoris (11.1%), six cases of unstable angina (0.9%) and four cases of myocardial infarction (0.6%) … ruling out of CHD using the CHD-Score has a sensitivity of 85.6% and a specificity of 47.2%. Negative likelihood ratio was of 0.305 and negative predictive value of 94.8%."
CLM-007,direct,2,,The 2021 AHA/ACC Guideline for the Evaluation and Diagnosis of Chest Pain: An Interventionalist's Viewpoint,doi:10.1016/j.jscai.2022.100305,.evimed-sources/PMC11308083/fulltext.md,full_text,"The guideline recommends that for patients over the age of 75 … years, atypical presenting features such as a fall, syncope, or acute delirium should be considered to be possible manifestations of ACS … prompt activation of emergency medical services by the patient dialing 9-1-1 … In the emergency department, initial evaluation should focus on rapid identification of patients at highest risk of a cardiac emergency, including those with ACS, aortic dissection, and pulmonary embolism or nonvascular emergencies such as esophageal rupture or pneumothorax. The 12-lead electrocardiogram and preferred high-sensitivity troponin facilitate rapid and accurate detection of myocardial injury, thereby aiding risk assessment. Once acute chest pain is confirmed, stratification into low-, intermediate-, and high-risk categories through the routine use of structured risk assessments can help guide further diagnostic testing"
CLM-008,direct,6,,Evaluating the Efficacy of the Marburg Heart Score to Triage Patients Presenting With Chest Pain in an Emergency Department,doi:10.1155/emmi/6085679,.evimed-sources/PMC12116132/fulltext.md,full_text,"Any patient who presents with chest pain should have an electrocardiogram (ECG) performed within 10 min of their arrival in the ED, according to the 2013 French Society of Emergency Medicine and the 2020 European Society of Cardiology guidelines"
CLM-009,direct,9,,Diagnostic accuracy of single baseline measurement of Elecsys Troponin T high-sensitive assay for diagnosis of acute myocardial infarction in emergency department: systematic review and meta-analysis,doi:10.1136/bmj.h15,.evimed-sources/PMC4300724/fulltext.md,full_text,"The 99th centile of a healthy reference population recommended as a positivity threshold for the diagnosis of acute myocardial infarction is 14 ng/L … at the 14 ng/L cut-off value … summary estimates: sensitivity 89.5% (95% confidence interval 86.3% to 92.1%), specificity 77.1% (68.7% to 83.7%), positive likelihood ratio 3.9 (2.8 to 5.4), and negative likelihood ratio 0.14 (0.10 to 0.18) … results for 3 ng/L and/or 5 ng/L cut-off values at presentation … sensitivity 97.4% (94.9% to 98.7%), specificity 42.4% (31.2% to 54.5%)"
CLM-010,direct,9,,Diagnostic accuracy of single baseline measurement of Elecsys Troponin T high-sensitive assay for diagnosis of acute myocardial infarction in emergency department: systematic review and meta-analysis,doi:10.1136/bmj.h15,.evimed-sources/PMC4300724/fulltext.md,full_text,2 (95% confidence interval 2 to 3) of 21 patients with acute myocardial infarction will be missed (false negatives) if 14 ng/L is used as a cut-off value
CLM-011,direct,9,,Diagnostic accuracy of single baseline measurement of Elecsys Troponin T high-sensitive assay for diagnosis of acute myocardial infarction in emergency department: systematic review and meta-analysis,doi:10.1136/bmj.h15,.evimed-sources/PMC4300724/fulltext.md,full_text,"the triage tools used by emergency physicians—clinical symptoms, history, 12 lead electrocardiogram, and standard troponin assays—did not allow early exclusion of evolving acute myocardial infarction."
CLM-012,direct,10,,Performance of the 0-Hour/1-Hour Algorithm for Diagnosing Myocardial Infarction in Patients With Chest Pain in the Emergency Department — A Systematic Review and Meta-Analysis,doi:10.1253/circrep.CR-22-0001,.evimed-sources/PMC9168511/fulltext.md,full_text,Exclusion of myocardial infarction (MI) among patients with chest pain requires serial negative troponin tests conducted at 3- to 6-h intervals.
CLM-013,direct,10,,Performance of the 0-Hour/1-Hour Algorithm for Diagnosing Myocardial Infarction in Patients With Chest Pain in the Emergency Department — A Systematic Review and Meta-Analysis,doi:10.1253/circrep.CR-22-0001,.evimed-sources/PMC9168511/fulltext.md,full_text,"a pooled sensitivity of 99.3% (95% confidence interval [CI] 98.5–99.7%) and a pooled specificity of 90.1% (95% CI 80.7–95.2%) … assuming a prevalence of 30% (assuming a maximum number of false negatives), the false negative rate was 2 per 1,000 patients (95% CI 1–4 … pooled sensitivity and specificity of the ESC 0/1-h algorithm using hs-cTnT were 99.3% (95% CI 96.9–99.9%) and 91.7% (95% CI 83.5–96.1%)"
CLM-014,direct,6,,Evaluating the Efficacy of the Marburg Heart Score to Triage Patients Presenting With Chest Pain in an Emergency Department,doi:10.1155/emmi/6085679,.evimed-sources/PMC12116132/fulltext.md,full_text,"the negative predictive value for suspected acute coronary syndrome was 95.6% (95% CI [94.0–97.2]) and the area under the curve was 0.603 (95% CI [0.521–0.685]) … There were 28 false negatives. Of these, six patients had an ST-segment elevation myocardial infarction, 20 had a non–ST-segment elevation myocardial infarction"
CLM-015,direct,6,,Evaluating the Efficacy of the Marburg Heart Score to Triage Patients Presenting With Chest Pain in an Emergency Department,doi:10.1155/emmi/6085679,.evimed-sources/PMC12116132/fulltext.md,full_text,"the MHS should be used with caution, as a triage tool, not a diagnostic one, and always with an ECG within 10 min of admission."
CLM-016,direct,7,,"Marburg Heart Score and INTERCHEST score for telephone triage of acute chest pain: a prospective, diagnostic accuracy study in out-of-hours primary care",doi:10.1136/bmjopen-2025-111113,.evimed-sources/PMC13064206/fulltext.md,full_text,"The MHS consists of five elements: (1) female ≥65 years or male ≥55 years, (2) known CAD, cerebrovascular disease or peripheral vascular disease, (3) pain worsened by exercise, (4) pain reproducible with palpation and (5) the patient assumes a cardiac cause. … When the lower bound of the C-statistic’s 95% CI was ≤0.50 we concluded that the model was unable to discriminate for the outcome of interest … the MHS, INTERCHEST score and NTS were unable to discriminate for ACS with C-statistics of 0.62 (95% CI 0.45 to 0.79) … resulting in a sensitivity and specificity of 88.9% (95% CI 73.9% to 96.9%) and 27.9% (95% CI 22.3% to 34.0%), respectively."
CLM-017,direct,7,,"Marburg Heart Score and INTERCHEST score for telephone triage of acute chest pain: a prospective, diagnostic accuracy study in out-of-hours primary care",doi:10.1136/bmjopen-2025-111113,.evimed-sources/PMC13064206/fulltext.md,full_text,"Prior research suggests an acceptable missed diagnosis rate of ≤1% and a maximum of 25–50 unnecessary referrals per ACS case, assuming a prevalence of 5%. … These benchmarks translate into a desired NPV ≥99% and specificity ≥50%."
CLM-018,direct,4,,Chest pain in general practice: a systematic review of prediction rules,doi:10.1136/bmjopen-2018-027081,.evimed-sources/PMC6398621/fulltext.md,full_text,"consistent sensitivity (86%–91%), specificity (61%–81%) and positive (23%–35%) and negative (97%–98%) predictive values (PPV and NPV) … For intermittent chest pain, several rules exist, of which the Marburg Heart Score has been most extensively tested and appears to outperform clinical judgement alone … The Marburg Heart Score was found to outperform unaided clinical judgement. When used as a decision aid, both the sensitivity (+8.0%) and specificity were higher (+5.8%) … there are no data to support the Marburg Heart Score as an ACS rule out tool."
