kind,name,currentState,reason,operatorAction,evimedAction
installed_package,external/ai4s-skills/ai4s-agent,installed_clean_not_task_certified,"The package is installed and available to OpenCode, but no retained end-to-end task artifact currently certifies it.",None for installation; authorize a bounded model-backed acceptance task if release certification is required.,"Execute the Skill through the production OpenCode harness, retain its declared artifacts and provenance, and add result-quality checks."
installed_package,external/ai4s-skills/experiment-suite,installed_clean_not_task_certified,"The package is installed and available to OpenCode, but no retained end-to-end task artifact currently certifies it.",None for installation; authorize a bounded model-backed acceptance task if release certification is required.,"Execute the Skill through the production OpenCode harness, retain its declared artifacts and provenance, and add result-quality checks."
installed_package,external/ai4s-skills/literature-survey,installed_clean_not_task_certified,"The package is installed and available to OpenCode, but no retained end-to-end task artifact currently certifies it.",None for installation; authorize a bounded model-backed acceptance task if release certification is required.,"Execute the Skill through the production OpenCode harness, retain its declared artifacts and provenance, and add result-quality checks."
installed_package,external/ai4s-skills/paper-writer,installed_clean_not_task_certified,"The package is installed and available to OpenCode, but no retained end-to-end task artifact currently certifies it.",None for installation; authorize a bounded model-backed acceptance task if release certification is required.,"Execute the Skill through the production OpenCode harness, retain its declared artifacts and provenance, and add result-quality checks."
installed_package,external/ai4s-skills/research-explorer,installed_clean_not_task_certified,"The package is installed and available to OpenCode, but no retained end-to-end task artifact currently certifies it.",None for installation; authorize a bounded model-backed acceptance task if release certification is required.,"Execute the Skill through the production OpenCode harness, retain its declared artifacts and provenance, and add result-quality checks."
reviewed_source_skill,adaptyv,not_default,"Useful external service, but global publication would fail without an operator account, contract, or proprietary runtime.","Provide the service account, API terms/license, test tenant, and explicit request to enable this optional integration.","Re-audit the upstream package, replace secret handling with a server-managed adapter, and execute an end-to-end task."
reviewed_source_skill,autoskill,excluded,No unique safe EviMed research gap remains after the unified runtime packages; the incoming package is omitted from the action space.,No action required unless this duplicate capability has a concrete use case not covered by the mapped runtime.,Keep excluded to avoid duplicate or conflicting instructions; reopen only with a unique executable acceptance case.
reviewed_source_skill,benchling-integration,not_default,"Useful external service, but global publication would fail without an operator account, contract, or proprietary runtime.","Provide the service account, API terms/license, test tenant, and explicit request to enable this optional integration.","Re-audit the upstream package, replace secret handling with a server-managed adapter, and execute an end-to-end task."
reviewed_source_skill,clinical-decision-support,excluded,Clinical treatment or decision support is outside the current research-agent scope and is not published as an autonomous research skill.,Confirm a future scope expansion before any autonomous clinical decision-support behavior is introduced.,Keep outside the autonomous research action space; reassess only under a separate clinical safety program.
reviewed_source_skill,consciousness-council,excluded,No unique safe EviMed research gap remains after the unified runtime packages; the incoming package is omitted from the action space.,No action required unless this duplicate capability has a concrete use case not covered by the mapped runtime.,Keep excluded to avoid duplicate or conflicting instructions; reopen only with a unique executable acceptance case.
reviewed_source_skill,dhdna-profiler,excluded,No unique safe EviMed research gap remains after the unified runtime packages; the incoming package is omitted from the action space.,No action required unless this duplicate capability has a concrete use case not covered by the mapped runtime.,Keep excluded to avoid duplicate or conflicting instructions; reopen only with a unique executable acceptance case.
reviewed_source_skill,dnanexus-integration,not_default,"Useful external service, but global publication would fail without an operator account, contract, or proprietary runtime.","Provide the service account, API terms/license, test tenant, and explicit request to enable this optional integration.","Re-audit the upstream package, replace secret handling with a server-managed adapter, and execute an end-to-end task."
reviewed_source_skill,ginkgo-cloud-lab,not_default,"Useful external service, but global publication would fail without an operator account, contract, or proprietary runtime.","Provide the service account, API terms/license, test tenant, and explicit request to enable this optional integration.","Re-audit the upstream package, replace secret handling with a server-managed adapter, and execute an end-to-end task."
reviewed_source_skill,iso-13485-certification,excluded,No unique safe EviMed research gap remains after the unified runtime packages; the incoming package is omitted from the action space.,No action required unless this duplicate capability has a concrete use case not covered by the mapped runtime.,Keep excluded to avoid duplicate or conflicting instructions; reopen only with a unique executable acceptance case.
reviewed_source_skill,labarchive-integration,not_default,"Useful external service, but global publication would fail without an operator account, contract, or proprietary runtime.","Provide the service account, API terms/license, test tenant, and explicit request to enable this optional integration.","Re-audit the upstream package, replace secret handling with a server-managed adapter, and execute an end-to-end task."
reviewed_source_skill,latchbio-integration,not_default,"Useful external service, but global publication would fail without an operator account, contract, or proprietary runtime.","Provide the service account, API terms/license, test tenant, and explicit request to enable this optional integration.","Re-audit the upstream package, replace secret handling with a server-managed adapter, and execute an end-to-end task."
reviewed_source_skill,market-research-reports,excluded,No unique safe EviMed research gap remains after the unified runtime packages; the incoming package is omitted from the action space.,No action required unless this duplicate capability has a concrete use case not covered by the mapped runtime.,Keep excluded to avoid duplicate or conflicting instructions; reopen only with a unique executable acceptance case.
reviewed_source_skill,matlab,not_default,"Useful external service, but global publication would fail without an operator account, contract, or proprietary runtime.","Provide the service account, API terms/license, test tenant, and explicit request to enable this optional integration.","Re-audit the upstream package, replace secret handling with a server-managed adapter, and execute an end-to-end task."
reviewed_source_skill,omero-integration,not_default,"Useful external service, but global publication would fail without an operator account, contract, or proprietary runtime.","Provide the service account, API terms/license, test tenant, and explicit request to enable this optional integration.","Re-audit the upstream package, replace secret handling with a server-managed adapter, and execute an end-to-end task."
reviewed_source_skill,opentrons-integration,not_default,Physical laboratory actuation requires device-specific validation and is intentionally outside the default autonomous SaaS runtime.,"Provide the exact device/cluster, safety boundary, credentials, and a non-production test environment.",Build a device-specific adapter and acceptance suite; do not enable physical actuation globally.
reviewed_source_skill,pi-agent,excluded,No unique safe EviMed research gap remains after the unified runtime packages; the incoming package is omitted from the action space.,No action required unless this duplicate capability has a concrete use case not covered by the mapped runtime.,Keep excluded to avoid duplicate or conflicting instructions; reopen only with a unique executable acceptance case.
reviewed_source_skill,protocolsio-integration,not_default,"Useful external service, but global publication would fail without an operator account, contract, or proprietary runtime.","Provide the service account, API terms/license, test tenant, and explicit request to enable this optional integration.","Re-audit the upstream package, replace secret handling with a server-managed adapter, and execute an end-to-end task."
reviewed_source_skill,pylabrobot,not_default,Physical laboratory actuation requires device-specific validation and is intentionally outside the default autonomous SaaS runtime.,"Provide the exact device/cluster, safety boundary, credentials, and a non-production test environment.",Build a device-specific adapter and acceptance suite; do not enable physical actuation globally.
reviewed_source_skill,rowan,not_default,"Useful external service, but global publication would fail without an operator account, contract, or proprietary runtime.","Provide the service account, API terms/license, test tenant, and explicit request to enable this optional integration.","Re-audit the upstream package, replace secret handling with a server-managed adapter, and execute an end-to-end task."
reviewed_source_skill,tamarind,not_default,"Useful external service, but global publication would fail without an operator account, contract, or proprietary runtime.","Provide the service account, API terms/license, test tenant, and explicit request to enable this optional integration.","Re-audit the upstream package, replace secret handling with a server-managed adapter, and execute an end-to-end task."
reviewed_source_skill,treatment-plans,excluded,Clinical treatment or decision support is outside the current research-agent scope and is not published as an autonomous research skill.,Confirm a future scope expansion before any autonomous clinical decision-support behavior is introduced.,Keep outside the autonomous research action space; reassess only under a separate clinical safety program.
