claimId,referenceNumber,claim,sourceTitle,sourceUrl,artifactPath,identifier,accessLevel,supportQuote
CLM-001,1,2024年多中心随机双盲安慰剂对照试验（174例mITT、4周、每周电话随访主动询问不良事件）中，速效救心丸组与安慰剂组均无不良事件报告，故头晕、乏力等症状别发生率无法计算。,"Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study",https://europepmc.org/articles/PMC11451125,.evimed-sources/PMC11451125/fulltext.md,10.1186/s12906-024-04661-5,full_text,A total of 174 CCS participants from eight clinical study centers in China were included in the modified intention-to-treat analyses. … for a duration of 4 weeks. … Participants in this study were asked about any adverse events during the weekly telephone surveys. No participants reported experiencing adverse effects.
CLM-002,1,2024年试验中速效救心丸组SAQ-SS改善≥20分的有效率60.9%，安慰剂组39.1%，OR 2.43（95%CI 1.32 to 4.47，P=0.004）；该疗效结论不涉及头晕/乏力等不良反应的归因。,"Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study",https://europepmc.org/articles/PMC11451125,.evimed-sources/PMC11451125/fulltext.md,10.1186/s12906-024-04661-5,full_text,"Specifically, 60.9% of patients treated with SJPs achieved a 20-point or greater improvement in SAQ-SS, while only 39.1% (OR = 2.43, 95% confidence interval [CI] = 1.32 to 4.47, P = 0.004) of patients in the placebo group achieved the same level of improvement"
CLM-003,2,2018年meta分析（41项RCT、6276例）中14项研究报告不良事件，最常见为轻度头痛、头晕和面部潮红且多自行缓解；组间不良事件率差异无统计学意义（RR 1.12，95%CI 0.50 to 2.51，P=0.785），且未报告各症状的分母与频次。,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,https://europepmc.org/articles/PMC5892298,.evimed-sources/PMC5892298/fulltext.md,10.1155/2018/9745804,full_text,"Forty-one trials involving 6276 patients were included in our analysis. … The remaining 41 studies were included in our meta-analysis. … Fourteen studies reported the incidence of adverse reactions. The most common symptoms were mild headache, dizziness, and facial flushing. Most of these symptoms resolved spontaneously. There was no significant difference in the adverse reaction rates between the treatment and the control groups (RR 1.12, 95% CI 0.50 to 2.51, and P = 0.785)"
CLM-004,2,2018年meta分析的对照组由硝酸甘油、硝酸异山梨酯、复方丹参片等其他中药组成，非安慰剂；因此其组间不良事件率RR比较的是本品与阳性对照药，不能用于安慰剂归因。,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,https://europepmc.org/articles/PMC5892298,.evimed-sources/PMC5892298/fulltext.md,10.1155/2018/9745804,full_text,"The following studies were included as the control group: 2 studies involving standard treatment [ 27 , 28 ], 7 studies involving nitroglycerin (using various formulations) [ 29 – 35 ], 12 studies involving isosorbide dinitrate [ 36 – 47 ], 11 studies involving salvia tablets [ 16 , 17 , 48 – 56 ], and 9 studies involving Chinese herbal pills other than suxiao jiuxin [ 18 , 32 , 57 – 64 ]."
CLM-005,4,"24周稳定型心绞痛试验方案将""3个月内急性心肌梗死、中重度心力衰竭、未控制高血压（SBP≥180或DBP≥100 mmHg）、严重心律失常、对研究药物成分过敏""等列为排除标准，提示这些情形在研究中不被纳入常规使用。","Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial",https://europepmc.org/articles/PMC8287819,.evimed-sources/PMC8287819/fulltext.md,10.1186/s13063-021-05448-6,full_text,"Eligible participants will receive either SJP or placebo (five pills administered orally, three times daily) in addition to conventional treatment for 24 weeks. … Myocardial infarction in the past 3 months and moderate to severe heart failure, severe cardiopulmonary insufficiency; … Uncontrolled hypertension with systolic blood pressure (SBP) ≥ 180 mmHg or diastolic blood pressure (DBP) ≥ 100 mmHg, or severe arrhythmia; … Allergy to the ingredients of the study drug"
CLM-006,4,试验方案将呼吸频率、血压、心率列为安全性生命体征测量项，说明给药后血流动力学测量属于计划的但未在已发表结果中报告的指标。,"Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial",https://europepmc.org/articles/PMC8287819,.evimed-sources/PMC8287819/fulltext.md,10.1186/s13063-021-05448-6,full_text,"Safety assessment will be based on vital signs, laboratory examinations, and adverse events. Vital signs will include the respiratory rate, blood pressure, and heart rate."
CLM-007,4,"试验方案要求不良事件（尤其严重不良事件）24小时内上报研究组委员会，说明""出现反应后如何处理""在严谨研究框架中是由专业机构逐例评估的决策。","Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial",https://europepmc.org/articles/PMC8287819,.evimed-sources/PMC8287819/fulltext.md,10.1186/s13063-021-05448-6,full_text,"Adverse events, especially severe adverse events, will be reported to the research group committee within 24 h."
CLM-008,5,"《中国老年高血压管理指南（2023）》在""高血压合并冠心病""部分规定""心绞痛发作时可舌下含服硝酸甘油/速效救心丸/复方丹参滴丸""——本品仅被列为发作期含服选项之一，该条款不涉及不良反应的分层处置或再次服用。",2023 Guideline for the management of hypertension in the elderly population in China,https://doi.org/10.26599/1671-5411.2024.06.001,.evimed-sources/10.26599-1671-5411.2024.06.001/fulltext.md,10.26599/1671-5411.2024.06.001,full_text,"When angina pectoris is attacked, nitroglycerin, instant- effect Suxiao Jiuxin Pills and compound Danshen Drippi- ng Pills can be taken sublingual."
CLM-009,5,"该指南记载我国老年高血压人群中体位性低血压患病率为20.6% to 28.8%，提示""服药后头晕""可以发生在未服药状态下，构成竞争性替代解释。",2023 Guideline for the management of hypertension in the elderly population in China,https://doi.org/10.26599/1671-5411.2024.06.001,.evimed-sources/10.26599-1671-5411.2024.06.001/fulltext.md,10.26599/1671-5411.2024.06.001,full_text,The incidence of orthostatic hypotension in the elde- rly hypertensive population in China is 20.6% to 28.8%
CLM-010,1,2024年试验人群基线抗心绞痛合并用药以阿司匹林（73.6%）、他汀（71.3%）、β受体阻滞剂（54.0%）为主，提示头晕/乏力存在合并用药相关替代解释。,"Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study",https://europepmc.org/articles/PMC11451125,.evimed-sources/PMC11451125/fulltext.md,10.1186/s12906-024-04661-5,full_text,"Antianginal therapies were commonly prescribed aspirin (73.6%), statin (71.3%), and β-Blockers (54.0%)."
