id,name,domain,priority,connectionState,accessClass,connector,officialUrl,credential,license,blocker,operatorAction,evimedAction
chictr,ChiCTR,临床试验,P0/P1 EviMed,blocked_no_api,website_or_partnership,,,接口/合作确认,数据使用条款,未确认稳定、允许自动化使用的官方 API；禁止以网页抓取冒充正式接入。,"Provide an approved export, mirror, or partner endpoint if one becomes available.",Monitor the official source; do not ship brittle scraping or CAPTCHA bypasses.
eu-ctis,EU CTIS,临床试验,P0/P1 EviMed,blocked_no_api,website_or_partnership,,,无需通用 key/接口确认,EU 条款,未确认稳定、允许自动化使用的官方 API；禁止以网页抓取冒充正式接入。,"Provide an approved export, mirror, or partner endpoint if one becomes available.",Monitor the official source; do not ship brittle scraping or CAPTCHA bypasses.
who-ictrp,WHO ICTRP,临床试验,P0/P1 EviMed,blocked_no_api,website_or_partnership,,,接口/数据使用批准,WHO 条款,未确认稳定、允许自动化使用的官方 API；禁止以网页抓取冒充正式接入。,"Provide an approved export, mirror, or partner endpoint if one becomes available.",Monitor the official source; do not ship brittle scraping or CAPTCHA bypasses.
core,CORE,文献与全文,P0 文献核心,ready_credentials,credentialed_api,core,https://api.core.ac.uk/v3,CORE_API_KEY,元数据/摘要/全文版权分别核验,适配器和服务端密钥注入已实现；提供 CORE_API_KEY 并通过真实联网探针后才可转为 connected_public。,Provide CORE_API_KEY in a mode-600 server secret file; then authorize a live acceptance probe.,"Run two live production-gateway queries, retain provenance, verify result parsing, and only then promote to connected_public."
semantic-scholar,Semantic Scholar,文献与全文,P0 文献核心,ready_credentials,credentialed_api,semantic-scholar,https://api.semanticscholar.org/graph/v1,S2_API_KEY（建议）,元数据/摘要/全文版权分别核验,适配器和服务端密钥注入已实现；提供 S2_API_KEY 并通过真实联网探针后才可转为 connected_public。,Provide S2_API_KEY（建议） in a mode-600 server secret file; then authorize a live acceptance probe.,"Run two live production-gateway queries, retain provenance, verify result parsing, and only then promote to connected_public."
unpaywall,Unpaywall,文献与全文,P0 文献核心,ready_credentials,credentialed_api,unpaywall,https://api.unpaywall.org/v2,UNPAYWALL_EMAIL,元数据/摘要/全文版权分别核验,适配器和服务端 email 注入已实现；提供 UNPAYWALL_EMAIL 并通过真实联网探针后才可转为 connected_public。,Provide UNPAYWALL_EMAIL in a mode-600 server secret file; then authorize a live acceptance probe.,"Run two live production-gateway queries, retain provenance, verify result parsing, and only then promote to connected_public."
cochrane-library,Cochrane Library,系统综述与指南,P0/P1 EviMed,blocked_license,commercial,,,合同/API 权限,商业/机构订阅,需要商业合同、机构订阅或商业再分发授权。,Confirm commercial/reuse rights or supply the executed license/contract and permitted fields.,Do not ingest or redistribute until permission scope is documented; then build a least-privilege connector and acceptance fixture.
ema-epar,EMA EPAR,药品监管,P0/P1 EviMed,adapter_credentials_required,credentialed_api,,https://api.pms.ema.europa.eu/public/v1,EMA_PMS_CLIENT_ID + EMA_PMS_CLIENT_SECRET + EMA_PMS_TOKEN_URL + EMA_PMS_SCOPE,EMA PMS Public API Terms；beta 数据不可依赖于生产监管用途,EMA PMS Public API 仍为 beta，且需要 OAuth2 Client Credentials、令牌缓存和 beta 风险隔离适配器；尚未计入可查询连接器。,Register/approve the official account and provide EMA_PMS_CLIENT_ID + EMA_PMS_CLIENT_SECRET + EMA_PMS_TOKEN_URL + EMA_PMS_SCOPE after the remaining adapter is implemented.,Implement and contract-test the source-specific protocol without exposing credentials to OpenCode.
mhra,MHRA,药品监管,P0/P1 EviMed,blocked_no_api,website_or_partnership,,,接口/数据条款确认,英国政府条款,未确认稳定、允许自动化使用的官方 API；禁止以网页抓取冒充正式接入。,"Provide an approved export, mirror, or partner endpoint if one becomes available.",Monitor the official source; do not ship brittle scraping or CAPTCHA bypasses.
pmda,PMDA,药品监管,P0/P1 EviMed,blocked_no_api,website_or_partnership,,,接口/抓取条款确认,监管网站条款,未确认稳定、允许自动化使用的官方 API；禁止以网页抓取冒充正式接入。,"Provide an approved export, mirror, or partner endpoint if one becomes available.",Monitor the official source; do not ship brittle scraping or CAPTCHA bypasses.
eudravigilance,EudraVigilance,药物警戒,P0/P1 EviMed,blocked_approval,controlled,,,注册/数据权限,受限使用,需要项目审批、研究者资格或数据使用协议，不能由平台代为取得。,Confirm the intended controlled-data cohort and provide approval plus a compliant test workspace.,Do not ingest or redistribute until permission scope is documented; then build a least-privilege connector and acceptance fixture.
faers,FAERS 本地镜像,药物警戒,P0/P1 EviMed,ready_private_adapter,internal,,,数据库账号,FDA 数据条款 + 内部治理,需要部署本地数据库或旧业务服务，并配置项目级私有适配器。,"Provide the private service endpoint, authentication contract, sample response, and test tenant.",Implement the tenant-scoped private adapter and end-to-end artifact test after the endpoint contract is supplied.
umls,UMLS,医学术语,P0/P1 EviMed,ready_credentials,credentialed_api,umls,https://uts-ws.nlm.nih.gov/rest,UMLS_API_KEY,需接受 UMLS License,适配器和服务端密钥注入已实现；接受 UMLS License、提供 UMLS_API_KEY 并通过真实联网探针后才可转为 connected_public。,Provide UMLS_API_KEY in a mode-600 server secret file; then authorize a live acceptance probe.,"Run two live production-gateway queries, retain provenance, verify result parsing, and only then promote to connected_public."
source-024,维普,中文文献,P0/P1 EviMed,blocked_license,commercial,,,机构/API 合同,商业许可,需要商业合同、机构订阅或商业再分发授权。,Confirm commercial/reuse rights or supply the executed license/contract and permitted fields.,Do not ingest or redistribute until permission scope is documented; then build a least-privilege connector and acceptance fixture.
cnki,CNKI,中文文献,P0/P1 EviMed,blocked_license,commercial,,,机构/API 合同,商业许可,需要商业合同、机构订阅或商业再分发授权。,Confirm commercial/reuse rights or supply the executed license/contract and permitted fields.,Do not ingest or redistribute until permission scope is documented; then build a least-privilege connector and acceptance fixture.
drugbank,DrugBank,化学与药物,P1 医学核心/扩展,blocked_license,commercial,,https://dgidb.org/api,通常无需 key/按源条款,商业 API License；学术下载不能直接用于商业产品,需要商业合同、机构订阅或商业再分发授权。,Confirm commercial/reuse rights or supply the executed license/contract and permitted fields.,Do not ingest or redistribute until permission scope is documented; then build a least-privilege connector and acceptance fixture.
zinc-database,ZINC Database,化学与药物,P1 医学核心/扩展,blocked_no_api,website_or_partnership,,https://zinc15.docking.org,官方稳定 HTTPS 机器接口或合作确认,需按官方条款核验,官方 ZINC15 文档仍注明 HTTPS 不受支持，当前 HTTPS 机器请求重定向到验证码；不能用网页抓取冒充 SaaS 连接器。,"Provide an approved export, mirror, or partner endpoint if one becomes available.",Monitor the official source; do not ship brittle scraping or CAPTCHA bypasses.
cosmic-catalogue-of-somatic-mutations-in-cancer,COSMIC (Catalogue of Somatic Mutations in Cancer),疾病与临床,P1 医学核心/扩展,blocked_license,commercial,,https://cancer.sanger.ac.uk/cosmic/api/v1/,通常无需 key/按源条款,学术注册或商业 License；需确认再分发权限,需要商业合同、机构订阅或商业再分发授权。,Confirm commercial/reuse rights or supply the executed license/contract and permitted fields.,Do not ingest or redistribute until permission scope is documented; then build a least-privilege connector and acceptance fixture.
disgenet-gene-disease-associations,DisGeNET (Gene-Disease Associations),疾病与临床,P1 医学核心/扩展,blocked_license,commercial,,https://api.disgenet.com/doc/swagger,DISGENET_API_KEY,REST API/商业产品使用需订阅计划和用途许可,SaaS 产品接入需要 DISGENET REST API 计划、API key 与商业用途许可确认。,Confirm commercial/reuse rights or supply the executed license/contract and permitted fields.,Do not ingest or redistribute until permission scope is documented; then build a least-privilege connector and acceptance fixture.
omim-online-mendelian-inheritance-in-man,OMIM (Online Mendelian Inheritance in Man),疾病与临床,P1 医学核心/扩展,ready_credentials,credentialed_api,omim-online-mendelian-inheritance-in-man,https://api.omim.org/api,OMIM_API_KEY,需按官方条款核验,适配器和服务端密钥注入已实现；提供 OMIM_API_KEY、确认使用条款并通过真实联网探针后才可转为 connected_public。,Provide OMIM_API_KEY in a mode-600 server secret file; then authorize a live acceptance probe.,"Run two live production-gateway queries, retain provenance, verify result parsing, and only then promote to connected_public."
addgene-plasmid-repository,Addgene (Plasmid Repository),生物与组学,P1 医学核心/扩展,ready_credentials,credentialed_api,addgene-plasmid-repository,https://api.developers.addgene.org,ADDGENE_API_KEY（Token，需 catalog:retrieve scope）,需按官方条款核验,适配器和服务端 Token 注入已实现；提供 catalog:retrieve scope 的 ADDGENE_API_KEY 并通过真实联网探针后才可转为 connected_public。,Provide ADDGENE_API_KEY（Token，需 catalog:retrieve scope） in a mode-600 server secret file; then authorize a live acceptance probe.,"Run two live production-gateway queries, retain provenance, verify result parsing, and only then promote to connected_public."
biogrid,BioGRID,生物与组学,P1 医学核心/扩展,ready_credentials,credentialed_api,biogrid,https://webservice.thebiogrid.org/interactions,BIOGRID_API_KEY,BioGRID 数据许可；REST access key 免费申请,适配器和服务端 accesskey 注入已实现；提供免费的 32 字符 BIOGRID_API_KEY 并通过真实联网探针后才可转为 connected_public。,Provide BIOGRID_API_KEY in a mode-600 server secret file; then authorize a live acceptance probe.,"Run two live production-gateway queries, retain provenance, verify result parsing, and only then promote to connected_public."
brenda-enzyme-database-soap-api,BRENDA Enzyme Database (SOAP API),生物与组学,P1 医学核心/扩展,adapter_credentials_required,credentialed_api,,https://www.brenda-enzymes.org/soap/brenda_zeep.wsdl,BRENDA_EMAIL + BRENDA_PASSWORD_HASH,需注册；SOAP/API 条件需单独核验,官方 WSDL 可达，但仍需实现受限 SOAP operation、服务端邮箱/密码哈希注入与响应解析；尚未计入可查询连接器。,Register/approve the official account and provide BRENDA_EMAIL + BRENDA_PASSWORD_HASH after the remaining adapter is implemented.,Implement and contract-test the source-specific protocol without exposing credentials to OpenCode.
kegg,KEGG,生物与组学,P1 医学核心/扩展,blocked_license,commercial,,https://rest.kegg.jp,通常无需 key/按源条款,学术使用可开放；商业产品需要许可,需要商业合同、机构订阅或商业再分发授权。,Confirm commercial/reuse rights or supply the executed license/contract and permitted fields.,Do not ingest or redistribute until permission scope is documented; then build a least-privilege connector and acceptance fixture.
lincs-l1000-clue-io,LINCS L1000 (Clue.io),生物与组学,P1 医学核心/扩展,blocked_no_api,retired_service,,https://api.clue.io/api,无；clue.io 已于 2026-01-31 退役,需按官方条款核验,clue.io 及其工具已退役；公开 LINCS L1000 数据应通过已接入的 NCBI GEO（GSE92742/GSE70138）检索，不再建设失效 API。,"Provide an approved export, mirror, or partner endpoint if one becomes available.",Monitor the official source; do not ship brittle scraping or CAPTCHA bypasses.
trip-database,TRIP Database,临床证据与指南,P2 扩展,blocked_license,commercial,,,API/订阅确认,商业条款,需要商业合同、机构订阅或商业再分发授权。,Confirm commercial/reuse rights or supply the executed license/contract and permitted fields.,Do not ingest or redistribute until permission scope is documented; then build a least-privilege connector and acceptance fixture.
opengwas-ieu-gwas,OpenGWAS / IEU GWAS,孟德尔随机化,P2 扩展,ready_credentials,credentialed_api,opengwas-ieu-gwas,https://api.opengwas.io/api/,OPENGWAS_JWT,账号/服务条款,适配器和服务端 JWT 注入已实现；提供 OPENGWAS_JWT、保留 OpenGWAS attribution 并通过真实联网探针后才可转为 connected_public。,Provide OPENGWAS_JWT in a mode-600 server secret file; then authorize a live acceptance probe.,"Run two live production-gateway queries, retain provenance, verify result parsing, and only then promote to connected_public."
evimed,EviMed 内部证据库,内部数据,P2 扩展,ready_private_adapter,internal,,,EVIMED_API_KEY/内部 URL,内部治理,需要部署本地数据库或旧业务服务，并配置项目级私有适配器。,"Provide the private service endpoint, authentication contract, sample response, and test tenant.",Implement the tenant-scoped private adapter and end-to-end artifact test after the endpoint contract is supplied.
all-of-us-researcher-workbench,All of Us Researcher Workbench,受控人群数据,P2 扩展,blocked_approval,controlled,,,研究者审批,DUA,需要项目审批、研究者资格或数据使用协议，不能由平台代为取得。,Confirm the intended controlled-data cohort and provide approval plus a compliant test workspace.,Do not ingest or redistribute until permission scope is documented; then build a least-privilege connector and acceptance fixture.
dbgap,dbGaP,受控人群数据,P2 扩展,blocked_approval,controlled,,,项目审批,DUA,需要项目审批、研究者资格或数据使用协议，不能由平台代为取得。,Confirm the intended controlled-data cohort and provide approval plus a compliant test workspace.,Do not ingest or redistribute until permission scope is documented; then build a least-privilege connector and acceptance fixture.
european-genome-phenome-archive,European Genome-phenome Archive,受控人群数据,P2 扩展,blocked_approval,controlled,,,项目审批,DUA,需要项目审批、研究者资格或数据使用协议，不能由平台代为取得。,Confirm the intended controlled-data cohort and provide approval plus a compliant test workspace.,Do not ingest or redistribute until permission scope is documented; then build a least-privilege connector and acceptance fixture.
uk-biobank,UK Biobank,受控人群数据,P2 扩展,blocked_license,commercial,,,项目审批/费用,DUA,需要商业合同、机构订阅或商业再分发授权。,Confirm commercial/reuse rights or supply the executed license/contract and permitted fields.,Do not ingest or redistribute until permission scope is documented; then build a least-privilege connector and acceptance fixture.
msigdb,MSigDB,通路与基因集,P2 扩展,blocked_license,licensed_dataset,,https://www.gsea-msigdb.org/gsea/msigdb/,注册/License,用途与再分发限制,需要完成注册并确认 SaaS 使用及再分发许可；现有 pathway-enrichment Skill 可消费用户合法提供的基因集文件。,Confirm commercial/reuse rights or supply the executed license/contract and permitted fields.,Do not ingest or redistribute until permission scope is documented; then build a least-privilege connector and acceptance fixture.
