claimId,referenceNumber,sourceTitle,sourceUrl,artifactPath,identifier,accessLevel,supportQuote,applicability,uncertainty
CLM-001,1,"Diagnostic accuracy of nitroglycerine as a 'test of treatment' for cardiac chest pain: a systematic review.",https://pubmed.ncbi.nlm.nih.gov/21511974/,,PMID:21511974,abstract,"The combined sensitivity was 0.52 (95% CI 0.48 to 0.56) and combined specificity was 0.49 (95% CI 0.46 to 0.52). The diagnostic OR from the combined studies was 1.2 (95% CI 0.97 to 1.5), which is not significantly different from 1.",direct,"系统评价纳入5项研究，全文未能通过开放获取通道审读。但汇总效应稳健且与其他独立研究结论一致。"
CLM-002,2,"Changes in the numeric descriptive scale for pain after sublingual nitroglycerin do not predict cardiac etiology of chest pain.",https://pubmed.ncbi.nlm.nih.gov/15940087/,,PMID:15940087,abstract,"There was no significant difference in any subgroup of numeric descriptive scale response to sublingual nitroglycerin administration in patients with and without a diagnosis of cardiac chest pain.",direct,便利样本可能存在选择偏倚。全文未能通过开放获取通道审读。
CLM-003,6,"Geographical distribution of ALDH2 rs671 polymorphism in Chinese angina pectoris patients.",https://europepmc.org/articles/PMC12447523,.evimed-sources/PMC12447523/fulltext.md,PMCID:PMC12447523,full_text,"In northern China (Luoyang), the G and A allele frequencies were 85.25% and 14.75%... eastern China (Jiaxing)... 77.99% and 22.01%... southern China (Guilin)... 78.09% and 21.91%.",direct,限于三家医院1084例患者
CLM-004,5,"Differential effects of organic nitrates on arterial diameter among healthy Japanese participants with different mitochondrial aldehyde dehydrogenase 2 genotypes: randomised crossover trial.",https://europepmc.org/articles/PMC3191425,.evimed-sources/PMC3191425/fulltext.md,PMCID:PMC3191425,full_text,"GTN Tmax was significantly longer in the *2/*2 genotype group than in the *1/*1 group (crude data p=0.0190)... GTN T0.9 was significantly longer in participants with *2/*2 and *1/*2 genotypes than those with *1/*1.",indirect,在健康日本志愿者中进行而非心绞痛患者
CLM-005,10,"Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates.",https://europepmc.org/articles/PMC11451125,.evimed-sources/PMC11451125/fulltext.md,PMCID:PMC11451125,full_text,"60.9% of patients treated with SJPs achieved a 20-point or greater improvement in SAQ-SS while only 39.1% (OR = 2.43 95% CI = 1.32 to 4.47 P = 0.004) of patients in the placebo group achieved the same level.",indirect,该RCT为已确诊CCS患者持续治疗而非院外单次含服
CLM-006,7,"Chinese herbal medicine suxiao jiuxin wan for angina pectoris.",https://pubmed.ncbi.nlm.nih.gov/18254051/,,PMID:18254051,abstract,"Suxiao jiuxin wan appears to be effective in the treatment of angina pectoris and no serious side effects were identified. However the evidence remains weak due to poor methodological quality of including studies.",indirect,纳入试验方法学质量差且检索截止于2005年
CLM-007,7,"Chinese herbal medicine suxiao jiuxin wan for angina pectoris. (synthesized from 4 sources)",https://pubmed.ncbi.nlm.nih.gov/18254051/,,PMID:18254051,abstract,"Randomised controlled trials of suxiao jiuxin wan compared to standard treatment in people with angina. Studies with a treatment duration > 4 weeks were included.",direct,所有检索到的速效救心丸RCT均为已确诊患者的辅助持续治疗无院外单次含服用于未确诊急性胸痛的证据
CLM-008,4,"Mitochondrial aldehyde dehydrogenase-2 (ALDH2) Glu504Lys polymorphism contributes to the variation in efficacy of sublingual nitroglycerin.",https://pubmed.ncbi.nlm.nih.gov/16440063/,,PMID:16440063,abstract,"we recommend that this genetic factor be considered when administering nitroglycerin to patients especially Asians 30-50% of whom possess the inactive ALDH2*2 mutant allele.",direct,全文未能通过开放获取通道审读
CLM-009,5,"Differential effects of organic nitrates on arterial diameter among healthy Japanese participants with different mitochondrial aldehyde dehydrogenase 2 genotypes.",https://europepmc.org/articles/PMC3191425,.evimed-sources/PMC3191425/fulltext.md,PMCID:PMC3191425,full_text,"the time-course of ISDN-induced vasodilation did not differ among genotypes... ISDN may be a better choice for *2/*2 patients because it dilated the artery as fast as GTN.",indirect,在健康志愿者中进行且建议来自讨论部分非监管批准适应症
CLM-010,12,急性胸痛急诊诊疗专家共识,https://www.evimed.com/api-evimed/medicine-api/ai-api/review/api/guide,,EVIMED-GUIDE:急性胸痛急诊诊疗专家共识-2019,structured_record,"早期诊断，危险分层，正确分流，科学救治...战线前移...整合区域救治网络。",direct,为结构化指南记录具体推荐级别未能独立验证
