claimId,referenceNumber,supportQuote,sourceUrl,accessLevel
CLM-001,16,"Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial",https://europepmc.org/articles/PMC8287819,full_text
CLM-002,16,"Suxiao Jiuxin Pill (SJP, produced by Tianjin Zhongxin Pharmaceutical Group Co, Ltd.) is a patented drug made of active ingredients from Chuanxiong and Borneol, and it has the effect of regulating Qi and promoting blood circulation. SJP can increase coronary blood flow, improve myocardial cell hypoxia, and relieve angina pectoris similar to nitroglycerin",https://europepmc.org/articles/PMC8287819,full_text
CLM-003,16,"SJP is composed of tetramethylpyrazine and borneol approval number Z12020025 of the China State Food and Drug Administration [SFDA]). The SJP and placebo pills are provided by Tianjin Zhongxin Pharmaceutical Group Co., Ltd. (Tianjin, China). The placebo pills are similar to the SJP, with a comparable appearance. Each pill weighs 40 mg.",https://europepmc.org/articles/PMC8287819,full_text
CLM-025,6,"including adenosine receptor antagonism, phosphodiesterase inhibition, calcium mobilization, and catecholamine release … After acute ingestion, caffeine has an average half-life of 2.5–5 h … most observational data regarding peripheral blood pressure seldom supports a long-term influence of coffee on rising blood pressure",https://europepmc.org/articles/PMC11648991,full_text
CLM-004,2,"healthy subjects who did not consume coffee for 3 weeks were given 250 mg of caffeine (which corresponds to 3 cups of coffee) whereby a significant increase in the concentration of norepinephrine and adrenaline by 75% and 207%, respectively, was demonstrated",https://europepmc.org/articles/PMC10508080,full_text
CLM-005,2,"The study covered 386,258 subjects, who were followed on average for 4.5 years. Habitual coffee consumption was found to be associated with a significant, but small, reduction in the risk of incident arrhythmia (hazard ratio [HR] = 0.97; 95% confidence interval [CI]: 0.96–0.98, p < 0.001)",https://europepmc.org/articles/PMC10508080,full_text
CLM-006,2,"Another randomized study, Coffee And Real-time Atrial And Ventricular Ectopy (CRAVE) involving 100 healthy subjects followed for 13.3 days, assessed the effect of coffee consumption on the risk of real-time arrhythmias … Consumption of > 1 cup of coffee/day had no effect on the risk of premature atrial contractions (relative risk [RR] = 0.81; 95% CI: 0.51–1.29), supraventricular tachycardia (RR = 0.83; 95% CI: 0.63–1.10) and ventricular tachycardia. However, consumption of > 1 cup of coffee/day increased the risk of premature ventricular contractions (RR = 2.20; 95% CI: 1.24–3.92), especially in intermediate and fast caffeine metabolizers",https://europepmc.org/articles/PMC10508080,full_text
CLM-007,2,"In a meta-analysis of 12 clinical trials, no effect of coffee consumption on the risk of new-onset AF was found",https://europepmc.org/articles/PMC10508080,full_text
CLM-008,2,only consumption of > 10 cups of coffee/day was associated with a significant increase in the risk of sudden cardiac death … a meta-analysis of 7 studies by Zuchinali et al. … did not show that coffee consumption influenced of rate of ventricular premature beats,https://europepmc.org/articles/PMC10508080,full_text
CLM-009,3,"According to the guidelines of the American Heart Association on the management of patients with arrhythmia, they are always advised to avoid caffeine consumption. … Nonetheless, the currently available data do not provide strong evidence for the association between caffeine and PAC or PVC in the general population. Most studies examining the impact of caffeine consumption on arrhythmogenesis had reported negative results.",https://europepmc.org/articles/PMC11239532,full_text
CLM-010,3,"In the United States, 85% of the population consumes at least one caffeinated beverage daily. The average daily caffeine intake for all ages is 165 mg. … The 90th percentile intake is 380 mg/day. … The recommended daily caffeine limit for adults (aged 18 and older) is approximately 400 mg",https://europepmc.org/articles/PMC11239532,full_text
CLM-011,7,"Serious toxicities such as seizure and cardiac arrhythmias, seen with caffeine plasma concentrations of 15 mg/L or higher … Caffeine concentrations of 80–100 mg/L are considered lethal. … A total of 92 cases have been identified. These events happened more frequently in infants, psychiatric patients, and athletes. … The direct cause of death is often described as ventricular fibrillation. … life-threatening caffeine overdoses entail the ingestion of caffeine-containing medications, rather than caffeinated foods or beverages",https://europepmc.org/articles/PMC5986491,full_text
