claimId,referenceNumber,supportQuote
CLM-001,4,"Forty-one trials involving 6276 patients were included in our analysis."
CLM-002,4,"Pooled analysis indicated significant benefits of suxiao jiuxin pill on ECG outcomes (RR 1.32; 95% CI 1.26 to 1.38, P < 0.001)."
CLM-003,4,"Significant lower total cholesterol levels were reported in the suxiao jiuxin pill group compared with the control group (WMD −0.62 mmol/L, 95% CI −1.06 to –0.18 mmol/L, and P = 0.005)."
CLM-004,4,"The most common symptoms were mild headache, dizziness, and facial flushing. Most of these symptoms resolved spontaneously."
CLM-005,4,"There was no significant difference in the adverse reaction rates between the treatment and the control groups (RR 1.12, 95% CI 0.50 to 2.51, and P = 0.785)"
CLM-006,4,"The majority of the included studies received low Jadad scores due to the lack of a double-blind design"
CLM-007,4,"In this study, we did not analyze cardiovascular death or drug-related complications."
CLM-008,3,"The trial will enroll 324 participants with chronic stable angina (Qi Stagnation and Blood Stasis syndrome)."
CLM-009,3,"Eligible participants will receive either SJP or placebo (five pills administered orally, three times daily) in addition to conventional treatment for 24 weeks."
CLM-010,3,"The primary outcomes are the symptom improvement rate of angina from baseline to 4 weeks after inclusion and major adverse cardiovascular events (MACE)."
CLM-011,3,"The secondary outcomes are angina classification (CCS), improvement of traditional Chinese medicine (TCM) syndromes, Seattle Angina Scale score, the dosage of emergency drugs and the stopping rate, and electrocardiogram (EKG) efficacy."
CLM-012,3,"This is a prospective, randomized, double-blind, placebo-controlled, and multicenter trial."
CLM-013,3,"Laboratory measurements will include a routine blood and urine test, hepatorenal assessment, and electrocardiogram"
CLM-014,4,"Recent evidence has suggested that L. chuanxiong may exert antiplatelet effects by inhibiting the vWF-mediated process of platelet thrombus formation."
