claimId,referenceNumber,supportQuote,sourceTitle,artifactPath,accessLevel
CLM-001,1,Most chest pain is not a sign of anything serious but get medical advice just in case. Get immediate medical help if you think you're having a heart attack.,Chest pain - NHS,.evimed-sources/official-pages/e6143b76645a9461/page.md,official_page
CLM-002,1,"you get sudden pain or discomfort in your chest that does not go away – the pain can feel like squeezing or pressure inside your chest, burning or indigestion … You could be having a heart attack. Call 999 straight away as you need immediate treatment in hospital.",Chest pain - NHS,.evimed-sources/official-pages/e6143b76645a9461/page.md,official_page
CLM-003,1,angina or a heart attack – which have similar symptoms but a heart attack is life-threatening,Chest pain - NHS,.evimed-sources/official-pages/e6143b76645a9461/page.md,official_page
CLM-004,1,"you may be at risk of coronary heart disease if you: … smoke … are living with obesity … have high blood pressure , diabetes or high cholesterol … have a history of heart attacks or angina in family members under 60 years old",Chest pain - NHS,.evimed-sources/official-pages/e6143b76645a9461/page.md,official_page
CLM-005,10,Forty-one trials involving 6276 patients were included in our analysis.,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,.evimed-sources/PMC5892298/fulltext.md,full_text
CLM-006,10,"Pooled analysis indicated significant benefits of suxiao jiuxin pill on ECG outcomes (RR 1.32; 95% CI 1.26 to 1.38, P < 0.001). However, there was significant heterogeneity between studies with respect to ECG results ( I 2 = 62.3%).",Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,.evimed-sources/PMC5892298/fulltext.md,full_text
CLM-007,10,"suxiao jiuxin pill improved ECG results more than salvia tablets (RR 1.54; 95% CI 1.41 to 1.67, P < 0.001), isosorbide dinitrate (RR 1.14; 95% CI 1.05 to 1.22, P = 0.001), nitroglycerin (RR 1.35, 95% CI 1.16 to 1.56, P < 0.001)",Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,.evimed-sources/PMC5892298/fulltext.md,full_text
CLM-008,10,The majority of the included studies received low Jadad scores due to the lack of a double-blind design ( Table 2 ).,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,.evimed-sources/PMC5892298/fulltext.md,full_text
CLM-009,10,"All of the included studies were conducted in China. … The primary outcome of the selected studies was the improvement in ECG results, including resting ECG returning to normal or negative submaximal exercise test.",Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,.evimed-sources/PMC5892298/fulltext.md,full_text
CLM-010,10,"The most common symptoms were mild headache, dizziness, and facial flushing. Most of these symptoms resolved spontaneously. … There was no significant difference in the adverse reaction rates between the treatment and the control groups (RR 1.12, 95% CI 0.50 to 2.51, and P = 0.785)",Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,.evimed-sources/PMC5892298/fulltext.md,full_text
CLM-011,10,The main components of suxiao jiuxin pills are borneol and Ligusticum chuanxiong Hort,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,.evimed-sources/PMC5892298/fulltext.md,full_text
CLM-012,3,The use of a single abnormal finding on electrocardiography (ECG) is not recommended for stratifying the risk of cardiovascular (CV) events in low-risk general populations because of its low discriminative power.,Electrocardiography score based on the Minnesota code classification system predicts cardiovascular mortality in an asymptomatic low-risk population,.evimed-sources/PMC10836241/fulltext.md,full_text
CLM-013,3,clinical practice guidelines do not recommend using resting ECG in CV risk stratification in general populations because no randomized controlled trials (RCTs) have investigated the benefits of resting ECG for health screening,Electrocardiography score based on the Minnesota code classification system predicts cardiovascular mortality in an asymptomatic low-risk population,.evimed-sources/PMC10836241/fulltext.md,full_text
CLM-014,3,"8419 participants who had no prior CV diseases or angina-related symptoms and had available baseline ECG and 10-year ASCVD risk were observed for a median of 17.4 years … The mean age was 52.1 ± 8.9 years, and 4278 participants (50.8%) were males. CV death occurred in 192 participants (2.3%).",Electrocardiography score based on the Minnesota code classification system predicts cardiovascular mortality in an asymptomatic low-risk population,.evimed-sources/PMC10836241/fulltext.md,full_text
CLM-015,3,"major and minor ST-T wave abnormalities, atrial fibrillation (AF), Q waves in the anterior leads, the lack of Q waves in the posterior leads, high amplitudes of the left and right precordial leads, left axis deviation and sinus tachycardia were associated with higher risks of CV deaths.",Electrocardiography score based on the Minnesota code classification system predicts cardiovascular mortality in an asymptomatic low-risk population,.evimed-sources/PMC10836241/fulltext.md,full_text
CLM-016,2,RSA refers to heart rate variability (HRV) that is closely coupled to inspiratory and expiratory phases of the respiratory cycle and reflects cardiac vagal effects on the sinoatrial node.,Maturation of the Cardiac Autonomic Nervous System Activity in Children and Adolescents,.evimed-sources/PMC7955328/fulltext.md,full_text
CLM-017,2,simultaneously comparing cardiac sympathetic and parasympathetic activity in 4820 healthy subjects from childhood to late adolescence,Maturation of the Cardiac Autonomic Nervous System Activity in Children and Adolescents,.evimed-sources/PMC7955328/fulltext.md,full_text
CLM-018,2,"a cubic trend, with an exponential increase from infancy, a plateau phase during middle childhood, followed by a decrease to adolescence",Maturation of the Cardiac Autonomic Nervous System Activity in Children and Adolescents,.evimed-sources/PMC7955328/fulltext.md,full_text
CLM-019,10,"Our search terms included “coronary heart disease,” “suxiao jiuxin pill,” and “coronary artery disease.”",Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,.evimed-sources/PMC5892298/fulltext.md,full_text
