claimId,referenceNumber,supportQuote,sourceTitle,identifier,accessLevel
CLM-001,1,"the recommended doses of NTG include sublingual or spray (0.3 to 0.6 mg) every 5 minutes up to a maximum of 3 doses.","Nitroglycerin Use in the Emergency Department: Current Perspectives",PMC9278720,full_text
CLM-002,1,"Although recent chest pain guidelines suggest that the relief of chest pain by NTG should not be used as a diagnostic factor (as other etiologies of chest pain such as esophageal spasm may be relieved by NTG)","Nitroglycerin Use in the Emergency Department: Current Perspectives",PMC9278720,full_text
CLM-003,1,"the 2020 European Society of Cardiology recommends (Class I, Level C) the use of sublingual or IV nitrates in patients with ongoing ischemic symptoms and IV nitrates in patients with uncontrolled hypertension or signs of heart failure.","Nitroglycerin Use in the Emergency Department: Current Perspectives",PMC9278720,full_text
CLM-004,2,"The diagnostic sensitivity of nitroglycerin to determine cardiac chest pain was 72% (64%–80%), and the specificity was 37% (34%–41%). The positive likelihood ratio for having coronary artery disease if nitroglycerin relieved chest pain was 1.1 (0.96–1.34).","Chest pain in emergency department patients: if the pain is relieved by nitroglycerin, is it more likely to be cardiac chest pain?",10.1017/s1481803500013671,full_text
CLM-005,2,"Relief of chest pain with nitroglycerin is not a reliable diagnostic test and does not distinguish between cardiac and non-cardiac chest pain.","Chest pain in emergency department patients: if the pain is relieved by nitroglycerin, is it more likely to be cardiac chest pain?",10.1017/s1481803500013671,full_text
CLM-006,2,"The standard protocol for patients who present to this institution who have suspected cardiac-related chest pain is to administer 1 dose of 400 mcg NTG every 5 minutes, up to 3 doses or until the pain has resolved.","Chest pain in emergency department patients: if the pain is relieved by nitroglycerin, is it more likely to be cardiac chest pain?",10.1017/s1481803500013671,full_text
CLM-007,2,"One hundred and seventy-seven of 270 patients showed a positive response to NTG (66%), and 93/270 (34%) showed a negative response (Fig. 1). … Of those patients who experienced relief with NTG, 60/177 (34%) had defined cardiac chest pain and 117/177 (66%) had non-cardiac chest pain. For those who had no relief with NTG, 23/93 (25%) were found to have cardiac chest pain and 70/93 (75%) were found to have non-cardiac chest pain.","Chest pain in emergency department patients: if the pain is relieved by nitroglycerin, is it more likely to be cardiac chest pain?",10.1017/s1481803500013671,full_text
CLM-008,2,"There were 35 AMIs, based on troponin levels in the study population. Of those diagnosed with AMI, 20 experienced relief with NTG and 15 did not obtain relief.","Chest pain in emergency department patients: if the pain is relieved by nitroglycerin, is it more likely to be cardiac chest pain?",10.1017/s1481803500013671,full_text
CLM-009,3,"Forty-one trials involving 6276 patients were included in our analysis. Administration of suxiao jiuxin pill significantly improved electrocardiogram (ECG) results when compared with other therapies (RR 1.32, 95% CI 1.26 to 1.38, and P < 0.001).","Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials",PMC5892298,full_text
CLM-010,3,"nitroglycerin (RR 1.35, 95% CI 1.16 to 1.56, and P < 0.001)","Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials",PMC5892298,full_text
CLM-011,4,"A total of 7312 patients with STEMI were included. Prehospital delay was defined as time from symptom onset to hospital arrival >120 min, first ECG delay as time from arrival to first ECG >10 min, thrombolytic therapy delay as time from first ECG to thrombolytic therapy >10 min and in-hospital delay as time from arrival to thrombolytic therapy >30 min. … The rates of prehospital delay, first ECG delay, thrombolytic therapy delay and in-hospital delay were 67.1%, 31.4%, 85.8% and 67.8%, respectively.","Prehospital and in-hospital delays to care and associated factors in patients with STEMI: an observational study in 101 non-PCI hospitals in China",PMC6858215,full_text
CLM-012,4,"prehospital delay and first ECG delay separately linked to 32% and 28% reductions of receiving thrombolytic therapy among our patients","Prehospital and in-hospital delays to care and associated factors in patients with STEMI: an observational study in 101 non-PCI hospitals in China",PMC6858215,full_text
CLM-013,5,"Observational studies have reported that each 30‐min delay in reperfusion is associated with an increase in relative mortality risk, underscoring the time‐sensitive nature of STEMI care","Pre‐Hospital Delay in STEMI: A Narrative Review of Symptom Onset–to–First Medical Contact Across High‐Income and Low‐ and Middle‐Income Countries",PMC13239337,full_text
CLM-014,5,"Thrombolytic therapy is most effective when administered within the first hour after symptom onset (“the golden hour”), although clinical benefit may extend for several hours after symptom onset. … Across multiple observational studies and registry reports, median symptom onset–to–first medical contact intervals in high-income countries are typically 60–120 min, supported by organized STEMI networks and higher EMS utilization, although inequities persist among vulnerable population. In several LMIC settings, symptom onset–to–FMC delays frequently exceed 300 min and may extend beyond 480 min","Pre‐Hospital Delay in STEMI: A Narrative Review of Symptom Onset–to–First Medical Contact Across High‐Income and Low‐ and Middle‐Income Countries",PMC13239337,full_text
CLM-015,7,"Timely reperfusion limits the extent of myocardial infarction and reduces mortality by minimising total ischaemic time","National Heart Foundation of Australia and Cardiac Society of Australia and New Zealand: Australian Clinical Guideline for Diagnosing and Managing Acute Coronary Syndromes 2025",PMC12907536,full_text
CLM-016,7,"For people with STEMI/ACOMI presenting to primary PCI‐capable centres, first medical contact to wire crossing time should not exceed 60 min. … For people presenting to non‐PCI‐capable centres, first medical contact to wire crossing time should not exceed 90 min","National Heart Foundation of Australia and Cardiac Society of Australia and New Zealand: Australian Clinical Guideline for Diagnosing and Managing Acute Coronary Syndromes 2025",PMC12907536,full_text
CLM-017,8,"A cada 30 minutos de atraso nas estratégias de reperfusão, há um aumento de 7,5% na mortalidade desses pacientes.","Diretriz Brasileira de Atendimento à Dor Torácica na Unidade de Emergência – 2025",PMC12981354,full_text
CLM-018,8,"O aforisma de que \"tempo é músculo\" persiste atual dentro do tratamento do IAM.","Diretriz Brasileira de Atendimento à Dor Torácica na Unidade de Emergência – 2025",PMC12981354,full_text
CLM-019,6,"In eastern China (Jiaxing), the G and A allele frequencies were 77.99% and 22.01%, respectively, with the wild-type GG genotype occurring in 59.66% of cases, the heterozygous GA genotype in 36.65%, and the homozygous AA genotype in 3.69%. In northern China (Luoyang), the G and A allele frequencies were 85.25% and 14.75%, respectively, with GG, GA, and AA genotype frequencies of 72.47%, 25.56%, and 1.97%. In southern China (Guilin), the G and A allele frequencies were 78.09% and 21.91%, respectively, with corresponding GG, GA, and AA genotype frequencies of 60.75%, 34.68%, and 4.57%","Geographical distribution of ALDH2 rs671 polymorphism in Chinese angina pectoris patients",PMC12447523,full_text
CLM-020,6,"Heterozygous individuals retain only about 10% of the enzyme activity compared to wild-type individuals, while homozygous mutants completely lack enzymatic activity","Geographical distribution of ALDH2 rs671 polymorphism in Chinese angina pectoris patients",PMC12447523,full_text
CLM-021,6,"individuals carrying the mutant ALDH2*2 allele exhibited approximately 40% less vasodilatory response to nitroglycerin compared to wild-type controls","Geographical distribution of ALDH2 rs671 polymorphism in Chinese angina pectoris patients",PMC12447523,full_text
