claimId,claim,referenceNumber,sourceTitle,identifier,accessLevel,artifactPath,supportQuote,applicability,uncertainty
CLM-001,单导联智能手表心电算法自动判读检出房颤的合并敏感性为 86%（95% CI 80%–91%）、特异性为 94%（95% CI 89%–97%），合并阳性预测值 93%、阴性预测值 86%，结论对年轻无症状个体的一般化不确定。,7,Accuracy and interpretability of smartwatch electrocardiogram for early detection of atrial fibrillation: A systematic review and meta-analysis,PMC12096014,full_text,.evimed-sources/PMC12096014/fulltext.md,"…screening and selection process identified 18 studies that met the criteria for inclusion in the qualitative and quantitative synthesis… the sensitivity of algorithmic smartwatch ECG reading is 86% (95% CI: 80%–91%). For specificity, the value reaches 94% (95% CI: 89%–97%)… The NPV (Negative Predictive Value) and PPV (Positive Predictive Value) for the collective estimates of algorithmic smartwatch ECG reading were 86% (95% CI: 83%–89%) and 93% (95% CI: 90%–96%), respectively… the generalizability of these findings to young, asymptomatic individuals remains uncertain.",适用于使用消费级心电/PPG 设备的成人；验证人群以门诊/住院为主，外推到一般人群需谨慎,无
CLM-002,经训练医疗人员人工判读后，单导联智能手表心电检出的敏感性升至 96%（95% CI 94%–97%）、特异性为 95%（95% CI 92%–96%）。,7,Accuracy and interpretability of smartwatch electrocardiogram for early detection of atrial fibrillation: A systematic review and meta-analysis,PMC12096014,full_text,.evimed-sources/PMC12096014/fulltext.md,"In the manual reading, it was found that the sensitivity of the combined estimate was 96% (95% CI: 94%–97%)… For the specificity of the manual ECG reading, the value reached 95% (95% CI: 92%–96%).",适用于使用消费级心电/PPG 设备的成人；验证人群以门诊/住院为主，外推到一般人群需谨慎,无
CLM-003,智能手表单导联心电算法无法给出确定性分类的比例为 15%（95% CI 11%–20%）；按品牌亚组分析中，Apple Watch 的不确定率为 20%（95% CI 15%–25%）；研究间异质性高（敏感性合并 I² 达 93.29%）。,7,Accuracy and interpretability of smartwatch electrocardiogram for early detection of atrial fibrillation: A systematic review and meta-analysis,PMC12096014,full_text,.evimed-sources/PMC12096014/fulltext.md,"Based on the heterogeneity analysis, the I 2 values for the sensitivity and specificity estimates were 93.29% and 95.78%, respectively… The percentage of inconclusive results from the algorithmic detection of AFib using the smartwatch ECG was found to be 15% (95% CI: 11%–20%)… When subgroup analysis was performed based on the brand of smartwatch, the rate of inconclusive results was found to be 20% (95% CI: 15%–25%), 16% (95% CI: 11%–22%), and 14% (95% CI: 9%–20%) for Apple Watch, Withings Scanwatch, and others (Samsung Galaxy Watch, Amazfit, KardiaBand, and Fitbit Sense), respectively",适用于使用消费级心电/PPG 设备的成人；验证人群以门诊/住院为主，外推到一般人群需谨慎,无
CLM-004,"以 12 导联心电为参照的合并分析（15 项研究、12,802 名受试者）显示：PPG 智能手表检出房颤的合并敏感性为 97.4%（95% CI 96.5–98.3）、特异性为 96.6%（95% CI 94.9–98.3），单导联心电胸贴的合并敏感性为 96.1%（95% CI 91.3–100.8）、特异性为 97.5%（95% CI 94.7–100.2）。",8,Diagnostic accuracy of ECG smart chest patches versus PPG smartwatches for atrial fibrillation detection: a systematic review and meta-analysis,PMC11853970,full_text,.evimed-sources/PMC11853970/fulltext.md,"A total of 15 studies were included in the current systematic review and meta-analysis… Excluding one study that did not report the total number of participants, the remaining 14 studies involved a total of 12,802 participants… the most commonly used gold standards were 12-lead ECG, Holter ECG, and telemetry ECG… For ECG smart chest patches, the pooled sensitivity was 96.1% (95% CI: 91.3-100.8)… while the pooled specificity was 97.5% (95% CI: 94.7-100.2)… PPG smartwatches demonstrated a pooled sensitivity of 97.4% (95% CI: 96.5–98.3)… and a pooled specificity of 96.6% (95% CI: 94.9–98.3)",适用于使用消费级心电/PPG 设备的成人；验证人群以门诊/住院为主，外推到一般人群需谨慎,无
CLM-005,VALIDATION 研究（122 例门诊患者，其中 25% 为房颤）对四类消费级设备进行同步 12 导联心电对照：房颤检出敏感性均为 100%，识别窦律的特异性分别为 96.4%、97.8%、98.9%、97.8%；7.4%（FibriCheck）至 14.8%（Preventicus）的测量因信号质量不足无法判定；早搏是假阳性的主要来源。,6,Comparative Evaluation of Consumer Wearable Devices for Atrial Fibrillation Detection: Validation Study,PMC11737281,full_text,.evimed-sources/PMC11737281/fulltext.md,"…with simultaneous 12-lead reference ECG as the gold standard. Results A total of 122 participants were included in the study: median age 69 (IQR 61-77) years, 63.9% (n=78) men, 25% (n=30) with AF… The sensitivity to detect AF was 100% for all devices. The specificity to detect sinus rhythm was 96.4% (95% CI 89.5%-98.8%) for KardiaMobile 6L, 97.8% (95% CI 91.6%‐99.5%) for Apple Watch, 98.9% (95% CI 92.5%‐99.8%) for FibriCheck, and 97.8% (95% CI 91.5%‐99.4%) for Preventicus… Insufficient quality measurements were observed in 10.7% (95% CI 6.3%-17.5%) of cases for both KardiaMobile 6L and Apple Watch, 7.4% (95% CI 3.9%‐13.6%) for FibriCheck, and 14.8% (95% CI 9.5%‐22.2%) for Preventicus",适用于使用消费级心电/PPG 设备的成人；验证人群以门诊/住院为主，外推到一般人群需谨慎,无
CLM-006,华为 Watch GT2 Pro 单导联心电算法（628 例受试者、1926 段心电）识别房颤的召回率为 96.7%、精确率为 96.9%。,5,Diagnostic validation of smart wearable device embedded with single-lead electrocardiogram for arrhythmia detection,PMC10475230,full_text,.evimed-sources/PMC10475230/fulltext.md,"Finally, 1926 ECG signals from 628 subjects (282 men and 346 women) aged 19 to 94 years (median 64 years) were analyzed using the algorithm… For AF subjects, the recall was 96.7%, precision was 96.9%, and F1 score was 96.8%.",适用于使用消费级心电/PPG 设备的成人；验证人群以门诊/住院为主，外推到一般人群需谨慎,无
CLM-007,Pre-mAFA II 注册研究（112 例住院患者）中智能手环 PPG 检出房颤的敏感性为 95.36%、特异性为 99.70%。,11,Diagnostic Performance of a Smart Device With Photoplethysmography Technology for Atrial Fibrillation Detection: Pilot Study (Pre-mAFA II Registry),PMC6423467,full_text,.evimed-sources/PMC6423467/fulltext.md,A total of 112 consecutive inpatients were recruited from the Chinese PLA General Hospital… demonstrated a sensitivity of 95.36% (95% CI 92.00%-97.40%) and a specificity of 99.70% (95% CI 98.08%-99.98%) for the detection of AF,适用于使用消费级心电/PPG 设备的成人；验证人群以门诊/住院为主，外推到一般人群需谨慎,无
CLM-008,2024 年 ESC/EACTS 房颤指南引入 AF-CARE 框架，四大支柱为合并症与危险因素管理、避免卒中与血栓栓塞、以室率与节律控制改善症状、动态评估与再评估。,18,Spotlight on the 2024 ESC/EACTS management of atrial fibrillation guidelines: 10 novel key aspects,PMC11666470,full_text,.evimed-sources/PMC11666470/fulltext.md,"The European Society of Cardiology (ESC)/European Association for Cardio-Thoracic Surgery (EACTS) have recently released the 2024 guidelines for the management of AF… The AF-CARE framework is introduced, a structural approach that aims to improve patient care and outcomes, comprising of four pillars: [C] Comorbidity and risk factor management, [A] Avoid stroke and thromboembolism, [R] Reduce symptoms by rate and rhythm control, and [E] Evaluation and dynamic reassessment.",适用于使用消费级心电/PPG 设备的成人；验证人群以门诊/住院为主，外推到一般人群需谨慎,无
CLM-009,ESC/EACTS 指南建议：除机械瓣或中重度二尖瓣狭窄外，CHA₂DS₂-VA 评分 ≥2 的房颤患者启动口服抗凝（优选 DOAC），评分 1 分者建议考虑；CHA₂DS₂-VASc 各组分计分（年龄 ≥75 岁 2 分、65–74 岁 1 分等）为决策依据；并强调抗凝决策取决于卒中危险因素而非房颤类型或节律控制策略。,18,Spotlight on the 2024 ESC/EACTS management of atrial fibrillation guidelines: 10 novel key aspects,PMC11666470,full_text,.evimed-sources/PMC11666470/fulltext.md,"with points assigned to the well-known stroke risk factors: congestive heart failure (one point), hypertension (one point), age ≥ 75 years (two points), diabetes mellitus (one point), prior stroke/transient ischaemic attack/arterial thromboembolism (two points), vascular disease (one point), and age 65–74 years (one point)… Oral anticoagulation using a DOAC, unless the patient has a mechanical valve or moderate–severe mitral stenosis, is advised for patients with AF with clearly elevated thromboembolic risk (CHA 2 DS 2 -VA score ≥2). Oral anticoagulation is advised to consider for patients with a CHA 2 DS 2 -VA score of 1. Physicians should explicitly discuss with their patients that decision making on anticoagulation treatment is dependent on the presence of stroke risk factors",适用于使用消费级心电/PPG 设备的成人；验证人群以门诊/住院为主，外推到一般人群需谨慎,无
CLM-010,房颤的确诊需要心电记录显示 RR 间期绝对不规则（房室传导未受损时）且无明确重复 P 波，设备自动分类不能代替该确诊标准。,6,Comparative Evaluation of Consumer Wearable Devices for Atrial Fibrillation Detection: Validation Study,PMC11737281,full_text,.evimed-sources/PMC11737281/fulltext.md,The diagnosis of AF requires an electrocardiogram (ECG) showing irregular R-R intervals (when atrioventricular conduction is not impaired) and the absence of distinct repeating P waves [ 4 ].,适用于使用消费级心电/PPG 设备的成人；验证人群以门诊/住院为主，外推到一般人群需谨慎,无
