id,category,claim,judgement,evidence_strength,evidence,citation,access_note,verification_note,compliant_rewrite
A1,命题A,超效期速效救心丸可造成健康损害（中毒）,未检索到超效期毒性证据,无数据,毒理学研究/ADR监测/病例报告零命中,20-22,受管FAERS信号管线不可用（openFDA 400）；中国药物警戒数据库未接入,需人工核查中国药物警戒数据库,可证实风险仅为质量与效价不再受有效期承诺保障；不得表述为毒性
A2,命题A,降解产物可能有害（机制推断）,未检索到（仅推断）,推断,含冰片制剂的挥发性损失为机制推断、无本品超效期实测,42-43,中文文献为摘要层,获取本品长期留样/厂家稳定性报告后可补充,推断不得表述为实测数据
A3,命题A,历史特例：降解四环素→Fanconi综合征,支持（类特异性、历史性、不可外推）,中等,1960-1980年代病例报告+动物实验,22-30,PubMed题录/摘要层,与本品无组分关联,仅用于说明毒性特例存在但不可外推至本品
B1,命题B,过期禁止服用表述成立,支持（依据为法规定性+质量不可保证）,强,药品管理法第九十八条第一款+第三款第(五)项原文,"1,10-13",NMPA官网全文页可公开访问；条款号经多个官方处罚文书交叉引用,官方现行文本终审,超过有效期的药品为劣药，禁止生产、销售、使用；超效期后质量与效价不再受有效期承诺保障，不主张继续服用
B2,命题B,禁止性规定约束对象,支持（约束经营使用单位；个人自持自用无罚则）,中,监管口径与处罚案例均为经营/使用单位,"1,9-13",官方答复与案例页可公开访问,以官方现行文本为准,个人自持自用无对应罚则；官方科普口径为按生活垃圾分类处理、不主张继续服用
B3,命题B,以会中毒作为禁止服用的理由,内容不正确,强,无毒性证据（A1）,20-22,同A1,——,改写为劣药定性+质量不再受承诺保障
C1,命题C,投入回收箱可执行,部分支持,中,出处：企业公益（广药白云山2004年起）+地方政府定点回收公告；非全国法定义务,"14-17,42,44",新闻转载（17）与官方公告（15-16）并存，以官方公告为准,回收体系性质须写明为企业自愿活动+地方规定，覆盖范围以公告为准,优先投入定点回收点/回收箱；无可及回收点时按有害垃圾投放
C2,命题C,回收点可及性,低（覆盖不全）,中,贵阳19.7%知晓可回收/27.3%附近有回收点；嘉善20.5%知晓回收点,32-33,摘要层,获取全文复核,无可及回收点时的替代表述：按有害垃圾投放
C3,命题C,无回收点时的替代表述,支持（有出处）,强,危险废物豁免清单：家庭废药品未集中收集可不按危险废物管理、按生活垃圾处理,"5,6,7,18",名录版本（2021/2025）以生态环境部现行文本为准,人工核验现行名录,按有害垃圾投放至生活垃圾分类收集体系，由环卫部门统一处理
D1,命题D,可凭性状/外观判断是否失效,无判别效能数据,无数据,未检索到以含量/效价测定为金标准的性状判别效能研究,20-21,——,——,性状未见异常不能推断效价合格；性状异常不能替代效期标示
D2,命题D,性状与效价的对应性,无数据（批次间变异大）,中,SLEP显示稳定性批次间差异大、须逐批检验,"20,43",摘要层,——,效价保持只能通过检验保证，外观不能判定
E1,命题E,安全警告率/处置指引率作为交付判据,指标不能替代内容判据,无数据,未检索到提及率与内容正确性的实证关联,"40,45,46",DISCERN等工具存在但为质量终点工具,——,替代判据：条款溯源完整性、风险分层正确性、处置指引可执行性、错误指引率
E2,隐含主张,过期药有毒,无证据,无数据,同A1,20-26,——,——,无毒性证据；不得以会中毒支撑禁止服用
E3,隐含主张,回收箱是正确去向,部分支持,中,同C1/C3,"5-8,14-17",——,——,优先投入定点回收点/回收箱；无可及回收点时按有害垃圾投放
E4,隐含主张,未开封即可延长使用,无证据,无数据,SLEP不适用家用场景与本品,20-21,——,——,不得将SLEP数据外推至家用本品
F1,问题一,有效期确定与标示,支持,强,稳定性试验（ICH Q1A(R2)）+24号令第23条标注规则,"2,3,22,41",法规官方文本可公开访问,以官方现行文本终审条款号,有效期由稳定性试验确定并按年/月/日标注
F2,问题一,本品说明书记载（贮藏/规格/注意事项）,索引层,中,贮藏密封置阴凉干燥处(不超过20℃)、每丸重40mg、禁忌孕妇禁用等,19,EviMed NMPA索引副本,性状/有效期/包装/开封后使用期限字段未返回，官方现行文本待核验,以NMPA官网数据查询页核验现行说明书
F3,问题一,开封后使用期限,未能追溯到可核验出处,无数据,未检索到本品说明书或标准载明,19,索引未返回,人工核验官方现行文本,凡未载明者写未能追溯到可核验出处
G1,问题三,急性含服效价不足的临床含义,支持（机制性风险分层）,中,急性自救场景需要时缓解不足；正确贮藏效价损失最小（硝酸甘油舌下片）,"19,21,31",题录/全文层,——,治疗失败型与毒性损害型风险分别陈述，不得合并
G2,问题三,家庭药箱过期药品比例与处置行为,支持（横断面、摘要层）,中,贵阳/嘉善/重庆/郑州新乡/广东/郴州/苏州等调查,32-39,摘要层,获取全文复核,储药普遍、清理不主动、处置随意
G3,问题三,以需要时药品失效/不可用为终点的研究,未检索到,无数据,仅见科普性描述,39,摘要层,——,如实写未检索到
H1,信号管线,受管FAERS信号分析对本品可用性,硬缺口（不可用）,——,三次启动失败：ADR词归一化词典为空×2、openFDA HTTP 400（本品不在索引）,——,工具错误已保留,中国药物警戒数据库人工补验,未改写为阴性证据
