"study_id","identifier_type","identifier_value","role","access_level","retrieved_at","used_for"
"empero-preserved","nct","NCT03057951","registry","registry_record","2026-09-09","注册信息；设计"
"empero-preserved","doi","10.1056/NEJMoa2107038","primary","abstract","2026-09-09","主要复合终点（心血管死亡或首次心衰住院 415/2997[13.8%] vs 511/2991[17.1%]；HR 0.79，95%CI 0.69-0.90）；设计（双盲；EF>40%；n=5,988；中位随访 26.2 个月）。NEJM 全文未开放获取，仅取出版方摘要。"
"empero-preserved","pmid","34449189","primary","abstract","2026-09-09","同上（PubMed 记录）"
"empero-preserved","doi","10.1161/CIRCULATIONAHA.121.056824","companion","full_text","2026-09-09","总体（首发+复发）心衰住院 407 vs 541；HR 0.73（95%CI 0.61-0.88）；事件设盲裁定（PMC8522627）"
"empero-preserved","doi","10.1038/s41591-022-02041-5","companion","full_text","2026-09-09","EF≥50%（n=4,005）与 EF41-49%（n=1,983）分项：首发心衰住院、总心衰住院、心血管死亡、全因死亡的 HR 与 95%CI；入组标准；意向治疗（PMC9800272）"
"deliver","nct","NCT03619213","registry","companion_full_text","2026-09-09","注册号（见于设计论文与主文摘要）"
"deliver","doi","10.1056/NEJMoa2206286","primary","abstract","2026-09-09","主要复合终点（恶化心衰事件或心血管死亡 512/3131[16.4%] vs 610/3132[19.5%]；HR 0.82，95%CI 0.73-0.92）；设计（双盲；LVEF>40%；n=6,263；中位 2.3 年）。NEJM 全文未开放获取，仅取出版方摘要。"
"deliver","pmid","36027570","primary","abstract","2026-09-09","同上（PubMed 记录）"
"deliver","doi","10.1002/ejhf.2249","companion","full_text","2026-09-09","试验设计：双盲、IxRS 区组随机、按糖尿病分层、独立终点委员会裁定、入选标准（LVEF>40%、NP 升高、结构异常）（PMC8361994）"
"deliver","doi","10.1001/jamacardio.2023.0711","companion","full_text","2026-09-09","总（首发+复发）心衰事件 RR 0.73（95%CI 0.62-0.87）；总心衰住院 508 vs 707；心血管死亡 HR 0.88（95%CI 0.74-1.05）；全因死亡 RR 0.93（95%CI 0.81-1.06）；按 EF 无治疗异质性（PMC10134044）"
"context","doi","10.1038/s41591-022-01971-4","context_pooled_meta","abstract","2026-09-09","DAPA-HF+DELIVER 个体水平汇总（全 EF 谱）：心血管死亡 HR 0.86（0.76-0.97）；全因死亡 HR 0.90（0.82-0.99）；总心衰住院率比 0.71（0.65-0.78）；未见按 EF 的效应差异。仅摘要层级。"
"context","doi","10.1001/jamacardio.2022.3736","context_pooled_analysis","full_text","2026-09-09","DAPA-HF+DELIVER 死因别死亡汇总：心血管死亡 HR 0.86（95%CI 0.75-0.98）（PMC9531084）"
"context","doi","10.1177/17539447241289067","context_meta","full_text","2026-09-09","EF>40% 人群 RCT meta（含大型糖尿病心血管结局试验）：心血管死亡或心衰住院 0.78（0.72-0.85）；心衰住院 0.74（0.67-0.83）；心血管死亡 0.92（0.81-1.03）；全因死亡 0.97（0.89-1.06）（PMC11483696）"
