study_id,citation_short,identifier,design,appraised,risk_of_bias,risk_of_bias_reason,indirectness,indirectness_reason,imprecision,imprecision_reason,instrument,instrument_rating,lvef_inclusion,n_randomised,median_follow_up,outcomes_reported,principal_effect_estimates,not_appraised_reason
S01,EMPEROR-Preserved 主要报告,pmid:34449189,randomized-controlled-trial,True,low,RoB 2 五域均未见可辨识的系统误差来源：随机化与分配隐藏为中心随机、双盲：结局判定、失访与停药处理，摘要未见异常信号；受试者、研究者与终点判定者设盲；两组均按意向性治疗分析。,low,人群（慢性心衰成人、LVEF > 40%、NYHA II–IV）、干预（empagliflozin 10 mg 每日一次）、对照（常规治疗背景下的安慰剂）、主要复合终点中的心衰住院组分，均与本问题的四条轴直接对应；随访 26.2 个月覆盖了本问题的时间范围。唯一偏离是纳入门为 LVEF > 40% 而非 ≥ 40%，即未纳入 LVEF 恰为 40% 者，方向上不改变结论。,low,两个终点的事件数均在 400–900 之间，置信区间远离无效线，区间上限 0.90（复合终点）与 0.88（总心衰住院）仍对应可观的风险下降，区间跨越的不是“值得做/不值得做”的决策边界。,RoB 2,low risk of bias,LVEF > 40%,5988,26.2 个月,复合终点（心血管死亡或心衰住院，首次事件） | 总心衰住院次数 | 心衰住院（作为复合终点的驱动组分，未单独给出数值）,复合终点：心血管死亡或心衰住院（首次事件）: HR 0.79 (95% CI 0.69-0.90); 总心衰住院次数（复发事件）: HR 0.73 (95% CI 0.61-0.88),
S02,DELIVER 主要报告,pmid:36027570,randomized-controlled-trial,True,low,RoB 2 五域均未见可辨识的系统误差来源：随机化与分配隐藏为中心随机、双盲、安慰剂对照；结局判定与失访处理，受试者、研究者与终点判定者设盲；两组均按意向性治疗分析。,low,人群、干预、对照、终点四条轴均直接对应本问题。与 EMPEROR-Preserved 的差别是主要终点把紧急心衰就诊并入“心衰恶化事件”，比单纯心衰住院更宽；本表因此同时单列“心衰住院”的估计值，未把宽定义当作窄定义使用。,low,主要复合终点、心衰住院、总事件三者的区间上限分别为 0.92、0.89、0.89，对应临床重要效益；心血管死亡与全因死亡的区间上限 1.05 与 1.07 已不能排除无效甚至轻微有害，但这两个终点单独记入其结果所在的证据体，不在此处计入。,RoB 2,low risk of bias,LVEF > 40%,6263,2.3 年（IQR 1.7–2.8）,复合终点（心衰恶化事件或心血管死亡，首次事件） | 心衰住院或紧急心衰就诊（首次） | 心衰住院（首次） | 紧急心衰就诊（首次） | 心血管死亡 | 全因死亡 | 总心衰恶化事件与心血管死亡次数（复发事件） | 安全性结局,复合终点：心衰恶化事件或心血管死亡（首次事件）: HR 0.82 (95% CI 0.73-0.92); 心衰住院或紧急心衰就诊（首次）: HR 0.79 (95% CI 0.69-0.91); 心衰住院（首次）: HR 0.77 (95% CI 0.67-0.89); 心血管死亡: HR 0.88 (95% CI 0.74-1.05); 全因死亡: HR 0.94 (95% CI 0.83-1.07); 总心衰恶化事件与心血管死亡次数（复发事件）: rate ratio 0.77 (95% CI 0.67-0.89),
S03,DELIVER 总（复发）心衰事件预设分析,pmid:37099283,randomized-controlled-trial,True,low,RoB 2 五域均未见可辨识的系统误差来源；本分析在试验统计计划中预设，分析方法、亚组与敏感性分析均在锁库前定稿。,serious,效应量是事件速率比而非个体层面的风险比，回答的是“每位患者的平均事件负担”这一略不同的问题；复发事件在同一个体内不独立，试验层面的速率比其区间未完全反映这一点。此外该分析把紧急心衰就诊并入“总心衰事件”，而 EMPEROR-Preserved 的总事件分析对应的是“总心衰住院”，两者的构成并不相同。,low,总事件数 815 vs 1057，区间上限 0.89（含紧急就诊）与 0.88（不含紧急就诊）仍对应可观的事件负担下降；联合脆弱模型与 AUC 方法的区间同样远离无效线。,RoB 2,low risk of bias,LVEF > 40%（与 DELIVER 一致）,6263,2.3 年（IQR 1.7–2.8）,总心衰事件与心血管死亡（复发事件） | 总心衰事件（不含紧急就诊）与心血管死亡 | 总心衰住院次数 | 全因死亡（作为敏感性分析）,总心衰事件与心血管死亡（复发事件，LWYY）: rate ratio 0.77 (95% CI 0.67-0.89); 总心衰事件（复发事件，LWYY）: rate ratio 0.73 (95% CI 0.62-0.87); 总心衰事件（复发事件，联合脆弱模型）: rate ratio 0.72 (95% CI 0.65-0.81); 总心衰住院与心血管死亡（LWYY）: rate ratio 0.76 (95% CI 0.66-0.88); 总心衰住院与心血管死亡（联合脆弱模型）: rate ratio 0.71 (95% CI 0.63-0.80); 心血管死亡（复发事件分析中）: rate ratio 0.87 (95% CI 0.72-1.05); 模型假设无关的累积负担分析（AUC 比）: rate ratio 0.72 (95% CI 0.63-0.84),
S04,EMPEROR-Preserved 年龄亚组分析,pmid:35772911,randomized-controlled-trial,True,low,RoB 2 五域均未见可辨识的系统误差来源；亚组分析为预设，随机化与设盲同主试验。,low,人群、干预、对照、终点均与主试验一致，问题是同一人群内的年龄异质性。,moderate,分层后各年龄层的事件数大幅减少，交互检验的把握度低；原文给出的多为交互 P 值与方向描述。该不精确性在本表中以“不据此产生效应量”的方式处理，不影响主试验效应量的区间判断。,RoB 2,low risk of bias,LVEF > 40%（与 EMPEROR-Preserved 一致）,5988,26.2 个月,复合终点按年龄分层的效应 | 首次心衰住院按年龄分层的效应 | 首次与复发性心衰住院按年龄分层的效应 | 心血管死亡与全因死亡按年龄的交互（无显著治疗效应与交互）,首次与复发性心衰住院按年龄分层: HR not reported in retrieved text,
S05,两项 HFmrEF/HFpEF 专用试验的预设合并分析（Vaduganathan 2022）,pmid:36041474,systematic-review,True,low,偏倚风险源自所纳入试验的执行，两试验均评为低偏倚风险；合并过程本身在锁库前完成并注册（PROSPERO CRD42022327527），无结局选择性报告的迹象。,low,主分析恰好就是本问题人群（LVEF > 40%）、本问题干预（恩格列净与达格列净各一项试验）、本问题对照（安慰剂）与本问题结局。背景性的五试验合并结果不用于本问题的确定性判断，仅用于说明跨射血分数谱的效应方向。,low,12251 名受试者、事件数充足，主要终点与首次心衰住院的区间上限分别为 0.87 与 0.83，对应的绝对效应量 NNT 25–28 有临床意义；该分析把把握度不足的问题在人群层面解决了，未解决的只是心血管死亡与全因死亡终点（分别记入各自证据体）。,AMSTAR 2,moderate confidence,主分析限定两项纳入标准为 LVEF > 40% 的试验；背景分析纳入 DAPA-HF、EMPEROR-Reduced（LVEF ≤ 40%）与 SOLOIST-WHF（急性心衰住院期）,12251（两项 HFmrEF/HFpEF 试验）；21947（五项试验全谱）,加权平均约 23 个月（五试验范围 9 个月至 2.3 年）,复合终点（心血管死亡或首次心衰住院） | 心血管死亡 | 首次心衰住院 | 心血管死亡或任意心衰恶化事件 | 全因死亡 | 健康状态（KCCQ）,复合终点：心血管死亡或首次心衰住院（两项 HFmrEF/HFpEF 试验）: HR 0.80 (95% CI 0.73-0.87); 首次心衰住院（两项 HFmrEF/HFpEF 试验）: HR 0.74 (95% CI 0.67-0.83); 心血管死亡（两项 HFmrEF/HFpEF 试验）: HR 0.88 (95% CI 0.77-1.00); 全因死亡（两项 HFmrEF/HFpEF 试验）: HR 0.97 (95% CI 0.88-1.06); 心血管死亡或任意心衰恶化事件（两项 HFmrEF/HFpEF 试验）: HR 0.80 (95% CI 0.73-0.87); 复合终点（五试验全谱，含 LVEF ≤ 40%）: HR 0.77 (95% CI 0.72-0.82); 首次心衰住院（五试验全谱）: HR 0.72 (95% CI 0.67-0.78); 心血管死亡（五试验全谱）: HR 0.87 (95% CI 0.79-0.95); 全因死亡（五试验全谱）: HR 0.92 (95% CI 0.86-0.99); 复合终点按 LVEF 分层（五试验全谱）: HR 0.75–0.81 (95% CI 0.67-0.96),
S06,HFpEF 人群 SGLT2 抑制剂系统评价（Kandasamy 2023）,pmid:37773799,systematic-review,True,serious,系统评价层面存在两处可识别的误差来源。一是纳入人群与题名不符：该评价自称评估 HFpEF，却把 DECLARE-TIMI 58、VERTIS CV、SCORED 三项以 2 型糖尿病为主的人群计入合并，这些研究并未要求入组时存在心衰，其“HFpEF”子集为事后划分；二是未报告对所纳入研究的偏倚风险评估，亦未做亚组与敏感性分析（原文自述因数据有限未能进行）。,serious,合并人群与本问题的目标人群有实质距离：三项以糖尿病为主的研究并非心衰队列，其事件主要由非心衰机制驱动；把这些人群与两项 HFpEF 专用试验合并，会稀释或以其他机制替代本问题所问的效应。其所报告的心衰住院 HR 0.74 与专用人群的 0.74 数值相同，这一巧合不能当作独立验证。,low,事件数与区间宽度本身尚可（心衰住院 0.67–0.82；全因死亡 0.89–1.06），I² 为 0%；但区间所描述的是混合人群的合并效应，其精度不能转移到本问题人群。,AMSTAR 2,critically low confidence,自述为 HFpEF；但纳入的研究中含 DECLARE-TIMI 58、VERTIS CV、SCORED 三项以 2 型糖尿病为主的人群，其射血分数口径无法逐条核实,15989（6 项研究）,2.24 年（中位）,首次心衰住院或心血管死亡复合终点 | 心衰住院 | 全因死亡 | 心血管死亡 | 心源性猝死,复合终点：首次心衰住院或心血管死亡: HR 0.80 (95% CI 0.74-0.87); 心衰住院: HR 0.74 (95% CI 0.67-0.82); 全因死亡: HR 0.97 (95% CI 0.89-1.06); 心血管死亡: HR 0.96 (95% CI 0.82-1.13); 心源性猝死: OR 0.85 (95% CI 0.66-1.08),
S07,HFpEF 人群 SGLT2 抑制剂系统评价（Shrestha 2023）,pmid:37773799,systematic-review,False,,,,,,,,,,15989,2.24 年,,,本行是 S06 的同一条记录（同一 PMID、同一 DOI、同一批纳入研究、同一组效应量），在此单独列出仅为记录去重过程，不构成第二项研究，也不单独评价。
S08,HFpEF 人群 SGLT2 抑制剂系统评价（Karimi 2024）,pmid:39400108,systematic-review,False,unclear,所取得的记录为摘要，未报告纳入研究清单、偏倚风险评估方法、异质性处理与敏感性分析，因此无法判断系统评价执行中可能出现的误差来源。,unclear,摘要称研究纳入射血分数高于 40% 的人群，但未列出纳入研究，无法核对其是否混入以糖尿病为主的人群（S06 就在这一点上出了问题），故不能判断其与本问题人群的距离。,unclear,记录中没有任何合并效应的点估计与置信区间，无从判断区间宽度，因而无从判断精度。,AMSTAR 2,not applicable — 记录不足以完成评估,自述为射血分数高于 40%,16509（8 项研究）,未报告,心血管住院 | 心血管死亡 | 全因死亡 | 估算肾小球滤过率,心血管住院: not reported in retrieved record not reported in retrieved record,所取得的记录为摘要，未报告任何终点的合并效应点估计与置信区间、未报告纳入研究清单与偏倚风险评估，无法完成逐域判断，也无法核对其人群是否确实为 LVEF > 40%。其定性结论与 S05 方向一致，但数值不可核对，故不进入任何确定性算术。要完成对它的评价需要其全文或可解析的补充材料。
S09,SGLT2 抑制剂之间的间接比较（Bayesian 网络分析）,pmid:36702979,systematic-review,False,serious,所取得的记录为摘要，未报告网络一致性检验、纳入研究的偏倚风险评估或模型选择依据；网络间接比较在链路缺少闭合环时无法检验一致性，而本网络的多数节点由安慰剂连接。,serious,网络纳入的是全射血分数谱的已确诊心衰人群，其连接节点包括 LVEF ≤ 40% 的试验；由这些试验推断 HFpEF 内部两药之间的差异，需要假定效应在射血分数谱上同质，而这一点本身未被检验。,serious,四组间接比较的区间都很宽（如心衰住院 OR 0.64–1.97），既不能排除达格列净优于恩格列净，也不能排除相反方向，属于典型的“跨越两个相反决策”的不精确。,AMSTAR 2,not applicable — 记录不足以完成评估,全射血分数谱的已确诊心衰人群，非 HFpEF 专用,5 项试验，4 种治疗策略,未报告,复合终点（达格列净 vs 恩格列净） | 全因死亡 | 心血管死亡 | 心衰住院,复合终点：达格列净 vs 恩格列净: OR 1.00 (95% CI 0.66-1.55); 全因死亡：达格列净 vs 恩格列净: OR 0.92 (95% CI 0.71-1.18); 心血管死亡：达格列净 vs 恩格列净: OR 0.94 (95% CI 0.71-1.23); 心衰住院：达格列净 vs 恩格列净: OR 1.13 (95% CI 0.64-1.97),所取得的记录为摘要，未报告网络一致性检验、纳入研究的偏倚风险评估与模型选择依据，无法完成 AMSTAR 2 的逐域判断。此项仅用于说明两药之间缺乏可辨别的差异，不进入任何确定性算术。
S10,DELIVER 的试验模拟（观察性一致性检查）,url:https://www.embase.com/search/results?subaction=viewrecord&id=L651752299&from=export,retrospective-cohort,False,serious,Newcastle-Ottawa 域结构下，选择域与可比性域存在不可消除的残余混杂：活性对照为西格列汀，而非安慰剂，因此测量的是“达格列净相对于另一种降糖药”的效应；暴露由处方记录推断，结局由理赔编码定义，未设盲判定。,serious,对照不是安慰剂而是西格列汀，混杂人群限定为合并 2 型糖尿病者，且复合终点把全因死亡与心衰住院合并，与本问题“安慰剂对照、单列各终点”的口径不符。,moderate,匹配后队列的事件数使区间上限 0.92，尚可辨别方向；但该区间无法与随机试验的区间做等价解读，因为其中混杂了对照药物的效应。,Newcastle-Ottawa Scale,not scored — 摘要未报告足够的方法学细节,HFmrEF/HFpEF 且合并 2 型糖尿病（具体 LVEF 阈值未在摘要中给出）,8162（常规治疗队列，与 DELIVER 的 2806 名入组者做倾向评分 1:1 匹配）,未报告,全因死亡或心衰住院复合终点 | 复合终点的组分,全因死亡或心衰住院（复合终点）: HR 0.76 (95% CI 0.63-0.92),所取得的记录为会议摘要，未报告随访时长、匹配后协变量平衡诊断、残余混杂定量评估与 LVEF 纳入阈值，无法完成 Newcastle-Ottawa 的逐域评分。此项仅作方向一致性记录，不进入任何确定性算术。
