milestone,date,outcome,owner
M-01 开题与协议定稿：立项依据检索留痕（检索式与日期）、参考集标注手册 v0、数据纳入排除协议 v0，经组内评审并留存版本,2027-01,三份文档通过组内评审并归档（含版本号与评审记录）,负责人（PI）
M-02 数据层盘点 v1：公开数据源清单（每源记录期次、许可、取得方式、局限）＋ FAERS 首期下载与哈希记录,2027-03,数据源清单≥8 项且快照哈希记录表齐全,数据组（数据与标注骨干）
M-03 目标 2 方法可行性演示（一期评审点）：估计量与校准函数原型在小规模仿真上跑通,2027-06,原型代码与冒烟报告归档且一期评审通过,方法组（统计骨干）
M-04 机器可读化第一批：国家药品不良反应监测年度报告聚合统计（≥6 个可公开期次）转录并双人抽查,2027-09,抽查比例≥5% 且转录错误率为 0,数据组
M-05 参考集第一轮标注：正负对照对初标并计算一致性,2027-12,κ≥0.8；未达标则触发标注手册修订流程并记录,数据组
M-06 2027 年度进展报告提交,2028-01,按科学基金网络信息系统要求完成提交并留回执,负责人（PI）
M-07 目标 2 评估协议预登记：模拟参数、指标定义与成功判据成文并加时间戳,2028-03,预登记文档发布并留版本号与时间戳,方法组
M-08 基准第一轮：模拟设置＋参考集（若当期可用）＋ FAERS 可比对子集上的指标表与校准曲线,2028-06,指标表与校准曲线归档，经验 FDR 与特异性等指标按协议计算,方法组
M-09 TCM-OpenBase v1 内部冻结：快照哈希在第二台干净机器复跑一致,2028-09,双机哈希一致记录归档,工程组（管线/生信骨干）
M-10 TCM-RefSet v1 主版本发布（含 DOI 类稳定标识、发布说明、许可与局限声明）,2028-12,发布记录与稳定标识归档,负责人（PI）
M-11 2028 年度进展报告提交,2029-01,按系统要求完成提交并留回执,负责人（PI）
M-12 管线 v0.9：容器化执行、声明式配置、自描述结果 JSON 单目录产出,2029-03,干净容器环境「一键复算」冒烟通过率 100%,工程组
M-13 复算审计协议 v1 定稿：R-score 定义与四类归因判定树,2029-06,协议文档经组内评审通过并归档,负责人（PI）
M-14 试点审计第一批：完成≥4 个案例的审计卡（数据、程序、判定三栏）与 R-score,2029-09,审计卡≥4 张且每张含归因分布,数据组＋工程组
M-15 试点审计累计≥8 个案例（含至少 1 例参数层半复算或不可映射案例的完整处理记录）,2029-12,审计卡≥8 张并汇总归档,课题组
M-16 2029 年度进展报告提交,2030-01,按系统要求完成提交并留回执,负责人（PI）
M-17 聚合口径推断收尾：三态判定的覆盖性质模拟报告完成，方法学论文 2 投稿,2030-03,模拟报告归档且论文投稿状态留痕〔拟投稿〕,方法组
M-18 试点总结报告与开源包 v1.x 正式版（含复算手册与文档）发布,2030-06,总结报告与开源包发布记录归档,课题组
M-19 结题材料初稿：结题报告、全部产物清单与哈希、数据使用许可核对表,2030-09,结题材料清单经单位科研处预审通过,负责人（PI）
M-20 结题提交：结题报告提交并汇总研究生学位论文与 2—3 篇拟投稿论文状态,2030-12,系统提交回执归档且成果状态清单齐备,负责人（PI）
