claimId,referenceNumber,claimType,supportQuote,sourceTitle
CLM-001,1,direct,"病案首页：ID|PATIENT_ID|CASE_NO|CURRENT_TIMES|SEX|AGE|...|FEE_TOTAL；医嘱记录：DOCTOR_ORDER_ID|...|ORDER_STATE；检验：PATIENT_ID|...|REFFR_SCOPE；诊断记录：DIAGNOSTIC_RECORD_ID|...|DIAGNOSTIC_CONTENT；体征：RECORD_ID|PATIENT_ID|CASE_NO|RECORD_DATE|SIGN_TYPE|RECORD_CONTENT|RECORD_UNIT",20260803TDM.xlsx（病案首页/医嘱记录/检验/诊断记录/体征，用户提供）
CLM-002,1,direct,"3018|阿立哌唑|354.0|100.0-350.0；449|脱氢阿立哌唑|79.0；448|总阿立哌唑|433.0|150.0-500.0；4241|奥氮平|54.2|20.0-80.0；2008|氯氮平|721.0|350.0-600.0；8001|氯硝西泮|46.6|4.0-80.0；4236|帕利哌酮（帕潘立酮）|86.4|20.0-60.0；3018|阿立哌唑|400.0；449|脱氢阿立哌唑|103.0；448|总阿立哌唑|503.0",20260803TDM.xlsx 检验工作表（22 行 TDM 结果）
CLM-003,1,direct,"REFFR_SCOPE：阿立哌唑 100.0-350.0；总阿立哌唑 150.0-500.0；奥氮平 20.0-80.0；氯氮平 350.0-600.0；氯硝西泮 4.0-80.0；帕利哌酮（帕潘立酮） 20.0-60.0",20260803TDM.xlsx 检验工作表 REFFR_SCOPE 字段
CLM-004,1,direct,"丙戊酸钠|4|18/1/2021 09:27:00；碳酸锂|4|18/1/2021 09:27:00；丙戊酸钠|4|1/1/2021 11:04:00；碳酸锂|4|1/1/2021 11:04:00；丙戊酸钠|4|25/12/2020 12:24:00；碳酸锂|4|25/12/2020 12:24:00；6851332|阿立哌唑|63.0|100.0-350.0（无对应用药医嘱）",20260803TDM.xlsx 医嘱记录/检验工作表（完整性核对）
CLM-005,1,direct,"[REDACTED-04]|2020-12-21|阿立哌唑 317.0|总阿立哌唑 372.0；[REDACTED-04]|2021-01-04|阿立哌唑 400.0|总阿立哌唑 503.0；[REDACTED-04]|阿立哌唑口崩片(国产)|10.0mg|BID4|2020-12-17 10:11:00→2021-01-16 09:24:00",20260803TDM.xlsx 检验/医嘱记录（P[REDACTED-04] 两轮 TDM 与剂量）
CLM-007,4,direct,"International guidelines for Therapeutic Drug Monitoring (TDM) propose a therapeutic reference range of 100–350 ng/ml for ARI and 150–500 ng/ml for the active moiety (Hiemke et al. 2018; Schoretsanitis et al. 2021)",Therapeutic Reference Range for Aripiprazole in Schizophrenia Revised (Hart et al., Psychopharmacology 2022)
CLM-008,4,direct,"We suggest a therapeutic reference range of 120–270 ng/ml and 180–380 ng/ml, respectively, for aripiprazole and its active moiety for the treatment of schizophrenia and related disorders",Therapeutic Reference Range for Aripiprazole in Schizophrenia Revised (Hart et al., Psychopharmacology 2022)
CLM-009,4,direct,"The combined mean C/D ratio across seven and six studies was 13.8 (ng/ml)/(mg/day) [12.4, 15.3] (Q = 38.1, df = 6, p ≤ 0.05, I2 = 88%, T2 = 2.96) and 18.2 [16.6, 19.7] (Q = 29.3, df = 5, p < 0.0001, I2 = 84%, T2 = 2.81) for ARI and the AM, respectively",Therapeutic Reference Range for Aripiprazole in Schizophrenia Revised (Hart et al., Psychopharmacology 2022)
CLM-010,3,direct,"CYP2D6 poor metabolizers (genetically determined n = 19 and phenoconverted, n = 52) showed higher aripiprazole concentration-to-dose (P < .001) and aripiprazole plus dehydroaripiprazole concentration-to-dose (P < .001) ratios when compared to normal metabolizers (n = 255)",Influence of CYP2D6 Genotypes and Phenotypes on the Plasma Levels and Clinical Response to Aripiprazole (Gras et al., Schizophrenia Bulletin 2025)
CLM-011,3,direct,"Considering genetics only, IM had 56% increased mean aripiprazole levels, 44% increased mean aripiprazole plus dehydroaripiprazole levels, and 27% higher aripiprazole-to-dose ratios, respectively, when compared with NM",Influence of CYP2D6 Genotypes and Phenotypes on the Plasma Levels and Clinical Response to Aripiprazole (Gras et al., Schizophrenia Bulletin 2025)
CLM-012,4,direct,"The mood stabilizers carbamazepine and valproate were found to decrease ARI (AM) BLs by 65% and 23%, respectively",Therapeutic Reference Range for Aripiprazole in Schizophrenia Revised (Hart et al., Psychopharmacology 2022)
CLM-013,2,direct,"the daily dose for poor metabolizer should be adjusted, resulting in a maximum recommended dose of 10 mg, but no adjustment is necessary for intermediate and ultra-rapid metabolizers",Influence of CYP2D6 Phenotypes on the Pharmacokinetics of Aripiprazole and Dehydro-Aripiprazole (Kneller et al., Clinical Pharmacokinetics 2021)
CLM-014,6,direct,"Available evidence suggests concentrations above 350 ng/mL (1070 nmol/L) are associated with higher rates of therapeutic response and concentrations above 600 ng/mL (1850 nmol/L) are associated with higher rates of dose-dependent adverse drug effects",Impact of patient-specific factors on clozapine metabolism (Rafizadeh et al., J Psychopharmacol 2024)
CLM-015,7,direct,"use of therapeutic drug monitoring (TDM) during clozapine treatment is ‘strongly recommended’ in the Consensus Guidelines for Therapeutic Drug Monitoring in Neuropsychopharmacology established by the Arbeitsgemeinschaft für Neuropsychopharmakologie und Pharmakopsychiatrie (AGNP) expert group",Absolute and Dose-Adjusted Serum Concentrations of Clozapine (Kyllesø et al., CNS Drugs 2021)
CLM-016,6,direct,"In the entire cohort (n = 172), the mean C/D ratio was 1.77 (minimum = 0.430, maximum = 6.58). … In individuals not on fluvoxamine (n = 114), the mean C/D ratio was 1.34 (minimum = 0.430, maximum = 3.60).",Impact of patient-specific factors on clozapine metabolism (Rafizadeh et al., J Psychopharmacol 2024)
CLM-017,5,direct,"The C/D ratio was significantly lower in smokers than in non-smokers (p<0.00001), and the mean difference was −0.75 (ng/mL)/(mg/day) (95% CI −0.89 to −0.61). … The C/D ratio was significantly lower in smokers than in non-smokers (p<0.00001), and the mean difference was −1.11 (ng/mL)/(mg/day) (95% CI −1.53 to −0.70).",Meta-analysis: the effects of smoking on the disposition of olanzapine and clozapine (Tsuda et al., BMJ Open 2014)
CLM-018,8,direct,"the results of the bivariate Spearman linear correlation test showed that olanzapine blood concentration at different times of treatment was positively related to the treatment effect of schizophrenia patients (R > 0, P < .05)",Analysis of the correlation between clinical efficacy and blood concentration of olanzapine in schizophrenia patients (Yuan et al., Medicine 2023)
CLM-019,9,direct,"Under the same weight, the aripiprazole clearance rates were 0.714:1 in patients with or without fluoxetine, respectively",Drug–drug interaction and initial dosage optimization of aripiprazole (Zhang et al., Front Psychiatry 2024)
CLM-030,2,direct,"Mean t1/2 are about 75 h and 94 h for ARI and D-ARI, respectively. … PMs show higher plasma concentrations and a longer half-life (t1/2) [146 h vs 75 h] for ARI",Influence of CYP2D6 Phenotypes on the Pharmacokinetics of Aripiprazole and Dehydro-Aripiprazole (Kneller et al., Clinical Pharmacokinetics 2021)
CLM-028,3,synthesized,"466 patients treated with aripiprazole for up to 12 months and with at least one aripiprazole plasma level in steady-state condition were selected",Influence of CYP2D6 Genotypes and Phenotypes on the Plasma Levels and Clinical Response to Aripiprazole (Gras et al., Schizophrenia Bulletin 2025)
CLM-029,4,synthesized,"Conflicting evidence for a relationship between concentration, efficacy, and side effects exists (assigned level of evidence low, C; and absent, D)",Therapeutic Reference Range for Aripiprazole in Schizophrenia Revised (Hart et al., Psychopharmacology 2022)
