citationId,referenceNo,title,source,doi,pmid,pmcid,url,accessLevel,artifactPath,supportQuote,verified
REF-1,1,Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina: study protocol,Trials 2021,10.1186/s13063-021-05448-6,34281600,PMC8287819,https://europepmc.org/articles/PMC8287819,full_text,.evimed-sources/PMC8287819/fulltext.md,"The trial will enroll 324 participants with chronic stable angina (Qi Stagnation and Blood Stasis syndrome)",verified_fulltext
REF-2,2,Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates,BMC Complement Med Ther 2024,10.1186/s12906-024-04661-5,39367481,PMC11451125,https://europepmc.org/articles/PMC11451125,full_text,.evimed-sources/PMC11451125/fulltext.md,"OR = 2.43, 95% confidence interval [CI] = 1.32 to 4.47, P = 0.004",verified_fulltext
REF-3,3,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,Evid Based Complement Alternat Med 2018,10.1155/2018/9745804,29770157,PMC5892298,https://europepmc.org/articles/PMC5892298,full_text,.evimed-sources/PMC5892298/fulltext.md,"The most common symptoms were mild headache, dizziness, and facial flushing",verified_fulltext
REF-4,4,The comparative effects of oral Chinese patent medicines combined with western medicine in stable angina: network meta-analysis of 179 trials,Front Pharmacol 2022,10.3389/fphar.2022.918689,36059992,PMC9428755,https://europepmc.org/articles/PMC9428755,full_text,.evimed-sources/PMC9428755/fulltext.md,"The selected trials were all assessed as some concerns",verified_fulltext
REF-5,5,Chest pain - NHS,NHS official page,,,official-page:e6143b76645a9461,https://www.nhs.uk/symptoms/chest-pain/,official_page,.evimed-sources/official-pages/e6143b76645a9461/page.md,"Call 999 if: you get sudden pain or discomfort in your chest that does not go away",verified_official
REF-6,6,速效救心丸说明书（国家药监局核准）,NMPA 说明书索引,,,,官方渠道需核验,abstract,,"用于气滞血瘀型冠心病，心绞痛；孕妇禁用",indexed_unverified
REF-7,7,速效救心丸治疗冠心病中国专家共识,中西医结合心脑血管病杂志 2019,,,,https://qikan.cqvip.com/Qikan/Article/Detail?id=7100492500,abstract,,"自1982年上市以来,近40年的临床应用积累了宝贵临床经验",partial
REF-8,8,不同疗程速效救心丸对冠心病心绞痛临床疗效及安全性的Meta分析,北京中医药 2022,,,,https://chkdx.cnki.net/kcms/detail/detail.aspx?FileName=BJZO202201018&DbName=DKFXTEMP,abstract,,"共纳入13篇RCT,疗程分别为2周、4周(或30 d)、8周",verified_abstract
REF-9,9,Evaluation of potential herb-drug interactions based on the effect of Suxiao Jiuxin Pill on CYP450 enzymes and transporters,J Ethnopharmacol 2021,10.1016/j.jep.2021.114408,34252529,,https://pubmed.ncbi.nlm.nih.gov/34252529/,abstract,,"IC50 value of 21.9 μg/mL",verified_abstract
REF-10,10,速效救心丸能否长期服用,家庭医学 2014,,,,https://chkdx.cnki.net/kcms/detail/detail.aspx?FileName=JTYI201409025&DbName=CHKJ2014,abstract,,"速效救心丸可以长期服用,或集中服用一段时间",verified_abstract
REF-11,11,真实世界研究中16856例应用速效救心丸的老年患者临床特征及联合用药规律,中国中药杂志 2020,10.19540/j.cnki.cjcmm.20200302.501,32495590,,https://pubmed.ncbi.nlm.nih.gov/32495590/,abstract,,"阿司匹林肠溶片(50.77%)、肝素(36.88%)",verified_abstract
