分组,类别,名称,机构,语言,地区,读法,梯队,出口,每周条数,提供什么,本机核查,生产机核查,防护,入口地址,备用入口,备注,id
一、临床证据：期刊、文献流与预印本,综合与基础顶刊,新英格兰医学杂志 NEJM,,en,INT,Crossref + PubMed,P0,直连,31,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/0028-4793/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(0028-4793[is]+OR+1533-4406[is]),"ISSN 0028-4793, 1533-4406；近 30 天 Crossref 92 篇、PubMed 106 篇；Crossref 自带摘要：否",j-0028-4793
一、临床证据：期刊、文献流与预印本,综合与基础顶刊,NEJM Evidence,,en,INT,Crossref + PubMed,P0,直连,0,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/2766-5526/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(2766-5526[is]),ISSN 2766-5526；近 30 天 Crossref 17 篇、PubMed 17 篇；Crossref 自带摘要：否,j-2766-5526
一、临床证据：期刊、文献流与预印本,综合与基础顶刊,柳叶刀 The Lancet,Elsevier BV,en,INT,Crossref + PubMed,P0,直连,27,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/0140-6736/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(0099-5355[is]+OR+0140-6736[is]+OR+1474-547X[is]),"ISSN 0099-5355, 0140-6736, 1474-547X；近 30 天 Crossref 125 篇、PubMed 110 篇；Crossref 自带摘要：否",j-0140-6736
一、临床证据：期刊、文献流与预印本,综合与基础顶刊,eClinicalMedicine（柳叶刀子刊）,Elsevier BV,en,INT,Crossref + PubMed,P0,直连,17,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/2589-5370/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(2589-5370[is]),ISSN 2589-5370；近 30 天 Crossref 48 篇、PubMed 59 篇；Crossref 自带摘要：否,j-2589-5370
一、临床证据：期刊、文献流与预印本,综合与基础顶刊,eBioMedicine（柳叶刀子刊）,Elsevier BV,en,INT,Crossref + PubMed,P0,直连,1,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/2352-3964/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(2352-3964[is]),ISSN 2352-3964；近 30 天 Crossref 37 篇、PubMed 36 篇；Crossref 自带摘要：否,j-2352-3964
一、临床证据：期刊、文献流与预印本,综合与基础顶刊,柳叶刀-区域健康（西太平洋）,Elsevier BV,en,INT,Crossref + PubMed,P0,直连,6,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/2666-6065/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(2666-6065[is]),ISSN 2666-6065；近 30 天 Crossref 20 篇、PubMed 29 篇；Crossref 自带摘要：否,j-2666-6065
一、临床证据：期刊、文献流与预印本,综合与基础顶刊,柳叶刀-全球健康,Elsevier BV,en,INT,Crossref + PubMed,P0,直连,2,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/2214-109X/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(2214-109X[is]+OR+2572-116X[is]),"ISSN 2214-109X, 2572-116X；近 30 天 Crossref 19 篇、PubMed 19 篇；Crossref 自带摘要：否",j-2214-109x
一、临床证据：期刊、文献流与预印本,综合与基础顶刊,柳叶刀-公共卫生,Elsevier BV,en,INT,Crossref + PubMed,P0,直连,1,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/2468-2667/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(2468-2667[is]),ISSN 2468-2667；近 30 天 Crossref 8 篇、PubMed 8 篇；Crossref 自带摘要：否,j-2468-2667
一、临床证据：期刊、文献流与预印本,综合与基础顶刊,美国医学会杂志 JAMA,,en,INT,Crossref + PubMed,P0,直连,36,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/0098-7484/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(0098-7484[is]+OR+1538-3598[is]),"ISSN 0098-7484, 1538-3598；近 30 天 Crossref 142 篇、PubMed 127 篇；Crossref 自带摘要：否",j-0098-7484
一、临床证据：期刊、文献流与预印本,综合与基础顶刊,JAMA Network Open,American Medical Association,en,INT,Crossref + PubMed,P0,直连,42,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/2574-3805/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(2574-3805[is]),ISSN 2574-3805；近 30 天 Crossref 190 篇、PubMed 189 篇；Crossref 自带摘要：是,j-2574-3805
