citation_id,source_type,title,year,issuing_body_or_journal,locator_url,identifier,accessed_at,access_level,status,what_it_supports,notes
C1,regulatory_label_index,速效救心丸说明书（说明书索引记录）,not_stated,国家药品监督管理局说明书索引,https://www.evimed.com/drug-details?source=nmpa&name=8ac63be3f1a3baecde08da451c44c859.pdf,—,2026-09-10T03:44:47Z,label_index_record,resolved,功能主治；禁忌（孕妇禁用）；注意事项（寒凝血瘀与阴虚血瘀胸痹心痛不宜单用、过敏史及过敏体质者慎用、伴有中重度心力衰竭的心肌缺血者慎用、治疗期间心绞痛持续发作宜加用硝酸酯类药）；不良反应监测数据；规格每丸重40mg；生产企业,索引记录自身标注"待官方现行版本核实"；原件修订日期未核实
C2,regulated_product_registry_web,速效救心丸 批准文号 国药准字Z12020025（生产企业公开答复与独立药品信息页一致）,2026,公开药品信息页,https://www.cndzys.com/drug/156477.html,国药准字Z12020025,2026-09-10T03:44:36Z,web_page,resolved,批准文号与产品名称、生产企业的对应关系；说明书用法用量（含服，一次4~6粒，一日3次；急性发作时一次10~15粒）,非监管机构官网直查；与C3、C9在用法用量与功能主治上一致
C9,public_drug_information_page,速效救心丸说明书（功能主治文字与索引记录一致）,2015,公开药品说明书信息页,https://www.jianke.com/a/20151218/2272425.html,—,2026-09-10T03:44:36Z,web_page,resolved,功能主治文字"行气活血，祛瘀止痛，增加冠脉血流量，缓解心绞痛。用于气滞血瘀型冠心病，心绞痛。"与C1互相印证,旁证；正文说明书主张以C1为准
C3,clinical_guideline,冠心病稳定型心绞痛中医诊疗指南,2019,中华中医药学会,https://www.cae.cn/,—,2026-09-10T03:44:06Z,guideline_full_text,resolved,发作时用药推荐速效救心丸（证据级别B级；推荐强度强推荐）；用法：舌下含服，每次10~15丸,指南全文经保全后逐段核对；证据级别与推荐强度为原文标注；该指南原文刊于《中医杂志》类期刊，未取得其独立文章页
C4,expert_consensus,速效救心丸治疗冠心病中国专家共识,2019,中国中西医结合学会心血管病专业委员会（刊载于《中西医结合心脑血管病杂志》，篇内编号A2-1349.2019.21.001）,https://kns.cnki.net/kns8s/search?q=%E9%80%9F%E6%95%88%E6%95%91%E5%BF%83%E4%B8%B8%E6%B2%BB%E7%96%97%E5%86%A0%E5%BF%83%E7%97%85%E4%B8%AD%E5%9B%BD%E4%B8%93%E5%AE%B6%E5%85%B1%E8%AF%86,A2-1349.2019.21.001,2026-09-10T03:43:30Z,consensus_full_text_excerpt,resolved,长期使用安全性的表述（安全窗口宽、长期使用安全性好、近40年临床应用未见耐药性报道）；不良反应谱（偶有胃肠道不适、头胀、颜面潮红，多可自行缓解）；含服后冰片约16min达血药浓度高峰；与硝酸异山梨酯（消心痛）比较的荟萃分析（24篇文献、干预组1704例、对照组1302例）；冰片可能引起胃肠道不适，建议饭后30min服用,该共识全文内容已核对（部分字词有识别残损），关键句逐字核对；未取得该文独立可打开的文章页，locator 为公开文献库检索页
C5,clinical_guideline,急性胸痛急诊诊疗专家共识,2019,中华医学会急诊医学分会（与中国医疗保健国际交流促进会胸痛分会共同组织撰写）,https://kns.cnki.net/kns8s/search?q=%E6%80%A5%E6%80%A7%E8%83%B8%E7%97%9B%E6%80%A5%E8%AF%8A%E8%AF%8A%E7%96%97%E4%B8%93%E5%AE%B6%E5%85%B1%E8%AF%86,—,2026-09-10T03:44:14Z,consensus_full_text_excerpt,resolved,致命性胸痛需立即进入抢救流程；胸痛伴意识改变、动脉血氧饱和度<90%、血压显著异常、影响血流动力学的严重心律失常等应进入监护室或抢救室；心绞痛持续数分钟至数十分钟、休息或硝酸甘油可缓解，持续时间超过20min未缓解需考虑急性心肌梗死可能,该文全文内容已核对；locator 为公开文献库检索页
C6,clinical_guideline,中国慢性冠脉综合征患者诊断及管理指南,2024,中华医学会心血管病学分会（动脉粥样硬化与冠心病学组与《中华心血管病杂志》编辑委员会牵头）,https://kns.cnki.net/kns8s/search?q=%E4%B8%AD%E5%9B%BD%E6%85%A2%E6%80%A7%E5%86%A0%E8%84%89%E7%BB%BC%E5%90%88%E5%BE%81%E6%82%A3%E8%80%85%E8%AF%8A%E6%96%AD%E5%8F%8A%E7%AE%A1%E7%90%86%E6%8C%87%E5%8D%97,—,2026-09-10T03:44:24Z,guideline_full_text,resolved,硝酸酯类为内皮依赖性血管扩张剂，通过减少心肌需氧和改善心肌灌注改善心绞痛症状；短效硝酸酯类快速缓解心绞痛、优先用于急性发作；低血压（收缩压≤90mmHg）或心动过速（心率>100次/min）者禁用硝酸酯类药物,该指南全文内容已核对；locator 为公开文献库检索页
C10,peer_reviewed_meta_analysis,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,2018,Evidence-Based Complementary and Alternative Medicine,https://doi.org/10.1155/2018/9745804,DOI 10.1155/2018/9745804 / PMC5892298,2026-09-10T03:53:58Z,full_text,resolved,41项随机对照试验、6276例患者；心电图改善合并RR 1.32（95%CI 1.26–1.38）；亚组对比硝酸甘油RR 1.35（95%CI 1.16–1.56）；对比硝酸异山梨酯RR 1.14（95%CI 1.05–1.22）；不良反应率与对照组差异无统计学意义（RR 1.12，95%CI 0.50–2.51）；最常见不良反应为轻度头痛、头晕、面部潮红，多自行消退,已核对该文局限：多为低Jadad评分、全部来自中国发表、异质性显著；未分析心血管死亡或药物相关并发症，故不得据此推断预后获益
C11,randomized_controlled_trial,Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study,2024,BMC Complementary Medicine and Therapies,https://doi.org/10.1186/s12906-024-04661-5,DOI 10.1186/s12906-024-04661-5 / PMC11451125 / ChiCTR2100050066,2026-09-10T03:54:14Z,full_text,resolved,174例慢性冠脉综合征患者（对长效硝酸酯不良反应不耐受）8中心随机双盲安慰剂对照4周；加用速效救心丸组有效率提高（OR 2.43，95%CI 1.32–4.47）；无受试者报告不良反应，肝肾功能指标组间差异无统计学意义；给药方式为饭后舌下含服、每次5粒、每日3次,同一文内引述另一项24周试验，该试验4周时未显示优于安慰剂，与本文结果方向相反；此矛盾已在内容块适用条件中写明
C12,randomized_controlled_trial（摘要级）,Evaluation of the efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina: A randomized, double-blind, placebo-controlled, multi-center clinical trial,2023-2024,Journal of Ethnopharmacology,https://doi.org/10.1016/j.jep.2023.116959,DOI 10.1016/j.jep.2023.116959 / PMID 37487965 / ChiCTR1900021876,2026-09-10T03:54:10Z,abstract_only,resolved,324例稳定型心绞痛患者、13家医院、24周随机双盲安慰剂对照；加用速效救心丸组第4、12、24周疗效率与中医证候积分改善，临床应用中未见明显不良反应,非开放获取，本轮仅核对到摘要级记录；未取得全文，故不引用其具体效应量或安全性明细
