claimId,claimType,referenceNumber,sourceTitle,identifier,accessLevel,artifactPath,supportQuote
CLM-001,direct,1,The use of expired resuscitation medications for life-threatening first aid conditions: a systematic search and narrative review,PMID:41142213,full_text,.evimed-sources/PMC12546671/fulltext.md,"Albuterol (salbutamol) retained 98 % active drug 20–30 years past expiration."
CLM-002,direct,1,The use of expired resuscitation medications for life-threatening first aid conditions: a systematic search and narrative review,PMID:41142213,full_text,.evimed-sources/PMC12546671/fulltext.md,"Aspirin (acetylsalicylic acid) could retain active drug for up to 40 years after expiration."
CLM-003,direct,1,The use of expired resuscitation medications for life-threatening first aid conditions: a systematic search and narrative review,PMID:41142213,full_text,.evimed-sources/PMC12546671/fulltext.md,"There was minimal evidence of harmful degradation products."
CLM-004,direct,1,The use of expired resuscitation medications for life-threatening first aid conditions: a systematic search and narrative review,PMID:41142213,full_text,.evimed-sources/PMC12546671/fulltext.md,"Harm from toxic degradation byproducts has rarely been associated with use of expired medications (e.g., few reports about specific tetracycline byproducts"
CLM-005,direct,3,Drug expiry debate: the myth and the reality,PMID:32127846,full_text,.evimed-sources/PMC7040264/fulltext.md,"SLEP has found that 88% of 122 different drugs stored under ideal conditions should have their expiration dates extended more than 1 year, with an average extension of 66 months, and a maximum extension of 278 months."
CLM-006,direct,3,Drug expiry debate: the myth and the reality,PMID:32127846,full_text,.evimed-sources/PMC7040264/fulltext.md,"Solid dosage forms, such as tablets and capsules, appear to be most stable past their expiration date."
CLM-007,direct,3,Drug expiry debate: the myth and the reality,PMID:32127846,full_text,.evimed-sources/PMC7040264/fulltext.md,"Excluding nitroglycerin, insulin, and liquid antibiotics, most medications are as long-lasting as the ones tested by the military."
CLM-008,direct,2,Assessment of volatile component stability in Guanxin Jieyu granules through gas chromatography in accordance with Q14 guidelines,PMID:41449179,full_text,.evimed-sources/PMC12804185/fulltext.md,"Borneol, or related cyclic monoterpenes are readily sublimed and may exist in the gas phase at ambient temperature, which accounts for the observed decline in measurable concentration."
CLM-009,direct,2,Assessment of volatile component stability in Guanxin Jieyu granules through gas chromatography in accordance with Q14 guidelines,PMID:41449179,full_text,.evimed-sources/PMC12804185/fulltext.md,"At 25 °C over 730 days, the inclusion complex showed only a 1.10% probability of failure (defined as ≥ 5% content loss), compared to 88.50% for the physical mixture."
CLM-010,direct,4,Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol,PMID:34281600,full_text,.evimed-sources/PMC8287819/fulltext.md,"SJP is composed of tetramethylpyrazine and borneol approval number Z12020025 of the China State Food and Drug Administration"
CLM-011,direct,4,Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol,PMID:34281600,full_text,.evimed-sources/PMC8287819/fulltext.md,"The SJP and placebo pills are provided by Tianjin Zhongxin Pharmaceutical Group Co., Ltd. (Tianjin, China). The placebo pills are similar to the SJP, with a comparable appearance. Each pill weighs 40 mg."
CLM-012,direct,4,Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol,PMID:34281600,full_text,.evimed-sources/PMC8287819/fulltext.md,"The trial will enroll 324 participants with chronic stable angina (Qi Stagnation and Blood Stasis syndrome). … in addition to conventional treatment for 24 weeks."
CLM-013,direct,5,Quality assessment of some specific drug products beyond expiration dates in Saudi Arabia,PMID:40397245,full_text,.evimed-sources/PMC12075053/fulltext.md,"The epinephrine content of prefilled syringe, Aronep ampoules, epinephrine injections 1:1000 in ampoules batch 1 and batch 2 are 63.28%, 79.97%, 83.07% and 72.71%, respectively."
CLM-014,direct,5,Quality assessment of some specific drug products beyond expiration dates in Saudi Arabia,PMID:40397245,full_text,.evimed-sources/PMC12075053/fulltext.md,"Upon physical examination, the injectable solutions were clear, colorless (not pinkish) and free from visible particles."
CLM-015,direct,5,Quality assessment of some specific drug products beyond expiration dates in Saudi Arabia,PMID:40397245,full_text,.evimed-sources/PMC12075053/fulltext.md,"it complied with acceptance criteria of Dopamine content as stated in USP monograph of Dopamine HCl Injection (95.0%–105.0%) with 101.28%. … the unknown impurity peak percent (4.05%) is higher than unspecified impurity limit in USP monograph of Dopamine HCl which is (0.1%). Consequently, impurity limit test of dopamine injections is failed."
CLM-016,direct,6,Efficacy of Expired Antibiotics: A Real Debate in the Context of Repeated Drug Shortages,PMID:38786194,full_text,.evimed-sources/PMC11117793/fulltext.md,"2650 of 3005 lots (−88%) corresponding to 122 different products stored in their unopened original containers remained stable for an average of 66 months after their expiration dates … none of them failed within 1 year, and about 12% of the lots remained stable for more than 4 years after the expiration date."
CLM-017,direct,6,Efficacy of Expired Antibiotics: A Real Debate in the Context of Repeated Drug Shortages,PMID:38786194,full_text,.evimed-sources/PMC11117793/fulltext.md,"Solutions and suspensions are generally less stable than solid dosage forms (tablets, capsules, or powders)."
CLM-018,direct,6,Efficacy of Expired Antibiotics: A Real Debate in the Context of Repeated Drug Shortages,PMID:38786194,full_text,.evimed-sources/PMC11117793/fulltext.md,"a small number of cases have been reported involving the expired oral antibiotic tetracycline, resulting in toxic reactions, including kidney failure, specifically Fanconi syndrome … Patients experienced symptoms such as nausea, vomiting, and metabolic acidosis within 2 to 8 days of taking the expired antibiotic."
CLM-019,direct,6,Efficacy of Expired Antibiotics: A Real Debate in the Context of Repeated Drug Shortages,PMID:38786194,full_text,.evimed-sources/PMC11117793/fulltext.md,"no recent cases of toxicity related to expired oral antibiotic tetracycline or its derivatives, such as doxycycline, have been reported in recent years."
CLM-020,direct,6,Efficacy of Expired Antibiotics: A Real Debate in the Context of Repeated Drug Shortages,PMID:38786194,full_text,.evimed-sources/PMC11117793/fulltext.md,"The labeled shelf life is estimated using appropriate stability testing International Conference on Harmonization (ICH) Q1A (R2)."
CLM-021,synthesized,1,The use of expired resuscitation medications for life-threatening first aid conditions: a systematic search and narrative review,PMID:41142213,full_text,.evimed-sources/PMC12546671/fulltext.md,"There was minimal evidence of harmful degradation products."
CLM-022,synthesized,2,Assessment of volatile component stability in Guanxin Jieyu granules through gas chromatography in accordance with Q14 guidelines,PMID:41449179,full_text,.evimed-sources/PMC12804185/fulltext.md,"Borneol, or related cyclic monoterpenes are readily sublimed and may exist in the gas phase at ambient temperature, which accounts for the observed decline in measurable concentration."
CLM-023,derived,3,Drug expiry debate: the myth and the reality,PMID:32127846,full_text,.evimed-sources/PMC7040264/fulltext.md,"SLEP has found that 88% of 122 different drugs stored under ideal conditions should have their expiration dates extended more than 1 year, with an average extension of 66 months, and a maximum extension of 278 months."
CLM-024,direct,26,Chest pain - NHS,NHS chest pain (page last reviewed 2023-08-08),official_page,.evimed-sources/official-pages/e6143b76645a9461/page.md,"you get sudden pain or discomfort in your chest that does not go away – the pain can feel like squeezing or pressure inside your chest, burning or indigestion … You could be having a heart attack. Call 999 straight away as you need immediate treatment in hospital."
CLM-025,direct,27,2021 Guideline for the Evaluation and Diagnosis of Chest Pain - Professional Heart Daily | American Heart Association,AHA/ACC 2021 Chest Pain Guideline,official_page,.evimed-sources/official-pages/1991d92ed3d90b85/page.md,"For patients presenting with acute or stable chest pain, risk for coronary artery disease and adverse events should be estimated using evidence-based diagnostic protocols."
CLM-026,direct,1,The use of expired resuscitation medications for life-threatening first aid conditions: a systematic search and narrative review,PMID:41142213,full_text,.evimed-sources/PMC12546671/fulltext.md,"Epinephrine autoinjectors could retain epinephrine for at least 36 months after expiration."
CLM-027,direct,28,Addressing the disposal of unused and expired medications in Saudi households: Time to bridge the regulatory gaps,PMID:42302082,full_text,.evimed-sources/PMC13271494/fulltext.md,"A cross-sectional survey was conducted among 877 residents … The majority [88%] dispose of unused medicines by throwing away in the household dustbins. The vast majority throw away near expiry [73%], and expired medicines [92%], in the household dustbins. Majority [86%] of the participants denied receiving formal education/awareness regarding safe medications disposal"
