claimId,referenceNumber,accessLevel,artifactPath,supportQuote
CLM-001,7,full_text,.evimed-sources/PMC3997901/fulltext.md,"Suxiao Jiuxin Pill, a compound Chinese traditional medicine with main components of tetramethylpyrazine and borneol, is widely used for antiangina treatment in China"
CLM-002,8,full_text,.evimed-sources/PMC5892298/fulltext.md,"Forty-one trials involving 6276 patients were included in our analysis. Administration of suxiao jiuxin pill significantly improved electrocardiogram (ECG) results when compared with other therapies (RR 1.32, 95% CI 1.26 to 1.38, and P < 0.001)."
CLM-003,8,full_text,.evimed-sources/PMC5892298/fulltext.md,"There was no significant difference in the adverse reaction rates between the treatment and the control groups (RR 1.12, 95% CI 0.50 to 2.51, and P = 0.785)"
CLM-004,2,official_page,.evimed-sources/official-pages/e6143b76645a9461/page.md,"Immediate action required: Call 999 if: - you get sudden pain or discomfort in your chest that does not go away – the pain can feel like squeezing or pressure inside your chest, burning or indigestion - you get pain that spreads to your left or right arm, or your neck, jaw, stomach or back - you have chest pain and you feel sweaty, sick, light headed or short of breath"
CLM-005,3,full_text,.evimed-sources/PMC12394884/fulltext.md,"The results revealed that low-frequency power (LF) significantly increased following sleep deprivation (SMD = 0.39, 95% CI: 0.15–0.63, p = 0.002), and the LF/HF ratio also showed a significant rise (SMD = 1.47, 95% CI: 0.62–2.33, p = 0.0007). In contrast, high-frequency power (HF) demonstrated a downward trend, although the result did not reach statistical significance (SMD = −0.23, 95% CI: −0.46 to 0.01, p = 0.06)."
CLM-006,3,full_text,.evimed-sources/PMC12394884/fulltext.md,"The meta-analysis showed Z = 1.98, p < 0.05, with an SMD of −0.24 and a 95% confidence interval (−0.47, −0.00)."
CLM-007,4,full_text,.evimed-sources/PMC9403140/fulltext.md,"Genetically predicted short sleep duration was associated with an increased risk of CAD (OR = 1.24, 95% CI = 1.15–1.34, P < 0.001) and MI (OR = 1.20, 95% CI = 1.12–1.28, P < 0.001)"
CLM-008,4,full_text,.evimed-sources/PMC9403140/fulltext.md,"Compared with 7 h sleep per day, the RR of CHD was 1.11 (95% CI = 1.05–1.16, I 2 = 58.9%) for each 1 h reduction"
CLM-009,5,full_text,.evimed-sources/PMC10539110/fulltext.md,"The risk of IHD was increased among employees who the preceding year had permanent night shifts compared to those with permanent day work [hazard ratio (HR) 1.61, 95% confidence interval (CI) 1.06–2.43] and among employees working night shifts >120 times per year compared to those who never worked night (HR 1.53, 95% CI 1.05–2.21)."
CLM-010,5,full_text,.evimed-sources/PMC10539110/fulltext.md,"Our results do not support the findings of the previous study by Wang et al ( 19 ) that employees with permanent night shifts and working an average of 3–8 nights per month increase the risk of incident AF."
CLM-011,6,full_text,.evimed-sources/10.3389-fpsyt.2026.1858764/fulltext.md,"Across all patients, AF was the most common diagnosis, followed by sinus tachycardia"
CLM-012,6,full_text,.evimed-sources/10.3389-fpsyt.2026.1858764/fulltext.md,"All patients received an ECG (n= 278, 100%) and a blood sample (n=278, 100%) on ED admission."
CLM-013,6,full_text,.evimed-sources/10.3389-fpsyt.2026.1858764/fulltext.md,"the need to consider arrhythmia in the differential diagnosis and to obtain an electrocardiogram in patients presenting with palpitations, anxiety or nausea"
CLM-014,9,full_text,.evimed-sources/PMC9458321/fulltext.md,"We included 286 foundry workers who work at night shift and 100 foundry workers who work on day time only."
CLM-015,9,full_text,.evimed-sources/PMC9458321/fulltext.md,"Pd, QTd and QTcd values increased in the night shift workers compared to the day time workers (p < 0.05)."
CLM-017,8,full_text,.evimed-sources/PMC5892298/fulltext.md,"The subgroup analyses indicated that suxiao jiuxin pill improved ECG results more than salvia tablets (RR 1.54; 95% CI 1.41 to 1.67, P < 0.001), isosorbide dinitrate (RR 1.14; 95% CI 1.05 to 1.22, P = 0.001), nitroglycerin (RR 1.35, 95% CI 1.16 to 1.56, P < 0.001)"
CLM-018,4,full_text,.evimed-sources/PMC9403140/fulltext.md,"short sleep duration was associated with all-cause mortality (RR = 1.16, 95% CI = 1.11–1.22) and cardiovascular mortality (RR = 1.26, 95% CI = 1.12–1.41) compared with normal sleep duration (6–8 h/day)"
